Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Kashvinder Singh0-1-0,0,1,Audityo Pramudya1-0-0,Kashvinder Singh,Audityo Pramudya,0-1-0,1-0-0,audiocumio,kashmann27,audiocumio
2,Mihawk1910-1-0,0,1,akanettipoke1-0-0,Mihawk191,akanettipoke,0-1-0,1-0-0,akanettipoke,mihawk191,akanettipoke
3,Shakas1-0-0,1,0,Naruto Uzumaki0-1-0,Shakas,Naruto Uzumaki,1-0-0,0-1-0,shakas,shakas,chrollo
4,7heMC1-0-0,1,0,coronelzeta0-1-0,7heMC,coronelzeta,1-0-0,0-1-0,7hemc,7hemc,coronelzeta
5,Dylan C1-0-0,1,0,gudihao20200-1-0,Dylan C,gudihao2020,1-0-0,0-1-0,dylclark21,dylclark21,gudihao2020
6,The0Phen01-0-0,1,0,RenanRossette0-1-0,The0Phen0,RenanRossette,1-0-0,0-1-0,the0phen0,the0phen0,renanrossette
7,ThatGuyLarryG0-1-0,0,1,malachaiw691-0-0,ThatGuyLarryG,malachaiw69,0-1-0,1-0-0,malachaiw69,thatguylarryg,malachaiw69
8,Rogioneub1-0-0,0,0,realRTR0-1-0,Rogioneub,realRTR,1-0-0,0-1-0,rogioneub,rogioneub,realrtr
9,Juan Andree 0-1-0,0,1,dflorentino12071-0-0,Juan Andree ,dflorentino1207,0-1-0,1-0-0,dflorentino1207,juanandree,dflorentino1207
10,jtap150-1-0,0,1,jankypm1-0-0,jtap15,jankypm,0-1-0,1-0-0,jankypm,jtap15,jankypm
11,Sleepymaster0-1-0,0,1,redwater1-0-0,Sleepymaster,redwater,0-1-0,1-0-0,redwater,sleepymaster,redwater
12,JinHong0-1-0,0,1,Robert M1-0-0,JinHong,Robert M,0-1-0,1-0-0,bardown,jinhong,bardown
13,Zzamudio221-0-0,1,0,Joshua Sutherland0-1-0,Zzamudio22,Joshua Sutherland,1-0-0,0-1-0,zzamudio22,zzamudio22,joshuasutherland21
14,orange3601-0-0,1,0,JuniorZ19960-1-0,orange360,JuniorZ1996,1-0-0,0-1-0,orange360,orange360,juniorz1996
15,Math Liu1-0-0,1,0,pokeoh090-1-0,Math Liu,pokeoh09,1-0-0,0-1-0,tdonmt1989,tdonmt1989,pokeoh09
16,goomy471-0-0,1,0,afonsoty0-1-0,goomy47,afonsoty,1-0-0,0-1-0,goomy47,goomy47,afonsoty
17,Jacob Howard1-0-0,1,0,HDS70-1-0,Jacob Howard,HDS7,1-0-0,0-1-0,thejacobhoward,thejacobhoward,hds7
18,bagasaurusss0-1-0,0,1,pititu1-0-0,bagasaurusss,pititu,0-1-0,1-0-0,pititu,bagasaurusss,pititu
19,Benjamin Merritt0-1-0,0,1,mastermarling1-0-0,Benjamin Merritt,mastermarling,0-1-0,1-0-0,mastermarling,burningblaziken,mastermarling
20,notsimp20-1-0,0,1,Bullmeat1-0-0,notsimp2,Bullmeat,0-1-0,1-0-0,bullmeat,notsimp2,bullmeat
21,wirapatria0-1-0,0,1,Sadewaimba1-0-0,wirapatria,Sadewaimba,0-1-0,1-0-0,sadewaimba,wirapatria,sadewaimba
22,mojelly3020-1-0,0,1,Ryan Mefford1-0-0,mojelly302,Ryan Mefford,0-1-0,1-0-0,mefftrpt1,mojelly302,mefftrpt1
23,Vaughn0-1-0,0,1,jbscudd1-0-0,Vaughn,jbscudd,0-1-0,1-0-0,jbscudd,vaughn,jbscudd
24,jrubin330-0-1,0,0,ChosenV0-0-1,jrubin33,ChosenV,0-0-1,0-0-1,0,jrubin33,chosenv
