Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,grantnoff0-1-0,0,0,Hawtie1-0-0,grantnoff,Hawtie,0-1-0,1-0-0,hawtie,grantnoff,hawtie
2,Atomicsmash0-1-0,0,1,Jonathan Patricio Ch.1-0-0,Atomicsmash,Jonathan Patricio Ch.,0-1-0,1-0-0,jonah2705,atomicsmash,jonah2705
3,Joshua Sutherland1-0-0,1,0,19yufei0-1-0,Joshua Sutherland,19yufei,1-0-0,0-1-0,joshuasutherland21,joshuasutherland21,19yufei
4,MAGG241-0-0,1,0,JorgeR0-1-0,MAGG24,JorgeR,1-0-0,0-1-0,magg24,magg24,jorger
5,Iamtherealstory7770-0-1,0,0,andrewstacks0-0-1,Iamtherealstory777,andrewstacks,0-0-1,0-0-1,0,iamtherealstory777,andrewstacks
6,BloodWolfX0-1-0,0,0,EvanCampbell941-0-0,BloodWolfX,EvanCampbell94,0-1-0,1-0-0,evancampbell94,bloodwolfx,evancampbell94
7,FKluas59331-0-0,1,0,Blueskies0-1-0,FKluas5933,Blueskies,1-0-0,0-1-0,fkluas5933,fkluas5933,blueskies
8,Audityo Pramudya0-1-0,0,1,Manupango1-0-0,Audityo Pramudya,Manupango,0-1-0,1-0-0,manupango,audiocumio,manupango
9,CarlosE0-1-0,0,0,tiagultimate0-1-0,CarlosE,tiagultimate,0-1-0,0-1-0,-1,carlose,tiagultimate
10,homemadebiscuit1-0-0,1,0,marawwis0-1-0,homemadebiscuit,marawwis,1-0-0,0-1-0,homemadebiscuit,homemadebiscuit,marawwis
11,sokesoke0-1-0,0,1,pjwitusik1-0-0,sokesoke,pjwitusik,0-1-0,1-0-0,pjwitusik,sokesoke,pjwitusik
12,john wanggaard0-1-0,0,1,thegarder1-0-0,john wanggaard,thegarder,0-1-0,1-0-0,thegarder,ttoabyssal,thegarder
