Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Henrique Jorge2-0-0,1,0,GabrielSmartTCG1-1-0,Henrique Jorge,GabrielSmartTCG,2-0-0,1-1-0,hbjtrevo,hbjtrevo,gabrielsmarttcg
2,Anti1-1-0,0,1,aus17262-0-0,Anti,aus1726,1-1-0,2-0-0,aus1726,anti,aus1726
3,jbscudd1-1-0,0,1,Chiyen Chen2-0-0,jbscudd,Chiyen Chen,1-1-0,2-0-0,haibao,jbscudd,haibao
4,Tommyb891-0-1,0,0,yuppy01081-0-1,Tommyb89,yuppy0108,1-0-1,1-0-1,0,tommyb89,yuppy0108
5,Ryota Saito2-0-0,1,0,Takaki S1-1-0,Ryota Saito,Takaki S,2-0-0,1-1-0,mawssa2000,mawssa2000,takaki
6,Joshua Sutherland2-0-0,1,0,Frostyplays1-1-0,Joshua Sutherland,Frostyplays,2-0-0,1-1-0,joshuasutherland21,joshuasutherland21,frostyplays
7,jonnybrah1-1-0,0,1,Hajime A2-0-0,jonnybrah,Hajime A,1-1-0,2-0-0,lilly130910,jonnybrah,lilly130910
8,Sephsoul19861-1-0,0,1,gaoller2-0-0,Sephsoul1986,gaoller,1-1-0,2-0-0,gaoller,sephsoul1986,gaoller
9,little13101-1-0,0,1,sooo2-0-0,little1310,sooo,1-1-0,2-0-0,sooo,little1310,sooo
10,Goldenmojo18992-0-0,1,0,YoongKaiJian1-1-0,Goldenmojo1899,YoongKaiJian,2-0-0,1-1-0,goldenmojo1899,goldenmojo1899,yoongkaijian
11,Drancron2-0-0,1,0,Luis046w31-1-0,Drancron,Luis046w3,2-0-0,1-1-0,drancron,drancron,luis046w3
12,thegarder1-1-0,0,1,Haru  Nishikawa2-0-0,thegarder,Haru  Nishikawa,1-1-0,2-0-0,harun,thegarder,harun
13,golddaud2-0-0,1,0,nsparadox1-1-0,golddaud,nsparadox,2-0-0,1-1-0,golddaud,golddaud,nsparadox
14,nk1-1-0,0,1,wadedaze2-0-0,nk,wadedaze,1-1-0,2-0-0,wadedaze,nk,wadedaze
15,Hypnotoxiclaser1-1-0,0,1,Ant43912-0-0,Hypnotoxiclaser,Ant4391,1-1-0,2-0-0,ant4391,hypnotoxiclaser,ant4391
16,Reiji Nishiguchi2-0-0,1,0,Mew3OP1-1-0,Reiji Nishiguchi,Mew3OP,2-0-0,1-1-0,amere,amere,mew3op
17,coronelzeta2-0-0,1,0,19yufei1-1-0,coronelzeta,19yufei,2-0-0,1-1-0,coronelzeta,coronelzeta,19yufei
18,Iori1272-0-0,1,0,John Konkle1-1-0,Iori127,John Konkle,2-0-0,1-1-0,iori127,iori127,jk338
19,jrubin331-1-0,0,1,Juan Andree2-0-0,jrubin33,Juan Andree,1-1-0,2-0-0,juanandree,jrubin33,juanandree
20,Savid4002-0-0,1,0,Novri E1-1-0,Savid400,Novri E,2-0-0,1-1-0,savid400,savid400,ezzz
21,inosoycarly2-0-0,1,0,Ztporlier1-1-0,inosoycarly,Ztporlier,2-0-0,1-1-0,inosoycarly,inosoycarly,ztporlier
22,Shadow1-1-0,0,1,Fue2-0-0,Shadow,Fue,1-1-0,2-0-0,fue,shadow,fue
23,Fon2-0-0,1,0,UndauntedHound1-1-0,Fon,UndauntedHound,2-0-0,1-1-0,fon,fon,undauntedhound
24,Legendaray1-1-0,0,1,GGzaga2-0-0,Legendaray,GGzaga,1-1-0,2-0-0,ggzaga,legendaray,ggzaga
25,goomy472-0-0,1,0,VictorCoutinho1-1-0,goomy47,VictorCoutinho,2-0-0,1-1-0,goomy47,goomy47,victorcoutinho
26,KingZeus1-1-0,0,1,Hawtie2-0-0,KingZeus,Hawtie,1-1-0,2-0-0,hawtie,kingzeus,hawtie
27,MAGG241-1-0,0,1,UnholyFire2-0-0,MAGG24,UnholyFire,1-1-0,2-0-0,unholyfire,magg24,unholyfire
28,xvCODZILLAvx1-1-0,0,1,Andrew Hedrick2-0-0,xvCODZILLAvx,Andrew Hedrick,1-1-0,2-0-0,pokehawkeye,xvcodzillavx,pokehawkeye
29,Hayden Frew1-1-0,0,1,Pegasus20002-0-0,Hayden Frew,Pegasus2000,1-1-0,2-0-0,pegasus2000,hayden,pegasus2000
30,tmez1-1-0,0,1,Kyle Vincent Imperial2-0-0,tmez,Kyle Vincent Imperial,1-1-0,2-0-0,kvi,tmez,kvi
31,Henrique Gonçalves1-1-0,0,1,jneto2-0-0,Henrique Gonçalves,jneto,1-1-0,2-0-0,jneto,gatanashg,jneto
32,abewiththebabes1-0-1,0,0,GadgetBadger1-0-1,abewiththebabes,GadgetBadger,1-0-1,1-0-1,0,abewiththebabes,gadgetbadger
33,Shuto2-0-0,1,0,Rodrigo881-1-0,Shuto,Rodrigo88,2-0-0,1-1-0,shuto,shuto,rodrigo88
34,kuuuura1-1-0,0,1,Grant Noffsinger2-0-0,kuuuura,Grant Noffsinger,1-1-0,2-0-0,grantnoff,kuuuura,grantnoff
35,APackOfAlpacas2-0-0,1,0,Michele  Babin1-1-0,APackOfAlpacas,Michele  Babin,2-0-0,1-1-0,apackofalpacas,apackofalpacas,michelebabin
36,BossTang2-0-0,1,0,GabsBaptista1-1-0,BossTang,GabsBaptista,2-0-0,1-1-0,bosstang,bosstang,gabsbaptista
37,iHaveItOnMe1-1-0,0,1,Rory Sharpe2-0-0,iHaveItOnMe,Rory Sharpe,1-1-0,2-0-0,stazzy69,ihaveitonme,stazzy69
38,BrandonBorgmier2-0-0,1,0,PUMPKING5981-1-0,BrandonBorgmier,PUMPKING598,2-0-0,1-1-0,brandonborgmier,brandonborgmier,pumpking598
39,Jesus Cervera1-1-0,0,1,daiyuguantou2-0-0,Jesus Cervera,daiyuguantou,1-1-0,2-0-0,daiyuguantou,cervera1692,daiyuguantou
40,arturoR2D26331271-1-0,0,1,Yukiya Tsukada2-0-0,arturoR2D2633127,Yukiya Tsukada,1-1-0,2-0-0,mille1216,arturor2d2633127,mille1216
41,Mikey S1-0-1,0,0,Dylan C1-0-1,Mikey S,Dylan C,1-0-1,1-0-1,0,yusukep5,dylclark21
42,Ira P2-0-0,1,0,yakedo1-1-0,Ira P,yakedo,2-0-0,1-1-0,ira9999,ira9999,yakedo
43,Paulo Anderson1-0-1,0,0,Fabian Robledo 1-0-1,Paulo Anderson,Fabian Robledo ,1-0-1,1-0-1,0,fumikage,fabian2206
44,Poketowell31-1-0,0,1,Digocoltro2-0-0,Poketowell3,Digocoltro,1-1-0,2-0-0,digocoltro,poketowell3,digocoltro
45,kohaku2902082-0-0,1,0,WwhAndrew1-1-0,kohaku290208,WwhAndrew,2-0-0,1-1-0,kohaku290208,kohaku290208,wwhandrew
46,Feldor18062-0-0,1,0,HingPang1-1-0,Feldor1806,HingPang,2-0-0,1-1-0,feldor1806,feldor1806,hingpang
47,Rogioneub1-1-0,0,1,Isaac Troan2-0-0,Rogioneub,Isaac Troan,1-1-0,2-0-0,dispencer,rogioneub,dispencer
48,WellingtonZoobi2-0-0,1,0,hsubrian61-1-0,WellingtonZoobi,hsubrian6,2-0-0,1-1-0,wellingtonzoobi,wellingtonzoobi,hsubrian6
49,Shintaro I2-0-0,1,0,alexs551-1-0,Shintaro I,alexs55,2-0-0,1-1-0,toshin,toshin,alexs55
50,Aqua bibi2-0-0,0,0,Tony1-1-0,Aqua bibi,Tony,2-0-0,1-1-0,guaguaimc,guaguaimc,tony
51,Matt Bridges2-0-0,1,0,pjwitusik1-1-0,Matt Bridges,pjwitusik,2-0-0,1-1-0,bluebr0nc0,bluebr0nc0,pjwitusik
52,Haeseptus1-1-0,0,1,ietomo202-0-0,Haeseptus,ietomo20,1-1-0,2-0-0,ietomo20,haeseptus,ietomo20
53,ChengChe Lee2-0-0,1,0,Mikeismyike1-1-0,ChengChe Lee,Mikeismyike,2-0-0,1-1-0,chengchelee,chengchelee,mikeismyike
54,7heMC1-1-0,0,1,DragonL0rD2-0-0,7heMC,DragonL0rD,1-1-0,2-0-0,dragonl0rd,7hemc,dragonl0rd
55,jordangom1-1-0,0,1,Not Gabriel Smart2-0-0,jordangom,Not Gabriel Smart,1-1-0,2-0-0,munchlaxtcg,jordangom,munchlaxtcg
56,snowman1-1-0,0,1,TALLYSOMSOARES2-0-0,snowman,TALLYSOMSOARES,1-1-0,2-0-0,tallysomsoares,snowman,tallysomsoares
57,HenryBrand2-0-0,1,0,itsuki1-1-0,HenryBrand,itsuki,2-0-0,1-1-0,henrybrand,henrybrand,itsuki
58,bujijia11051-1-0,0,1,Ryan Krats2-0-0,bujijia1105,Ryan Krats,1-1-0,2-0-0,kratsattack,bujijia1105,kratsattack
