Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,sooo7-0-0,1,0,tappa026-1-0,sooo,tappa02,7-0-0,6-1-0,sooo,sooo,tappa02
2,Haru  Nishikawa6-0-1,0,0,pikatoon5-0-2,Haru  Nishikawa,pikatoon,6-0-1,5-0-2,0,harun,pikatoon
3,DD 彈珠6-1-0,1,0,GabrielSmartTCG5-2-0,DD 彈珠,GabrielSmartTCG,6-1-0,5-2-0,josh20050331,josh20050331,gabrielsmarttcg
4,snooze5-2-0,0,1,Andrew Hedrick6-1-0,snooze,Andrew Hedrick,5-2-0,6-1-0,pokehawkeye,snooze,pokehawkeye
5,APackOfAlpacas6-1-0,1,0,Nagii5-2-0,APackOfAlpacas,Nagii,6-1-0,5-2-0,apackofalpacas,apackofalpacas,nagii
6,wadedaze5-2-0,0,1,roi856-1-0,wadedaze,roi85,5-2-0,6-1-0,roi85,wadedaze,roi85
7,Liam Kidd5-2-0,0,1,Kashvinder Singh6-1-0,Liam Kidd,Kashvinder Singh,5-2-0,6-1-0,kashmann27,liamkidd,kashmann27
8,Peter L6-1-0,1,0,pedromon5-2-0,Peter L,pedromon,6-1-0,5-2-0,aierala,aierala,pedromon
9,Garry Breech5-2-0,0,1,daiyuguantou6-1-0,Garry Breech,daiyuguantou,5-2-0,6-1-0,daiyuguantou,garebear2006,daiyuguantou
10,kuuuura6-1-0,1,0,Hawtie5-2-0,kuuuura,Hawtie,6-1-0,5-2-0,kuuuura,kuuuura,hawtie
11,inosoycarly6-1-0,1,0,The0Phen04-2-1,inosoycarly,The0Phen0,6-1-0,4-2-1,inosoycarly,inosoycarly,the0phen0
12,Dramando5-1-1,1,0,Mikey S4-2-1,Dramando,Mikey S,5-1-1,4-2-1,dramando,dramando,yusukep5
13,Andrew Scott4-2-1,0,1,john wanggaard5-1-1,Andrew Scott,john wanggaard,4-2-1,5-1-1,ttoabyssal,ascotpokes,ttoabyssal
14,Ira P5-2-0,1,0,sapocururu4-3-0,Ira P,sapocururu,5-2-0,4-3-0,ira9999,ira9999,sapocururu
15,OGShih4-3-0,0,1,Yukiya Tsukada5-2-0,OGShih,Yukiya Tsukada,4-3-0,5-2-0,mille1216,ogshih,mille1216
16,Peter M5-2-0,1,0,DD 蜥蜴4-3-0,Peter M,DD 蜥蜴,5-2-0,4-3-0,peterm07,peterm07,tingnelson16
17,Victor De Velasco5-2-0,1,0,MunchlaxTCG4-3-0,Victor De Velasco,MunchlaxTCG,5-2-0,4-3-0,victor91dv,victor91dv,munchlaxtcg
18,Deresing5-2-0,1,0,miltanklun4-3-0,Deresing,miltanklun,5-2-0,4-3-0,deresing,deresing,miltanklun
19,UndauntedHound4-3-0,0,1,Luis Ruiz5-2-0,UndauntedHound,Luis Ruiz,4-3-0,5-2-0,luisruiz1112,undauntedhound,luisruiz1112
20,Jesus Cervera5-2-0,1,0,hsubrian64-3-0,Jesus Cervera,hsubrian6,5-2-0,4-3-0,cervera1692,cervera1692,hsubrian6
21,Vicente (MoeHawk) Canales-Loyola5-2-0,1,0,Hafiyhamzah4-3-0,Vicente (MoeHawk) Canales-Loyola,Hafiyhamzah,5-2-0,4-3-0,moehawk,moehawk,hafiyhamzah
22,yinse11265-2-0,0,0,Luis046w34-3-0,yinse1126,Luis046w3,5-2-0,4-3-0,yinse1126,yinse1126,luis046w3
23,victoragrinsoni25-2-0,1,0,Joshua Sutherland4-3-0,victoragrinsoni2,Joshua Sutherland,5-2-0,4-3-0,victoragrinsoni2,victoragrinsoni2,joshuasutherland21
24,irvintyes5-2-0,1,0,GABY4-3-0,irvintyes,GABY,5-2-0,4-3-0,irvintyes,irvintyes,gaby
25,Alex Hamilton5-2-0,1,0,Ryan K4-3-0,Alex Hamilton,Ryan K,5-2-0,4-3-0,omegascizor456,omegascizor456,rhinus
26,Aman2275-2-0,1,0,thegarder4-3-0,Aman227,thegarder,5-2-0,4-3-0,aman227,aman227,thegarder
27,taz065-2-0,1,0,Cward064-3-0,taz06,Cward06,5-2-0,4-3-0,taz06,taz06,cward06
28,bgv19894-3-0,0,1,stella5-2-0,bgv1989,stella,4-3-0,5-2-0,stella,bgv1989,stella
29,gazerbeam2k4-3-0,0,1,supergag5-2-0,gazerbeam2k,supergag,4-3-0,5-2-0,supergag,gazerbeam2k,supergag
30,Manupango4-3-0,0,1,Victor García5-2-0,Manupango,Victor García,4-3-0,5-2-0,vicgar08,manupango,vicgar08
31,Keegurz5-2-0,1,0,KinZo4-3-0,Keegurz,KinZo,5-2-0,4-3-0,keegurz,keegurz,kinzo
32,5252titi4-3-0,0,1,makimon5-2-0,5252titi,makimon,4-3-0,5-2-0,makimon,5252titi,makimon
33,sencha 5-2-0,,,bye,sencha ,*Bye*,5-2-0,N/A,kirikisencha,kirikisencha,*Bye*
