Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Patrick Wall9-0-2,0,0,Cal Connor8-1-2,Patrick Wall,Cal Connor,9-0-2,8-1-2,0,teamabra87,calcal206
2,Nassou2480469-1-1,0,0,xerneas123528-1-2,Nassou248046,xerneas12352,9-1-1,8-1-2,0,nassou248046,xerneas12352
3,jun07128-1-2,0,0,Cole Lewis8-2-1,jun0712,Cole Lewis,8-1-2,8-2-1,0,jun0712,bigcole
4,Juan Andree8-2-1,0,0,TheRicardoToddy8-2-1,Juan Andree,TheRicardoToddy,8-2-1,8-2-1,0,juanandree,thericardotoddy
5,Savid4009-2-0,1,0,Vini Fernandez8-3-0,Savid400,Vini Fernandez,9-2-0,8-3-0,savid400,savid400,warexpert
6,Luke Tran8-2-1,0,0,Jacob Howard8-2-1,Luke Tran,Jacob Howard,8-2-1,8-2-1,0,nvshinies,thejacobhoward
7,5252titi8-3-0,0,1,Daichi Shimada9-2-0,5252titi,Daichi Shimada,8-3-0,9-2-0,sanigo,5252titi,sanigo
8,ELPorygon8-2-1,0,0,HenryBrand8-2-1,ELPorygon,HenryBrand,8-2-1,8-2-1,0,elporygon,henrybrand
9,Vitor Lugon8-2-1,1,0,tatsuya7-4-0,Vitor Lugon,tatsuya,8-2-1,7-4-0,vitorlugon,vitorlugon,tatsuya
10,garashi7-4-0,0,1,HimeSarah8-3-0,garashi,HimeSarah,7-4-0,8-3-0,himesarah,garashi,himesarah
11,DiamondKing7-4-0,0,0,GabrielBrenes8-3-0,DiamondKing,GabrielBrenes,7-4-0,8-3-0,gabrielbrenes,diamondking,gabrielbrenes
12,Kevin Abernathy8-3-0,1,0,Ryan Mefford7-4-0,Kevin Abernathy,Ryan Mefford,8-3-0,7-4-0,kevbot719,kevbot719,mefftrpt1
13,Hawtie8-3-0,1,0,Marcelo Espinoza7-4-0,Hawtie,Marcelo Espinoza,8-3-0,7-4-0,hawtie,hawtie,mrgreatdeceiver
14,Caleb Rogerson7-4-0,0,1,. MedichampTCG8-3-0,Caleb Rogerson,. MedichampTCG,7-4-0,8-3-0,owohunt,memaanhc,owohunt
15,CasparWu09027-4-0,0,1,Xylonadren478-3-0,CasparWu0902,Xylonadren47,7-4-0,8-3-0,xylonadren47,casparwu0902,xylonadren47
16,Roblacks8-3-0,1,0,petra00007-4-0,Roblacks,petra0000,8-3-0,7-4-0,roblacks,roblacks,petra0000
17,Bodhi Robinson8-3-0,1,0,Demix7-4-0,Bodhi Robinson,Demix,8-3-0,7-4-0,bodhi,bodhi,demix
18,Dan Perez7-4-0,0,1,Frankthetanktcg8-3-0,Dan Perez,Frankthetanktcg,7-4-0,8-3-0,frankthetanktcg,notoriousd13,frankthetanktcg
19,PatSteven7-4-0,0,1,aus17268-3-0,PatSteven,aus1726,7-4-0,8-3-0,aus1726,patsteven,aus1726
20,thegarder7-4-0,0,1,iHaveItOnMe8-3-0,thegarder,iHaveItOnMe,7-4-0,8-3-0,ihaveitonme,thegarder,ihaveitonme
21,Gabriel Padinha6-4-1,0,0,ChengChe Lee7-4-0,Gabriel Padinha,ChengChe Lee,6-4-1,7-4-0,chengchelee,calkab,chengchelee
22,kuuuura7-4-0,1,0,Luke Morsa6-5-0,kuuuura,Luke Morsa,7-4-0,6-5-0,kuuuura,kuuuura,celiosnetwork
23,Ragnaros6-5-0,0,1,Ajolt7-4-0,Ragnaros,Ajolt,6-5-0,7-4-0,ajolt,ragnaros,ajolt
24,jpmcclure977-4-0,1,0,YujoElvis6-5-0,jpmcclure97,YujoElvis,7-4-0,6-5-0,jpmcclure97,jpmcclure97,yujoelvis
25,Dylan C7-4-0,1,0,PokemonDanFanTCG6-5-0,Dylan C,PokemonDanFanTCG,7-4-0,6-5-0,dylclark21,dylclark21,pokemondanfantcg
26,josepepe077-4-0,1,0,mkirby6-5-0,josepepe07,mkirby,7-4-0,6-5-0,josepepe07,josepepe07,mkirby
27,Lautaro Capece5-6-0,0,0,SockNoises5-6-0,Lautaro Capece,SockNoises,5-6-0,5-6-0,-1,lautikpc95,socknoises
28,PewZVonLeon5-6-0,0,0,Caleb Cosby5-6-0,PewZVonLeon,Caleb Cosby,5-6-0,5-6-0,-1,pewzvonleon,pickyourpoke
29,GabrielSmartTCG6-5-0,,,bye,GabrielSmartTCG,*Bye*,6-5-0,N/A,gabrielsmarttcg,gabrielsmarttcg,*Bye*
