Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Vina7-1-0,0,1,catron8-0-0,Vina,catron,7-1-0,8-0-0,catron,vina,catron
2,Timothy Madison7-0-1,1,0,Henrique Jorge6-2-0,Timothy Madison,Henrique Jorge,7-0-1,6-2-0,linoleumcrab,linoleumcrab,hbjtrevo
3,Felix Santiago7-1-0,1,0,Kevin Abernathy6-2-0,Felix Santiago,Kevin Abernathy,7-1-0,6-2-0,efrensa,efrensa,kevbot719
4,Haru  Nishikawa7-1-0,1,0,Hovertoxin6-2-0,Haru  Nishikawa,Hovertoxin,7-1-0,6-2-0,harun,harun,hovertoxin
5,FlowTKast7-1-0,1,0,wy keen6-2-0,FlowTKast,wy keen,7-1-0,6-2-0,flowtkast,flowtkast,wykeen1994
6,Jeremy A7-1-0,1,0,Digocoltro6-2-0,Jeremy A,Digocoltro,7-1-0,6-2-0,dlee88,dlee88,digocoltro
7,GeisslerAlec6-2-0,0,1,Rezolution7-1-0,GeisslerAlec,Rezolution,6-2-0,7-1-0,rezolution,geissleralec,rezolution
8,AS7-1-0,1,0,KingHeracross6-2-0,AS,KingHeracross,7-1-0,6-2-0,as,as,kingheracross
9,kazki7-1-0,1,0,aierala6-2-0,kazki,aierala,7-1-0,6-2-0,kazki,kazki,aierala
10,The0Phen07-1-0,1,0,GabrielSmartTCG5-2-1,The0Phen0,GabrielSmartTCG,7-1-0,5-2-1,the0phen0,the0phen0,gabrielsmarttcg
11,Christian Stridiron5-2-1,0,1,bgv19896-1-1,Christian Stridiron,bgv1989,5-2-1,6-1-1,bgv1989,ippokg,bgv1989
12,CaioCapetinha6-1-1,1,0,stella5-3-0,CaioCapetinha,stella,6-1-1,5-3-0,caiocapetinha,caiocapetinha,stella
13,PGsCake6-2-0,1,0,Rose L5-3-0,PGsCake,Rose L,6-2-0,5-3-0,pgscake,pgscake,prisma
14,Dylan Larson5-3-0,0,1,PerfectPenguin76-2-0,Dylan Larson,PerfectPenguin7,5-3-0,6-2-0,perfectpenguin7,sirclag,perfectpenguin7
15,Brady Morgan6-2-0,1,0,dragonalltheway5-3-0,Brady Morgan,dragonalltheway,6-2-0,5-3-0,blackninja,blackninja,dragonalltheway
16,Vexora5-3-0,0,1,Victor García6-2-0,Vexora,Victor García,5-3-0,6-2-0,vicgar08,vexora,vicgar08
17,Mathew Masefield5-3-0,0,1,Julio Jimenez6-2-0,Mathew Masefield,Julio Jimenez,5-3-0,6-2-0,owohunt,mattynate,owohunt
18,stoddy6-2-0,1,0,stencarlet5-3-0,stoddy,stencarlet,6-2-0,5-3-0,stoddy,stoddy,stencarlet
19,TrainerTipsB5-3-0,0,1,pititu6-2-0,TrainerTipsB,pititu,5-3-0,6-2-0,pititu,trainertipsb,pititu
20,Ryoma6-2-0,1,0,Dobber27235-3-0,Ryoma,Dobber2723,6-2-0,5-3-0,ryoma,ryoma,dobber2723
21,wakingeyes6-2-0,1,0,teethanatt5-3-0,wakingeyes,teethanatt,6-2-0,5-3-0,wakingeyes,wakingeyes,teethanatt
22,Bren Hall5-3-0,0,1,Savid4006-2-0,Bren Hall,Savid400,5-3-0,6-2-0,savid400,driftwoodbeats,savid400
23,likeollywithab6-2-0,1,0,Pgiza8345-3-0,likeollywithab,Pgiza834,6-2-0,5-3-0,likeollywithab,likeollywithab,pgiza834
24,nbenson225-3-0,0,1,Legendaray6-2-0,nbenson22,Legendaray,5-3-0,6-2-0,legendaray,nbenson22,legendaray
25,HenryBrand6-2-0,1,0,Atomicsmash5-3-0,HenryBrand,Atomicsmash,6-2-0,5-3-0,henrybrand,henrybrand,atomicsmash
26,Tommyb896-2-0,1,0,daiyuguantou5-3-0,Tommyb89,daiyuguantou,6-2-0,5-3-0,tommyb89,tommyb89,daiyuguantou
27,YoongKaiJian6-2-0,1,0,Patrick Wall5-3-0,YoongKaiJian,Patrick Wall,6-2-0,5-3-0,yoongkaijian,yoongkaijian,teamabra87
28,TuffyMaggio5-3-0,0,1,Captjak896-2-0,TuffyMaggio,Captjak89,5-3-0,6-2-0,captjak89,tuffymaggio,captjak89
29,Ryan Mefford5-3-0,0,1,sugimochan6-2-0,Ryan Mefford,sugimochan,5-3-0,6-2-0,sugimochan,mefftrpt1,sugimochan
30,Kuj4k5-3-0,0,1,Juancho S6-2-0,Kuj4k,Juancho S,5-3-0,6-2-0,auriz27,kuj4k,auriz27
31,Josh Frink6-2-0,1,0,gaoller5-3-0,Josh Frink,gaoller,6-2-0,5-3-0,dreamjew,dreamjew,gaoller
32,Charles S6-2-0,1,0,sino5-3-0,Charles S,sino,6-2-0,5-3-0,cfs11,cfs11,sino
33,hsubrian66-2-0,1,0,Aqua bibi5-3-0,hsubrian6,Aqua bibi,6-2-0,5-3-0,hsubrian6,hsubrian6,guaguaimc
34,Ira P6-2-0,1,0,inosoycarly5-3-0,Ira P,inosoycarly,6-2-0,5-3-0,ira9999,ira9999,inosoycarly
35,Ajolt4-3-1,0,0,Vitor Lugon5-2-1,Ajolt,Vitor Lugon,4-3-1,5-2-1,vitorlugon,ajolt,vitorlugon
36,DaredevilGugu4-3-1,0,1,alexs555-3-0,DaredevilGugu,alexs55,4-3-1,5-3-0,alexs55,daredevilgugu,alexs55
37,Yzz 超硬775-3-0,1,0,Caleb G4-4-0,Yzz 超硬77,Caleb G,5-3-0,4-4-0,gudihao2020,gudihao2020,shredemer
38,SevenZera4-4-0,0,1,AmpharosD5-3-0,SevenZera,AmpharosD,4-4-0,5-3-0,ampharosd,sevenzera,ampharosd
39,meirelles75-3-0,1,0,eddiestarlv4-4-0,meirelles7,eddiestarlv,5-3-0,4-4-0,meirelles7,meirelles7,eddiestarlv
40,Jonathan Patricio Ch.4-4-0,0,1,Victor De Velasco5-3-0,Jonathan Patricio Ch.,Victor De Velasco,4-4-0,5-3-0,victor91dv,jonah2705,victor91dv
41,StealthShampoo5-3-0,1,0,OnGaard4-4-0,StealthShampoo,OnGaard,5-3-0,4-4-0,stealthshampoo,stealthshampoo,ongaard
42,GabrielBrenes4-4-0,0,1,SHSuperSonic5-3-0,GabrielBrenes,SHSuperSonic,4-4-0,5-3-0,shsupersonic,gabrielbrenes,shsupersonic
43,Fon5-3-0,1,0,levi marshall4-4-0,Fon,levi marshall,5-3-0,4-4-0,fon,fon,hajunpla
