Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Rezolution5-0-0,1,0,Peter L4-1-0,Rezolution,Peter L,5-0-0,4-1-0,rezolution,rezolution,aierala
2,Juliofranche4-1-0,0,1,Justin Stites5-0-0,Juliofranche,Justin Stites,4-1-0,5-0-0,bdsax,juliofranche,bdsax
3,Frankthetanktcg4-0-1,0,0,Bumpei Matsuda4-0-1,Frankthetanktcg,Bumpei Matsuda,4-0-1,4-0-1,0,frankthetanktcg,bumpei
4,Robert Hinds4-1-0,0,1,MrWesLee5-0-0,Robert Hinds,MrWesLee,4-1-0,5-0-0,mrweslee,lifeparttwo,mrweslee
5,Xavier E4-1-0,0,1,Corey Blankenship5-0-0,Xavier E,Corey Blankenship,4-1-0,5-0-0,coreyology,xabro,coreyology
6,Cole Lewis4-1-0,0,1,Nagii5-0-0,Cole Lewis,Nagii,4-1-0,5-0-0,nagii,bigcole,nagii
7,Kashvinder Singh4-1-0,0,1,Diegofranche5-0-0,Kashvinder Singh,Diegofranche,4-1-0,5-0-0,diegofranche,kashmann27,diegofranche
8,OnGaard4-1-0,0,1,ONelixx5-0-0,OnGaard,ONelixx,4-1-0,5-0-0,onelixx,ongaard,onelixx
9,goomy475-0-0,1,0,MangoJones4-1-0,goomy47,MangoJones,5-0-0,4-1-0,goomy47,goomy47,mangojones
10,TJ Guistwite4-1-0,0,1,pogrom20004-1-0,TJ Guistwite,pogrom2000,4-1-0,4-1-0,pogrom2000,grandtroll21,pogrom2000
11,Lucas Paglia4-1-0,1,0,jackchapel3-2-0,Lucas Paglia,jackchapel,4-1-0,3-2-0,luhbra,luhbra,jackchapel
12,Takahiko Kurashima4-1-0,1,0,James G3-2-0,Takahiko Kurashima,James G,4-1-0,3-2-0,kuuuura,kuuuura,jamesg
13,Danuwat Wantha3-2-0,0,1,Rory Sharpe4-1-0,Danuwat Wantha,Rory Sharpe,3-2-0,4-1-0,stazzy69,guywantha,stazzy69
14,Roshanak3-2-0,0,1,Felix Santiago4-1-0,Roshanak,Felix Santiago,3-2-0,4-1-0,efrensa,roshanak,efrensa
15,John Konkle4-1-0,1,0,JosephGambit3-2-0,John Konkle,JosephGambit,4-1-0,3-2-0,jk338,jk338,josephgambit
16,Luke Morsa3-2-0,0,1,xtracrispy834-1-0,Luke Morsa,xtracrispy83,3-2-0,4-1-0,xtracrispy83,celiosnetwork,xtracrispy83
17,Erik J4-1-0,1,0,Rapha P3-2-0,Erik J,Rapha P,4-1-0,3-2-0,azmx157,azmx157,enfergato
18,Ralphzz3-2-0,0,1,markysamhain4-1-0,Ralphzz,markysamhain,3-2-0,4-1-0,markysamhain,ralphzz,markysamhain
19,MegaRyo3-2-0,0,1,Paulo Anderson4-1-0,MegaRyo,Paulo Anderson,3-2-0,4-1-0,fumikage,megaryo,fumikage
20,FlowTKast4-1-0,1,0,GolDFabi3-2-0,FlowTKast,GolDFabi,4-1-0,3-2-0,flowtkast,flowtkast,goldfabi
21,Vina4-1-0,1,0,Smokeyslim7183-2-0,Vina,Smokeyslim718,4-1-0,3-2-0,vina,vina,smokeyslim718
