Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,inosoycarly6-1-0,0,1,goomy477-0-0,inosoycarly,goomy47,6-1-0,7-0-0,goomy47,inosoycarly,goomy47
2,AmpharosD6-1-0,0,1,RodFigueiredo886-1-0,AmpharosD,RodFigueiredo88,6-1-0,6-1-0,rodfigueiredo88,ampharosd,rodfigueiredo88
3,miltonleite126-1-0,1,0,gavin  bennett5-2-0,miltonleite12,gavin  bennett,6-1-0,5-2-0,miltonleite12,miltonleite12,bgv1989
4,Kashvinder Singh5-2-0,0,1,Manupango6-1-0,Kashvinder Singh,Manupango,5-2-0,6-1-0,manupango,kashmann27,manupango
5,7heMC6-1-0,1,0,xtracrispy835-2-0,7heMC,xtracrispy83,6-1-0,5-2-0,7hemc,7hemc,xtracrispy83
6,Savid4006-1-0,1,0,shpanda5-2-0,Savid400,shpanda,6-1-0,5-2-0,savid400,savid400,shpanda
7,Andrew S5-2-0,0,1,Juan Espinola6-1-0,Andrew S,Juan Espinola,5-2-0,6-1-0,espinola,ascotpokes,espinola
8,Cole Lewis6-1-0,1,0,Hawtie5-2-0,Cole Lewis,Hawtie,6-1-0,5-2-0,bigcole,bigcole,hawtie
9,edmund khoo6-1-0,1,0,Atomicsmash5-2-0,edmund khoo,Atomicsmash,6-1-0,5-2-0,ayayaka,ayayaka,atomicsmash
10,MasterLeBui6-1-0,1,0,Bodhi Robinson5-2-0,MasterLeBui,Bodhi Robinson,6-1-0,5-2-0,masterlebui,masterlebui,bodhi
11,Dobber27236-1-0,1,0,Smokeyslim7184-2-1,Dobber2723,Smokeyslim718,6-1-0,4-2-1,dobber2723,dobber2723,smokeyslim718
12,KingHeracross4-2-1,0,1,PokeDRUMMER975-2-0,KingHeracross,PokeDRUMMER97,4-2-1,5-2-0,pokedrummer97,kingheracross,pokedrummer97
13,pititu4-3-0,0,1,meirelles75-2-0,pititu,meirelles7,4-3-0,5-2-0,meirelles7,pititu,meirelles7
14,mille12165-2-0,1,0,jcools4-3-0,mille1216,jcools,5-2-0,4-3-0,mille1216,mille1216,jcools
