Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,CptCodfish0-1-0,0,1,mille12161-0-0,CptCodfish,mille1216,0-1-0,1-0-0,mille1216,cptcodfish,mille1216
2,Felix Santiago1-0-0,1,0,Jeferson nunes0-1-0,Felix Santiago,Jeferson nunes,1-0-0,0-1-0,efrensa,efrensa,alemaotcg
3,Bruno Souza1-0-0,1,0,James G0-1-0,Bruno Souza,James G,1-0-0,0-1-0,bhhenriques,bhhenriques,jamesg
4,Matsuji06201-0-0,1,0,WarmDayBeanie0-1-0,Matsuji0620,WarmDayBeanie,1-0-0,0-1-0,matsuji0620,matsuji0620,warmdaybeanie
5,Akiyama7770-1-0,0,1,WhiteKevin1-0-0,Akiyama777,WhiteKevin,0-1-0,1-0-0,whitekevin,akiyama777,whitekevin
6,Henrique Jorge0-0-1,0,0,Luke Morsa0-0-1,Henrique Jorge,Luke Morsa,0-0-1,0-0-1,0,hbjtrevo,celiosnetwork
7,channels051-0-0,1,0,Pandaslayer0-1-0,channels05,Pandaslayer,1-0-0,0-1-0,channels05,channels05,pandaslayer
8,bujijia11050-1-0,0,1,titallytan1-0-0,bujijia1105,titallytan,0-1-0,1-0-0,titallytan,bujijia1105,titallytan
9,Dougiefresh351-0-0,1,0,grainst0-1-0,Dougiefresh35,grainst,1-0-0,0-1-0,dougiefresh35,dougiefresh35,grainst
10,Caleb Cosby1-0-0,1,0,Chris Mack0-1-0,Caleb Cosby,Chris Mack,1-0-0,0-1-0,pickyourpoke,pickyourpoke,omagic1313
11,trickcointcg1-0-0,1,0,Dan Perez0-1-0,trickcointcg,Dan Perez,1-0-0,0-1-0,trickcointcg,trickcointcg,notoriousd13
12,Railton1-0-0,0,0,yakedo0-1-0,Railton,yakedo,1-0-0,0-1-0,railton,railton,yakedo
13,Joshua Sutherland1-0-0,1,0,kong013619550-1-0,Joshua Sutherland,kong01361955,1-0-0,0-1-0,joshuasutherland21,joshuasutherland21,kong01361955
14,thegreatpagliacc1-0-0,1,0,ONelixx0-1-0,thegreatpagliacc,ONelixx,1-0-0,0-1-0,thegreatpagliacc,thegreatpagliacc,onelixx
15,dtjmelons0-1-0,0,1,Anti1-0-0,dtjmelons,Anti,0-1-0,1-0-0,anti,dtjmelons,anti
16,thesnorlaxian1-0-0,0,0,yuanzhe0-1-0,thesnorlaxian,yuanzhe,1-0-0,0-1-0,thesnorlaxian,thesnorlaxian,yuanzhe
17,Bodhi Robinson1-0-0,1,0,xtracrispy830-1-0,Bodhi Robinson,xtracrispy83,1-0-0,0-1-0,bodhi,bodhi,xtracrispy83
18,gazerbeam2k0-1-0,0,1,JulioPokeDad1-0-0,gazerbeam2k,JulioPokeDad,0-1-0,1-0-0,juliopokedad,gazerbeam2k,juliopokedad
19,TophatEevee0-1-0,0,1,Fon1-0-0,TophatEevee,Fon,0-1-0,1-0-0,fon,tophateevee,fon
20,Danuwat Wantha0-1-0,0,1,Merk431-0-0,Danuwat Wantha,Merk43,0-1-0,1-0-0,merk43,guywantha,merk43
21,pedromon0-1-0,0,1,Savid4001-0-0,pedromon,Savid400,0-1-0,1-0-0,savid400,pedromon,savid400
22,Gabriel Padinha0-1-0,0,0,Juan Andree1-0-0,Gabriel Padinha,Juan Andree,0-1-0,1-0-0,juanandree,calkab,juanandree
23,faris2381-0-0,1,0,Ciulla0-1-0,faris238,Ciulla,1-0-0,0-1-0,faris238,faris238,ciulla
24,toko1-0-0,0,0,Legendaray0-1-0,toko,Legendaray,1-0-0,0-1-0,toko,toko,legendaray
25,Benjamin Merritt0-1-0,0,1,YoongKaiJian1-0-0,Benjamin Merritt,YoongKaiJian,0-1-0,1-0-0,yoongkaijian,burningblaziken,yoongkaijian
26,Cheech9271-0-0,1,0,Najuzza0-1-0,Cheech927,Najuzza,1-0-0,0-1-0,cheech927,cheech927,najuzza
27,sampsontucker0-1-0,0,1,EvanCampbell941-0-0,sampsontucker,EvanCampbell94,0-1-0,1-0-0,evancampbell94,sampsontucker,evancampbell94
28,Detla0-1-0,0,0,Atomicsmash1-0-0,Detla,Atomicsmash,0-1-0,1-0-0,atomicsmash,detla,atomicsmash
