Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Darcy8497-0-0,1,0,HegsterTCG6-1-0,Darcy849,HegsterTCG,7-0-0,6-1-0,darcy849,darcy849,hegstertcg
2,allezliverpool696-1-0,0,1,goomy477-0-0,allezliverpool69,goomy47,6-1-0,7-0-0,goomy47,allezliverpool69,goomy47
3,williamwyc6-1-0,1,0,Henry Brand5-2-0,williamwyc,Henry Brand,6-1-0,5-2-0,williamwyc,williamwyc,henrybrand
4,kannt6-1-0,1,0,anselmsim5-2-0,kannt,anselmsim,6-1-0,5-2-0,kannt,kannt,anselmsim
5,Jeremy L6-1-0,1,0,mellowmountain75-2-0,Jeremy L,mellowmountain7,6-1-0,5-2-0,libero,libero,mellowmountain7
6,Nate Frautschy6-1-0,1,0,Cheech9275-2-0,Nate Frautschy,Cheech927,6-1-0,5-2-0,sueidolon,sueidolon,cheech927
7,MelStar6-1-0,1,0,Ace7025-2-0,MelStar,Ace702,6-1-0,5-2-0,melstar,melstar,ace702
8,Kashvinder Singh5-2-0,0,1,Isaiah Cheville6-1-0,Kashvinder Singh,Isaiah Cheville,5-2-0,6-1-0,zayalee,kashmann27,zayalee
9,Osantowski5-2-0,0,1,Andrew Hedrick6-1-0,Osantowski,Andrew Hedrick,5-2-0,6-1-0,pokehawkeye,osantowski,pokehawkeye
10,maualmeida885-2-0,0,1,Gabriel  Fernandez { raio120 }6-1-0,maualmeida88,Gabriel  Fernandez { raio120 },5-2-0,6-1-0,raio120,maualmeida88,raio120
11,igortotozistico6-1-0,1,0,interfectoris5-2-0,igortotozistico,interfectoris,6-1-0,5-2-0,igortotozistico,igortotozistico,interfectoris
12,Vicente (MoeHawk) Canales-Loyola6-1-0,1,0,CranidosKing1475-2-0,Vicente (MoeHawk) Canales-Loyola,CranidosKing147,6-1-0,5-2-0,moehawk,moehawk,cranidosking147
13,Ryan K5-1-1,1,0,ARandis4-3-0,Ryan K,ARandis,5-1-1,4-3-0,rhinus,rhinus,arandis
14,Peter L5-2-0,1,0,Matsuji06204-3-0,Peter L,Matsuji0620,5-2-0,4-3-0,aierala,aierala,matsuji0620
15,NicoBrown4-3-0,0,1,Vini Fernandez5-2-0,NicoBrown,Vini Fernandez,4-3-0,5-2-0,warexpert,nicobrown,warexpert
16,jtap155-2-0,1,0,Jonathan Patricio Ch.4-3-0,jtap15,Jonathan Patricio Ch.,5-2-0,4-3-0,jtap15,jtap15,jonah2705
17,MasterLeBui5-2-0,1,0,BiscuitHat4-3-0,MasterLeBui,BiscuitHat,5-2-0,4-3-0,masterlebui,masterlebui,biscuithat
18,wy keen4-2-1,0,0,Ayoed4-2-1,wy keen,Ayoed,4-2-1,4-2-1,0,wykeen1994,ayoed
19,Patrick Wall4-3-0,0,1,kjrm975-2-0,Patrick Wall,kjrm97,4-3-0,5-2-0,kjrm97,teamabra87,kjrm97
20,Zac C5-2-0,1,0,Nagii4-3-0,Zac C,Nagii,5-2-0,4-3-0,globaltrainer71,globaltrainer71,nagii
21,Ouro Kronii5-2-0,1,0,SeoulTCG4-3-0,Ouro Kronii,SeoulTCG,5-2-0,4-3-0,edgevnv,edgevnv,seoultcg
22,pititu5-2-0,1,0,CEOMOES4-3-0,pititu,CEOMOES,5-2-0,4-3-0,pititu,pititu,ceomoes
23,SweeTxyz5-2-0,1,0,Ant43914-3-0,SweeTxyz,Ant4391,5-2-0,4-3-0,sweetxyz,sweetxyz,ant4391
24,Railton4-3-0,0,1,MrToroTCG5-2-0,Railton,MrToroTCG,4-3-0,5-2-0,mrtorotcg,railton,mrtorotcg
25,Douglas McFarland4-3-0,0,1,Squallxx175-2-0,Douglas McFarland,Squallxx17,4-3-0,5-2-0,squallxx17,dougiefresh35,squallxx17
26,Bruno Souza4-3-0,0,1,Josh Frink5-2-0,Bruno Souza,Josh Frink,4-3-0,5-2-0,dreamjew,bhhenriques,dreamjew
27,solo95274-3-0,0,1,Psykolele5-2-0,solo9527,Psykolele,4-3-0,5-2-0,psykolele,solo9527,psykolele
28,Fabian Robledo 5-2-0,1,0,meirelles74-3-0,Fabian Robledo ,meirelles7,5-2-0,4-3-0,fabian2206,fabian2206,meirelles7
29,Solkten5-2-0,1,0,capitanga4-3-0,Solkten,capitanga,5-2-0,4-3-0,solkten,solkten,capitanga
30,Smokeyslim7185-2-0,1,0,Ederbeteta4-3-0,Smokeyslim718,Ederbeteta,5-2-0,4-3-0,smokeyslim718,smokeyslim718,ederbeteta
31,Kerfluffal4-3-0,0,1,thrae5-2-0,Kerfluffal,thrae,4-3-0,5-2-0,thrae,kerfluffal,thrae
32,Pertur4-3-0,0,1,Justin Stites5-2-0,Pertur,Justin Stites,4-3-0,5-2-0,bdsax,pertur,bdsax
33,UndauntedHound4-3-0,0,1,Atomicsmash5-2-0,UndauntedHound,Atomicsmash,4-3-0,5-2-0,atomicsmash,undauntedhound,atomicsmash
34,MAGG245-2-0,1,0,Nanerpus4-3-0,MAGG24,Nanerpus,5-2-0,4-3-0,magg24,magg24,nanerpus
35,rad1445-2-0,1,0,Caleb Rogerson4-3-0,rad144,Caleb Rogerson,5-2-0,4-3-0,rad144,rad144,memaanhc
36,Richard  Ruiz3-3-1,0,1,Nate Kirksey4-2-1,Richard  Ruiz,Nate Kirksey,3-3-1,4-2-1,pokenate,vartancaftel,pokenate
37,Luke Morsa4-2-1,1,0,Brett Stratton3-4-0,Luke Morsa,Brett Stratton,4-2-1,3-4-0,celiosnetwork,celiosnetwork,bretts
38,Livvylance3-4-0,0,1,gazerbeam2k4-3-0,Livvylance,gazerbeam2k,3-4-0,4-3-0,gazerbeam2k,livvylance,gazerbeam2k
39,EricSmash4-3-0,1,0,EddRent3-4-0,EricSmash,EddRent,4-3-0,3-4-0,ericsmash,ericsmash,eddrent
40,DaredevilGugu4-3-0,1,0,Vina3-4-0,DaredevilGugu,Vina,4-3-0,3-4-0,daredevilgugu,daredevilgugu,vina
41,Pokemontrainertt4-3-0,0,0,mojelly3023-4-0,Pokemontrainertt,mojelly302,4-3-0,3-4-0,pokemontrainertt,pokemontrainertt,mojelly302
42,EvanCampbell944-3-0,1,0,Diegofranche3-4-0,EvanCampbell94,Diegofranche,4-3-0,3-4-0,evancampbell94,evancampbell94,diegofranche
43,Bodhi Robinson4-3-0,1,0,catmeasles3-4-0,Bodhi Robinson,catmeasles,4-3-0,3-4-0,bodhi,bodhi,catmeasles
44,TheShaddyWaffle4-3-0,1,0,Joshua Sutherland3-4-0,TheShaddyWaffle,Joshua Sutherland,4-3-0,3-4-0,theshaddywaffle,theshaddywaffle,joshuasutherland21
45,Smeef4-3-0,1,0,faris2383-4-0,Smeef,faris238,4-3-0,3-4-0,smeef,smeef,faris238
46,mkirby3-4-0,0,1,Ben S4-3-0,mkirby,Ben S,3-4-0,4-3-0,doa9,mkirby,doa9
47,Stophile4-3-0,1,0,stencarlet3-4-0,Stophile,stencarlet,4-3-0,3-4-0,stophile,stophile,stencarlet
48,Juliofranche4-3-0,1,0,Lucas O3-4-0,Juliofranche,Lucas O,4-3-0,3-4-0,juliofranche,juliofranche,aoldale
49,TJ Guistwite4-3-0,1,0,VichoPM3-4-0,TJ Guistwite,VichoPM,4-3-0,3-4-0,grandtroll21,grandtroll21,vichopm
50,EvanBastian4-3-0,0,0,Haru  Nishikawa3-4-0,EvanBastian,Haru  Nishikawa,4-3-0,3-4-0,evanbastian,evanbastian,harun
51,aus17263-4-0,0,1,Squishface98984-3-0,aus1726,Squishface9898,3-4-0,4-3-0,squishface9898,aus1726,squishface9898
52,Robert Hinds4-3-0,1,0,thembert3-4-0,Robert Hinds,thembert,4-3-0,3-4-0,lifeparttwo,lifeparttwo,thembert
53,RefrigeratedElements4-3-0,1,0,Andrew S3-4-0,RefrigeratedElements,Andrew S,4-3-0,3-4-0,refrigeratedelements,refrigeratedelements,ascotpokes
54,pjwitusik4-3-0,0,0,NickH7773-4-0,pjwitusik,NickH777,4-3-0,3-4-0,pjwitusik,pjwitusik,nickh777
55,Dan Perez4-3-0,1,0,Akiyama7773-4-0,Dan Perez,Akiyama777,4-3-0,3-4-0,notoriousd13,notoriousd13,akiyama777
56,channels053-4-0,0,1,Lullibar4-3-0,channels05,Lullibar,3-4-0,4-3-0,lullibar,channels05,lullibar
57,Bren Hall4-3-0,1,0,Chris Mack3-4-0,Bren Hall,Chris Mack,4-3-0,3-4-0,driftwoodbeats,driftwoodbeats,omagic1313
58,Dobber27234-3-0,,,bye,Dobber2723,*Bye*,4-3-0,N/A,dobber2723,dobber2723,*Bye*
