Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Diego  Milla 3-1-0,0,1,Brett Stratton4-0-0,Diego  Milla ,Brett Stratton,3-1-0,4-0-0,bretts,pachi,bretts
2,MatiEngel3-0-1,0,0,MrToroTCG3-0-1,MatiEngel,MrToroTCG,3-0-1,3-0-1,0,matiengel,mrtorotcg
3,Cheech9274-0-0,1,0,Nate Frautschy3-1-0,Cheech927,Nate Frautschy,4-0-0,3-1-0,cheech927,cheech927,sueidolon
4,aus17263-1-0,0,1,sapocururu4-0-0,aus1726,sapocururu,3-1-0,4-0-0,sapocururu,aus1726,sapocururu
5,ChaloZamorano3-1-0,0,1,Anti4-0-0,ChaloZamorano,Anti,3-1-0,4-0-0,anti,chalozamorano,anti
6,Darcy8493-1-0,0,1,OnGaard4-0-0,Darcy849,OnGaard,3-1-0,4-0-0,ongaard,darcy849,ongaard
7,guicazzonato4-0-0,1,0,Dobber27233-1-0,guicazzonato,Dobber2723,4-0-0,3-1-0,guicazzonato,guicazzonato,dobber2723
8,Colin07103-1-0,0,1,Andrew Hedrick4-0-0,Colin0710,Andrew Hedrick,3-1-0,4-0-0,pokehawkeye,colin0710,pokehawkeye
9,wakingeyes3-1-0,0,1,espel4-0-0,wakingeyes,espel,3-1-0,4-0-0,espel,wakingeyes,espel
10,Haru  Nishikawa3-1-0,0,1,7heMC4-0-0,Haru  Nishikawa,7heMC,3-1-0,4-0-0,7hemc,harun,7hemc
11,miltonleite124-0-0,1,0,Tommyb893-1-0,miltonleite12,Tommyb89,4-0-0,3-1-0,miltonleite12,miltonleite12,tommyb89
12,EvanBastian4-0-0,1,0,Huntaj823-1-0,EvanBastian,Huntaj82,4-0-0,3-1-0,evanbastian,evanbastian,huntaj82
13,Aquiladisicilia2-2-0,0,1,tmez3-1-0,Aquiladisicilia,tmez,2-2-0,3-1-0,tmez,aquiladisicilia,tmez
14,Diegofranche2-2-0,0,1,Jay Lattimore3-1-0,Diegofranche,Jay Lattimore,2-2-0,3-1-0,waffleangelo,diegofranche,waffleangelo
15,Peter L2-2-0,0,1,GabsBaptista3-1-0,Peter L,GabsBaptista,2-2-0,3-1-0,gabsbaptista,aierala,gabsbaptista
16,Josh Cohen2-2-0,0,1,topherton3-1-0,Josh Cohen,topherton,2-2-0,3-1-0,topherton,jcohenwc,topherton
