Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,JulioPokeDad7-0-0,1,0,Nicholas Homa6-1-0,JulioPokeDad,Nicholas Homa,7-0-0,6-1-0,juliopokedad,juliopokedad,aquiladisicilia
2,goomy475-1-1,0,1,Ira P6-0-1,goomy47,Ira P,5-1-1,6-0-1,ira9999,goomy47,ira9999
3,Christian Jaramillo6-1-0,1,0,Jonathan Patricio Ch.5-2-0,Christian Jaramillo,Jonathan Patricio Ch.,6-1-0,5-2-0,setokaiba1308,setokaiba1308,jonah2705
4,Zak Turchansky6-1-0,1,0,axellvarez5-2-0,Zak Turchansky,axellvarez,6-1-0,5-2-0,zturchan,zturchan,axellvarez
5,Dan Perez5-2-0,0,1,Ajolt6-1-0,Dan Perez,Ajolt,5-2-0,6-1-0,ajolt,notoriousd13,ajolt
6,Josh Cohen6-1-0,1,0,thegreatpagliacc5-2-0,Josh Cohen,thegreatpagliacc,6-1-0,5-2-0,jcohenwc,jcohenwc,thegreatpagliacc
7,Alex Hamilton6-1-0,1,0,Ninoafta5-2-0,Alex Hamilton,Ninoafta,6-1-0,5-2-0,omegascizor456,omegascizor456,ninoafta
8,Livvylance5-2-0,0,1,JRFavato6-1-0,Livvylance,JRFavato,5-2-0,6-1-0,jrfavato,livvylance,jrfavato
9,OnGaard6-1-0,1,0,ianlaneifa5-2-0,OnGaard,ianlaneifa,6-1-0,5-2-0,ongaard,ongaard,ianlaneifa
10,Solkten6-1-0,1,0,FR0sTiii5-2-0,Solkten,FR0sTiii,6-1-0,5-2-0,solkten,solkten,fr0stiii
11,raton emoji fuego emoji6-1-0,1,0,Ryota Saito4-2-1,raton emoji fuego emoji,Ryota Saito,6-1-0,4-2-1,warzertel,warzertel,mawssa2000
12,APackOfAlpacas4-2-1,0,1,Richard  Ruiz5-2-0,APackOfAlpacas,Richard  Ruiz,4-2-1,5-2-0,vartancaftel,apackofalpacas,vartancaftel
13,Akiyama7774-3-0,0,1,Chetsteadman5-2-0,Akiyama777,Chetsteadman,4-3-0,5-2-0,chetsteadman,akiyama777,chetsteadman
14,Mario Yanez4-3-0,0,1,Kevin Abernathy5-2-0,Mario Yanez,Kevin Abernathy,4-3-0,5-2-0,kevbot719,marioyanez,kevbot719
15,PinkQuaker5-2-0,1,0,MasterLeBui4-3-0,PinkQuaker,MasterLeBui,5-2-0,4-3-0,pinkquaker,pinkquaker,masterlebui
