Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,DorianStotts7-2-0,0,1,Vaughn8-1-0,DorianStotts,Vaughn,7-2-0,8-1-0,vaughn,dorianstotts,vaughn
2,MasterLeBui7-1-1,0,0,afranco237-1-1,MasterLeBui,afranco23,7-1-1,7-1-1,0,masterlebui,afranco23
3,Ztporlier8-1-0,1,0,grantnoff7-2-0,Ztporlier,grantnoff,8-1-0,7-2-0,ztporlier,ztporlier,grantnoff
4,Benjamin Merritt6-2-1,0,1,Joshua Sutherland7-1-1,Benjamin Merritt,Joshua Sutherland,6-2-1,7-1-1,joshuasutherland21,burningblaziken,joshuasutherland21
5,Atomicsmash7-2-0,1,0,Victor De Velasco6-3-0,Atomicsmash,Victor De Velasco,7-2-0,6-3-0,atomicsmash,atomicsmash,victor91dv
6,Ajolt7-2-0,1,0,Andrew Hedrick6-3-0,Ajolt,Andrew Hedrick,7-2-0,6-3-0,ajolt,ajolt,pokehawkeye
7,goomy476-3-0,0,1,maualmeida887-2-0,goomy47,maualmeida88,6-3-0,7-2-0,maualmeida88,goomy47,maualmeida88
8,7heMC7-2-0,1,0,Dobber27236-3-0,7heMC,Dobber2723,7-2-0,6-3-0,7hemc,7hemc,dobber2723
9,heyimtazz7-2-0,1,0,evltrtl6-3-0,heyimtazz,evltrtl,7-2-0,6-3-0,heyimtazz,heyimtazz,evltrtl
10,Alex Hamilton6-3-0,0,1,Kashvinder Singh7-2-0,Alex Hamilton,Kashvinder Singh,6-3-0,7-2-0,kashmann27,omegascizor456,kashmann27
11,Norman Chan6-3-0,0,1,Zach Cohen7-2-0,Norman Chan,Zach Cohen,6-3-0,7-2-0,zbear1109,norm,zbear1109
12,Charlie Kerr6-3-0,0,1,solo95277-2-0,Charlie Kerr,solo9527,6-3-0,7-2-0,solo9527,kerrcharlie,solo9527
13,Akiyama7775-3-1,0,1,igortotozistico6-2-1,Akiyama777,igortotozistico,5-3-1,6-2-1,igortotozistico,akiyama777,igortotozistico
14,TheRicardoToddy5-3-1,0,1,Richard  Ruiz6-3-0,TheRicardoToddy,Richard  Ruiz,5-3-1,6-3-0,vartancaftel,thericardotoddy,vartancaftel
15,AlexandreORAND6-3-0,1,0,Cheech9275-4-0,AlexandreORAND,Cheech927,6-3-0,5-4-0,alexandreorand,alexandreorand,cheech927
16,Utility5-4-0,0,1,Legendaray6-3-0,Utility,Legendaray,5-4-0,6-3-0,legendaray,utility,legendaray
17,channels056-3-0,1,0,Lucas O5-4-0,channels05,Lucas O,6-3-0,5-4-0,channels05,channels05,aoldale
18,RingToss5-4-0,0,1,Huffer6-3-0,RingToss,Huffer,5-4-0,6-3-0,huffer,ringtoss,huffer
19,ianlaneifa5-4-0,0,1,Paulo Anderson6-3-0,ianlaneifa,Paulo Anderson,5-4-0,6-3-0,fumikage,ianlaneifa,fumikage
20,mkirby5-4-0,0,1,Josh Cohen6-3-0,mkirby,Josh Cohen,5-4-0,6-3-0,jcohenwc,mkirby,jcohenwc
21,topherton5-4-0,0,1,Vapidbruiser6-3-0,topherton,Vapidbruiser,5-4-0,6-3-0,vapidbruiser,topherton,vapidbruiser
22,Gustavohos6-3-0,1,0,iStark115-4-0,Gustavohos,iStark11,6-3-0,5-4-0,gustavohos,gustavohos,istark11
23,Vini Fernandez6-3-0,1,0,Ira P5-4-0,Vini Fernandez,Ira P,6-3-0,5-4-0,warexpert,warexpert,ira9999
24,christopherXC5-3-1,1,0,Dabstar904-4-1,christopherXC,Dabstar90,5-3-1,4-4-1,christopherxc,christopherxc,dabstar90
25,EddRent5-3-1,1,0,mikemrtn4-4-1,EddRent,mikemrtn,5-3-1,4-4-1,eddrent,eddrent,mikemrtn
26,Liam Kidd4-4-1,0,1,Nicholas Homa5-4-0,Liam Kidd,Nicholas Homa,4-4-1,5-4-0,aquiladisicilia,liamkidd,aquiladisicilia
27,sapocururu4-5-0,0,1,Dan Perez5-4-0,sapocururu,Dan Perez,4-5-0,5-4-0,notoriousd13,sapocururu,notoriousd13
28,Brett Stratton5-4-0,1,0,arturoR2D26331274-5-0,Brett Stratton,arturoR2D2633127,5-4-0,4-5-0,bretts,bretts,arturor2d2633127
29,frankibby5-4-0,1,0,wakingeyes3-5-1,frankibby,wakingeyes,5-4-0,3-5-1,frankibby,frankibby,wakingeyes
30,Pablo Seven4-4-1,0,0,Psykolele3-6-0,Pablo Seven,Psykolele,4-4-1,3-6-0,drtastebad,drtastebad,psykolele
31,afuller54193-6-0,0,0,MindBlownTCG3-6-0,afuller5419,MindBlownTCG,3-6-0,3-6-0,-1,afuller5419,mindblowntcg
