Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Alex Hamilton2-0-0,1,0,burner1-1-0,Alex Hamilton,burner,2-0-0,1-1-0,omegascizor456,omegascizor456,burner
2,Fidelio S1-1-0,0,1,SiFrWiNg2-0-0,Fidelio S,SiFrWiNg,1-1-0,2-0-0,sifrwing,fidescience,sifrwing
3,mkirby1-1-0,0,1,kerrcharlie2-0-0,mkirby,kerrcharlie,1-1-0,2-0-0,kerrcharlie,mkirby,kerrcharlie
4,Shac1-1-0,0,1,grantm122-0-0,Shac,grantm12,1-1-0,2-0-0,grantm12,shac,grantm12
5,Sorry Bout That2-0-0,1,0,TrevorC20211-1-0,Sorry Bout That,TrevorC2021,2-0-0,1-1-0,brandonsalazar,brandonsalazar,trevorc2021
6,JorgeR2-0-0,1,0,jtap151-1-0,JorgeR,jtap15,2-0-0,1-1-0,jorger,jorger,jtap15
7,Cyrus (Draydon) Davis2-0-0,1,0,Daltonfresh1-1-0,Cyrus (Draydon) Davis,Daltonfresh,2-0-0,1-1-0,draydon,draydon,daltonfresh
8,Gumby A1-1-0,0,1,Luis046w32-0-0,Gumby A,Luis046w3,1-1-0,2-0-0,luis046w3,rodimsuprime55,luis046w3
9,Rory Sharpe1-1-0,0,1,7heMC2-0-0,Rory Sharpe,7heMC,1-1-0,2-0-0,7hemc,stazzy69,7hemc
10,aquaticblaze1-1-0,0,1,Drtastebad2-0-0,aquaticblaze,Drtastebad,1-1-0,2-0-0,drtastebad,aquaticblaze,drtastebad
11,Daichi S2-0-0,1,0,Bielcosta1-1-0,Daichi S,Bielcosta,2-0-0,1-1-0,sanigo,sanigo,bielcosta
12,sapocururu2-0-0,1,0,KevinPereira71-1-0,sapocururu,KevinPereira7,2-0-0,1-1-0,sapocururu,sapocururu,kevinpereira7
13,Lindsay Lohan1-1-0,0,1,rain2-0-0,Lindsay Lohan,rain,1-1-0,2-0-0,rain,tathenz,rain
14,felipe2792-0-0,1,0,chrischop941-1-0,felipe279,chrischop94,2-0-0,1-1-0,felipe279,felipe279,chrischop94
15,CranidosKing1471-0-1,0,0,thembert1-0-1,CranidosKing147,thembert,1-0-1,1-0-1,0,cranidosking147,thembert
16,zattack102-0-0,1,0,Kevin Abernathy1-1-0,zattack10,Kevin Abernathy,2-0-0,1-1-0,zattack10,zattack10,kevbot719
17,RingToss2-0-0,1,0,boo69x1-1-0,RingToss,boo69x,2-0-0,1-1-0,ringtoss,ringtoss,boo69x
18,Rvd169992-0-0,1,0,Tukaon3211-1-0,Rvd16999,Tukaon321,2-0-0,1-1-0,rvd16999,rvd16999,tukaon321
19,DorianStotts1-1-0,0,1,tmez2-0-0,DorianStotts,tmez,1-1-0,2-0-0,tmez,dorianstotts,tmez
20,GussySumano1-1-0,0,1,Juan Andree2-0-0,GussySumano,Juan Andree,1-1-0,2-0-0,juanandree,gussysumano,juanandree
21,christopherXC2-0-0,1,0,Richard  Ruiz1-1-0,christopherXC,Richard  Ruiz,2-0-0,1-1-0,christopherxc,christopherxc,vartancaftel
22,Peter L1-1-0,0,1,GabrielSmartTCG2-0-0,Peter L,GabrielSmartTCG,1-1-0,2-0-0,gabrielsmarttcg,aierala,gabrielsmarttcg
23,Nick Tannous1-1-0,0,1,Marck2612-0-0,Nick Tannous,Marck261,1-1-0,2-0-0,marck261,redapplepoker,marck261
