Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Ajolt4-1-0,0,1,Iamtherealstory7775-0-0,Ajolt,Iamtherealstory777,4-1-0,5-0-0,iamtherealstory777,ajolt,iamtherealstory777
2,DregnSleyr5-0-0,1,0,Josh Cohen4-1-0,DregnSleyr,Josh Cohen,5-0-0,4-1-0,dregnsleyr,dregnsleyr,jcohenwc
3,Juan T5-0-0,1,0,Zach Roy4-1-0,Juan T,Zach Roy,5-0-0,4-1-0,evanbastian,evanbastian,senordoom
4,coronelzeta5-0-0,1,0,MintMermaid4-1-0,coronelzeta,MintMermaid,5-0-0,4-1-0,coronelzeta,coronelzeta,mintmermaid
5,Zach Cohen5-0-0,1,0,allezliverpool694-1-0,Zach Cohen,allezliverpool69,5-0-0,4-1-0,zbear1109,zbear1109,allezliverpool69
6,Aaron Gaudet5-0-0,1,0,5 FOR A DUB4-1-0,Aaron Gaudet,5 FOR A DUB,5-0-0,4-1-0,gaudet601,gaudet601,geissleralec
7,Enma085-0-0,1,0,axellvarez4-1-0,Enma08,axellvarez,5-0-0,4-1-0,enma08,enma08,axellvarez
8,Nicholas Homa3-1-1,0,1,Josh A4-0-1,Nicholas Homa,Josh A,3-1-1,4-0-1,alvarezjjosh96,aquiladisicilia,alvarezjjosh96
9,ninjadrake4-0-1,1,0,ChillTCG3-1-1,ninjadrake,ChillTCG,4-0-1,3-1-1,ninjadrake,ninjadrake,chilltcg
10,tiger13114-1-0,1,0,HoodiePTCG3-2-0,tiger1311,HoodiePTCG,4-1-0,3-2-0,tiger1311,tiger1311,hoodieptcg
11,Alex Schemanske4-1-0,1,0,Sorry Bout That3-2-0,Alex Schemanske,Sorry Bout That,4-1-0,3-2-0,mewpip,mewpip,brandonsalazar
12,Kashvinder Singh4-1-0,1,0,TrevorC20213-2-0,Kashvinder Singh,TrevorC2021,4-1-0,3-2-0,kashmann27,kashmann27,trevorc2021
13,Darceloix3-2-0,0,1,Jared W4-1-0,Darceloix,Jared W,3-2-0,4-1-0,jwils4,darceloix,jwils4
14,Johnny Rabus3-2-0,0,1,bryant setzler4-1-0,Johnny Rabus,bryant setzler,3-2-0,4-1-0,bsetzlertattoo,inferno,bsetzlertattoo
15,Savid4004-1-0,1,0,Britney Spears3-2-0,Savid400,Britney Spears,4-1-0,3-2-0,savid400,savid400,tathenz
16,MartinHoffo3-2-0,0,1,Gabriel Pino Semedo4-1-0,MartinHoffo,Gabriel Pino Semedo,3-2-0,4-1-0,gabrielsemedo,martinhoffo,gabrielsemedo
17,LionFishLover3-2-0,0,1,DorianStotts4-1-0,LionFishLover,DorianStotts,3-2-0,4-1-0,dorianstotts,lionfishlover,dorianstotts
18,Utility4-1-0,1,0,FlowTKast3-2-0,Utility,FlowTKast,4-1-0,3-2-0,utility,utility,flowtkast
19,Alex C3-2-0,0,1,Sethowar4-1-0,Alex C,Sethowar,3-2-0,4-1-0,sethowar,pandaboss58,sethowar
20,Marck2614-1-0,1,0,goomy473-2-0,Marck261,goomy47,4-1-0,3-2-0,marck261,marck261,goomy47
