Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Alec Geissler3-0-0,1,0,JorgeR2-1-0,Alec Geissler,JorgeR,3-0-0,2-1-0,geissleralec,geissleralec,jorger
2,Richard  Ruiz2-1-0,0,1,likeollywithab3-0-0,Richard  Ruiz,likeollywithab,2-1-0,3-0-0,likeollywithab,vartancaftel,likeollywithab
3,saitama2-1-0,0,1,Natestoess3-0-0,saitama,Natestoess,2-1-0,3-0-0,natestoess,saitama,natestoess
4,rad1443-0-0,1,0,Shane B2-1-0,rad144,Shane B,3-0-0,2-1-0,rad144,rad144,aurion74
5,OGShih2-1-0,0,1,Axel Godoy3-0-0,OGShih,Axel Godoy,2-1-0,3-0-0,raxelgt,ogshih,raxelgt
6,Yzz 超硬772-1-0,0,1,1saltysteak3-0-0,Yzz 超硬77,1saltysteak,2-1-0,3-0-0,1saltysteak,gudihao2020,1saltysteak
7,Anti3-0-0,1,0,santosan239922-1-0,Anti,santosan23992,3-0-0,2-1-0,anti,anti,santosan23992
8,Ursiidae3-0-0,1,0,tmez2-1-0,Ursiidae,tmez,3-0-0,2-1-0,ursiidae,ursiidae,tmez
9,Luis046w33-0-0,1,0,miltonleite122-1-0,Luis046w3,miltonleite12,3-0-0,2-1-0,luis046w3,luis046w3,miltonleite12
10,Jair Rodrigo  O2-1-0,0,1,Benlulubro3-0-0,Jair Rodrigo  O,Benlulubro,2-1-0,3-0-0,benlulubro,oliveirarodr,benlulubro
11,zattack102-1-0,0,1,MissMetal3-0-0,zattack10,MissMetal,2-1-0,3-0-0,missmetal,zattack10,missmetal
12,UndauntedHound3-0-0,1,0,GabrielSmartTCG2-1-0,UndauntedHound,GabrielSmartTCG,3-0-0,2-1-0,undauntedhound,undauntedhound,gabrielsmarttcg
13,Daichi S3-0-0,1,0,Zach Cohen2-1-0,Daichi S,Zach Cohen,3-0-0,2-1-0,sanigo,sanigo,zbear1109
14,Darsh S2-1-0,0,1,Gabe Shumway3-0-0,Darsh S,Gabe Shumway,2-1-0,3-0-0,gabeshumway,darshs1008,gabeshumway
15,Azerea972-1-0,0,1,Hampton Morton3-0-0,Azerea97,Hampton Morton,2-1-0,3-0-0,pokeblackout,azerea97,pokeblackout
16,mojelly3023-0-0,1,0,Mattgoldfish2-1-0,mojelly302,Mattgoldfish,3-0-0,2-1-0,mojelly302,mojelly302,mattgoldfish
17,heyimtazz2-1-0,0,1,Jonathan Patricio Ch.3-0-0,heyimtazz,Jonathan Patricio Ch.,2-1-0,3-0-0,jonah2705,heyimtazz,jonah2705
18,Legendaray3-0-0,1,0,Utility2-1-0,Legendaray,Utility,3-0-0,2-1-0,legendaray,legendaray,utility
19,sugimochan3-0-0,1,0,rain2-1-0,sugimochan,rain,3-0-0,2-1-0,sugimochan,sugimochan,rain
20,littledarkfury3-0-0,0,0,Izmir Armani2-1-0,littledarkfury,Izmir Armani,3-0-0,2-1-0,littledarkfury,littledarkfury,izmirarmani
21,towelసుజిత్dimension 3-0-0,1,0,Owen Johnson2-1-0,towelసుజిత్dimension ,Owen Johnson,3-0-0,2-1-0,mellowmountain7,mellowmountain7,osj14
22,jtap152-1-0,0,1,Leandro Fernandes3-0-0,jtap15,Leandro Fernandes,2-1-0,3-0-0,leandropringos,jtap15,leandropringos
23,Regan Retzloff 2-1-0,0,1,Matthew Wright3-0-0,Regan Retzloff ,Matthew Wright,2-1-0,3-0-0,redpyro1266,regannator,redpyro1266
24,williamwyc2-1-0,0,1,HP40033-0-0,williamwyc,HP4003,2-1-0,3-0-0,hp4003,williamwyc,hp4003
25,Jhill2-1-0,0,1,pedromon3-0-0,Jhill,pedromon,2-1-0,3-0-0,pedromon,jhill,pedromon
26,Dobber27233-0-0,1,0,Xavier E2-1-0,Dobber2723,Xavier E,3-0-0,2-1-0,dobber2723,dobber2723,xabro
27,Vaughn2-1-0,0,1,AnthonyL3-0-0,Vaughn,AnthonyL,2-1-0,3-0-0,anthonyl,vaughn,anthonyl
28,Koichi Kimura2-1-0,0,1,ChillTCG3-0-0,Koichi Kimura,ChillTCG,2-1-0,3-0-0,chilltcg,symphogear119,chilltcg
29,pjwitusik2-1-0,0,1,Charles S3-0-0,pjwitusik,Charles S,2-1-0,3-0-0,cfs11,pjwitusik,cfs11
30,Dale C3-0-0,1,0,Juan T2-1-0,Dale C,Juan T,3-0-0,2-1-0,spicydad,spicydad,evanbastian
31,robunzatsu3-0-0,1,0,Vina2-1-0,robunzatsu,Vina,3-0-0,2-1-0,robunzatsu,robunzatsu,vina
32,Railton2-0-1,0,0,SHSuperSonic2-0-1,Railton,SHSuperSonic,2-0-1,2-0-1,0,railton,shsupersonic
33,NOLOAF2-1-0,0,1,Natagorn19903-0-0,NOLOAF,Natagorn1990,2-1-0,3-0-0,natagorn1990,noloaf,natagorn1990
34,Mario Yanez2-1-0,0,1,wakingeyes3-0-0,Mario Yanez,wakingeyes,2-1-0,3-0-0,wakingeyes,marioyanez,wakingeyes
35,Birdexe2-0-1,1,0,LM1-2-0,Birdexe,LM,2-0-1,1-2-0,birdexe,birdexe,lm
36,Luxnd1-2-0,0,1,fdizzle122-1-0,Luxnd,fdizzle12,1-2-0,2-1-0,fdizzle12,luxnd,fdizzle12
37,Zanol2-1-0,1,0,CptCodfish1-2-0,Zanol,CptCodfish,2-1-0,1-2-0,zanol,zanol,cptcodfish
38,Patrick Wall2-1-0,1,0,PatSteven1-2-0,Patrick Wall,PatSteven,2-1-0,1-2-0,teamabra87,teamabra87,patsteven
