Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,LionFishLover2-0-0,1,0,ChaloZamorano1-1-0,LionFishLover,ChaloZamorano,2-0-0,1-1-0,lionfishlover,lionfishlover,chalozamorano
2,AndresJgames2-0-0,1,0,Blues Lee1-1-0,AndresJgames,Blues Lee,2-0-0,1-1-0,andresjgames,andresjgames,bluezhin
3,bujijia11051-1-0,0,1,Ben D2-0-0,bujijia1105,Ben D,1-1-0,2-0-0,bendover1357,bujijia1105,bendover1357
4,MelStar1-1-0,0,1,Ira P2-0-0,MelStar,Ira P,1-1-0,2-0-0,ira9999,melstar,ira9999
5,Mike Carvallo2-0-0,1,0,Clair B1-1-0,Mike Carvallo,Clair B,2-0-0,1-1-0,mikecarvallo,mikecarvallo,bunkbun
6,CardSwagg1-1-0,0,1,Golisopod0142-0-0,CardSwagg,Golisopod014,1-1-0,2-0-0,golisopod014,cardswagg,golisopod014
7,Vikram S1-1-0,0,1,Luke Morsa2-0-0,Vikram S,Luke Morsa,1-1-0,2-0-0,celiosnetwork,viksun14618,celiosnetwork
8,CritzSR2-0-0,1,0,PerfectPenguin71-1-0,CritzSR,PerfectPenguin7,2-0-0,1-1-0,critzsr,critzsr,perfectpenguin7
9,NickH7771-1-0,0,1,LegoWarrior702-0-0,NickH777,LegoWarrior70,1-1-0,2-0-0,legowarrior70,nickh777,legowarrior70
10,pjwitusik2-0-0,1,0,Josh Cohen1-1-0,pjwitusik,Josh Cohen,2-0-0,1-1-0,pjwitusik,pjwitusik,jcohenwc
11,Slimey21-1-0,0,1,kaiba082-0-0,Slimey2,kaiba08,1-1-0,2-0-0,kaiba08,slimey2,kaiba08
12,tmez1-1-0,0,1,Christopher W2-0-0,tmez,Christopher W,1-1-0,2-0-0,neoman357,tmez,neoman357
13,Mike Gibbs2-0-0,1,0,blogstar1-1-0,Mike Gibbs,blogstar,2-0-0,1-1-0,gmibbs,gmibbs,blogstar
14,PizzaTut2-0-0,1,0,Vaughn1-1-0,PizzaTut,Vaughn,2-0-0,1-1-0,pizzatut,pizzatut,vaughn
15,Ninoafta1-1-0,0,1,NameAChef2-0-0,Ninoafta,NameAChef,1-1-0,2-0-0,nameachef,ninoafta,nameachef
16,Stephen Richardson2-0-0,1,0,Felipe Pasquale1-1-0,Stephen Richardson,Felipe Pasquale,2-0-0,1-1-0,sportzfan1990,sportzfan1990,fepasqua
17,Anthony L1-1-0,0,1,sokesoke2-0-0,Anthony L,sokesoke,1-1-0,2-0-0,sokesoke,anthonyl,sokesoke
18,ozzycarapia41-1-0,0,1,Ben Telfor2-0-0,ozzycarapia4,Ben Telfor,1-1-0,2-0-0,tel4,ozzycarapia4,tel4
19,Doubllez2-0-0,1,0,Dobber27231-1-0,Doubllez,Dobber2723,2-0-0,1-1-0,doubllez,doubllez,dobber2723
20,Bielcosta2-0-0,1,0,ChromePvP1-1-0,Bielcosta,ChromePvP,2-0-0,1-1-0,bielcosta,bielcosta,chromepvp
21,PatSteven2-0-0,1,0,Justin Stites1-1-0,PatSteven,Justin Stites,2-0-0,1-1-0,patsteven,patsteven,bdsax
22,John Konkle2-0-0,1,0,foreverandabove1-1-0,John Konkle,foreverandabove,2-0-0,1-1-0,jk338,jk338,foreverandabove
23,ItsBlueYouKnow2-0-0,1,0,Searion1-1-0,ItsBlueYouKnow,Searion,2-0-0,1-1-0,itsblueyouknow,itsblueyouknow,searion
24,pititu2-0-0,1,0,Juan T1-1-0,pititu,Juan T,2-0-0,1-1-0,pititu,pititu,evanbastian
25,xBbatTx2-0-0,1,0,Alonferzu301-1-0,xBbatTx,Alonferzu30,2-0-0,1-1-0,xbbattx,xbbattx,alonferzu30
26,rain2-0-0,1,0,ARandis1-1-0,rain,ARandis,2-0-0,1-1-0,rain,rain,arandis
27,DiamondKing1-1-0,0,1,rexdog2-0-0,DiamondKing,rexdog,1-1-0,2-0-0,rexdog,diamondking,rexdog
