Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Simon Trottier-Lacasse6-1-0,0,1,Urtzuub7-0-0,Simon Trottier-Lacasse,Urtzuub,6-1-0,7-0-0,urtzuub,stl,urtzuub
2,Joshua Sutherland6-1-0,0,1,Alex Schemanske7-0-0,Joshua Sutherland,Alex Schemanske,6-1-0,7-0-0,mewpip,joshuasutherland21,mewpip
3,BeastBoizTCG6-0-1,1,0,iStark115-1-1,BeastBoizTCG,iStark11,6-0-1,5-1-1,beastboiztcg,beastboiztcg,istark11
4,TheTricky3333336-1-0,1,0,kohawk21215-2-0,TheTricky333333,kohawk2121,6-1-0,5-2-0,thetricky333333,thetricky333333,kohawk2121
5,Jose Gonzalez5-2-0,0,1,Liam Aesir6-1-0,Jose Gonzalez,Liam Aesir,5-2-0,6-1-0,pheonix,profesorjj,pheonix
6,Peter L5-2-0,0,1,Vina6-1-0,Peter L,Vina,5-2-0,6-1-0,vina,aierala,vina
7,André Chiasson5-2-0,0,1,mikereynolds13376-1-0,André Chiasson,mikereynolds1337,5-2-0,6-1-0,mikereynolds1337,andrechiasson,mikereynolds1337
8,PerryTheP6-1-0,1,0,Nicholas Homa5-2-0,PerryTheP,Nicholas Homa,6-1-0,5-2-0,perrythep,perrythep,aquiladisicilia
9,Timm1016-1-0,1,0,Ninoafta5-2-0,Timm101,Ninoafta,6-1-0,5-2-0,timm101,timm101,ninoafta
10,Lucas O5-2-0,0,1,Vicariant236-1-0,Lucas O,Vicariant23,5-2-0,6-1-0,vicariant23,aoldale,vicariant23
11,JulioPokeDad5-2-0,0,1,wakingeyes6-1-0,JulioPokeDad,wakingeyes,5-2-0,6-1-0,wakingeyes,juliopokedad,wakingeyes
12,fryeguy676-1-0,1,0,RoseRaider5-2-0,fryeguy67,RoseRaider,6-1-0,5-2-0,fryeguy67,fryeguy67,roseraider
13,James G6-1-0,0,0,Joshua Bell5-2-0,James G,Joshua Bell,6-1-0,5-2-0,jamesg,jamesg,joshuaxbell23
14,pititu5-2-0,0,1,Legendaray6-1-0,pititu,Legendaray,5-2-0,6-1-0,legendaray,pititu,legendaray
15,Cal Connor5-2-0,0,1,UltraNko6-1-0,Cal Connor,UltraNko,5-2-0,6-1-0,ultranko,calcal206,ultranko
16,grantm126-1-0,1,0,Slimey25-2-0,grantm12,Slimey2,6-1-0,5-2-0,grantm12,grantm12,slimey2
17,FujiSystem6-1-0,1,0,Jonathan Patricio Ch.4-2-1,FujiSystem,Jonathan Patricio Ch.,6-1-0,4-2-1,fujisystem,fujisystem,jonah2705
18,gantiri5-1-1,1,0,Daniel45774-3-0,gantiri,Daniel4577,5-1-1,4-3-0,gantiri,gantiri,daniel4577
19,MasterLeBui5-2-0,1,0,ChaloZamorano4-3-0,MasterLeBui,ChaloZamorano,5-2-0,4-3-0,masterlebui,masterlebui,chalozamorano
20,EddRent5-2-0,1,0,Alex C4-3-0,EddRent,Alex C,5-2-0,4-3-0,eddrent,eddrent,pandaboss58
21,ianlaneifa5-2-0,1,0,ultraarceus4-3-0,ianlaneifa,ultraarceus,5-2-0,4-3-0,ianlaneifa,ianlaneifa,ultraarceus
22,meirelles74-3-0,0,1,Isaiah Cheville5-2-0,meirelles7,Isaiah Cheville,4-3-0,5-2-0,zayalee,meirelles7,zayalee
23,Darsh S5-2-0,1,0,Zokrakz4-3-0,Darsh S,Zokrakz,5-2-0,4-3-0,darshs1008,darshs1008,zokrakz
24,Erik B4-3-0,0,1,Adam  Kalamat 5-2-0,Erik B,Adam  Kalamat ,4-3-0,5-2-0,adamkalamat,mrsodaking,adamkalamat
25,Dan Perez5-2-0,1,0,Garry Breech4-3-0,Dan Perez,Garry Breech,5-2-0,4-3-0,notoriousd13,notoriousd13,garebear2006
26,Dynamite4-3-0,0,1,OnGaard5-2-0,Dynamite,OnGaard,4-3-0,5-2-0,ongaard,dynamite,ongaard
27,allezliverpool694-3-0,0,1,Atomicsmash5-2-0,allezliverpool69,Atomicsmash,4-3-0,5-2-0,atomicsmash,allezliverpool69,atomicsmash
28,mrdarthbean4-3-0,0,1,Nick Flores5-2-0,mrdarthbean,Nick Flores,4-3-0,5-2-0,foreverandabove,mrdarthbean,foreverandabove
29,royalillest4-3-0,0,1,Christian Jaramillo5-2-0,royalillest,Christian Jaramillo,4-3-0,5-2-0,setokaiba1308,royalillest,setokaiba1308
