Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,chrischop945-0-0,1,0,Vitor Lugon4-1-0,chrischop94,Vitor Lugon,5-0-0,4-1-0,chrischop94,chrischop94,vitorlugon
2,GabrielSmartTCG5-0-0,1,0,Legendaray4-1-0,GabrielSmartTCG,Legendaray,5-0-0,4-1-0,gabrielsmarttcg,gabrielsmarttcg,legendaray
3,Xavier E4-1-0,0,1,mooimmo5-0-0,Xavier E,mooimmo,4-1-0,5-0-0,mooimmo,xabro,mooimmo
4,Perts225-0-0,1,0,Kashvinder Singh4-1-0,Perts22,Kashvinder Singh,5-0-0,4-1-0,perts22,perts22,kashmann27
5,Elnorteamigo5135-0-0,1,0,berganballer304-1-0,Elnorteamigo513,berganballer30,5-0-0,4-1-0,elnorteamigo513,elnorteamigo513,berganballer30
6,wakingeyes5-0-0,1,0,Peter L4-1-0,wakingeyes,Peter L,5-0-0,4-1-0,wakingeyes,wakingeyes,aierala
7,JacePatrick5-0-0,1,0,Joshua Sutherland4-1-0,JacePatrick,Joshua Sutherland,5-0-0,4-1-0,jacepatrick,jacepatrick,joshuasutherland21
8,Brian Peavy4-1-0,0,1,Frygy005-0-0,Brian Peavy,Frygy00,4-1-0,5-0-0,frygy00,thepeaves,frygy00
9,JeezyACG4-1-0,0,1,PogiBaymax4-0-1,JeezyACG,PogiBaymax,4-1-0,4-0-1,pogibaymax,jeezyacg,pogibaymax
10,Lucas O4-0-1,1,0,grantm123-1-1,Lucas O,grantm12,4-0-1,3-1-1,aoldale,aoldale,grantm12
11,Gumilakilla3-0-2,0,0,CaioCapetinha3-0-2,Gumilakilla,CaioCapetinha,3-0-2,3-0-2,0,gumilakilla,caiocapetinha
12,Cameron Padilla3-2-0,0,1,Josh Parks4-1-0,Cameron Padilla,Josh Parks,3-2-0,4-1-0,sotakethat,camycameron,sotakethat
13,awildjordan4-1-0,1,0,evltrtl3-2-0,awildjordan,evltrtl,4-1-0,3-2-0,awildjordan,awildjordan,evltrtl
14,Jorgecani4-1-0,1,0,GABRIEL233-2-0,Jorgecani,GABRIEL23,4-1-0,3-2-0,jorgecani,jorgecani,gabriel23
15,coronelzeta4-1-0,1,0,Stephen Roche3-2-0,coronelzeta,Stephen Roche,4-1-0,3-2-0,coronelzeta,coronelzeta,stephenroche
16,Jonathan Patricio Ch.4-1-0,1,0,chingpaq3-2-0,Jonathan Patricio Ch.,chingpaq,4-1-0,3-2-0,jonah2705,jonah2705,chingpaq
17,Andrew S4-1-0,1,0,Zetta3-2-0,Andrew S,Zetta,4-1-0,3-2-0,ascotpokes,ascotpokes,zetta
18,Clayton Fagan4-1-0,1,0,sapocururu3-2-0,Clayton Fagan,sapocururu,4-1-0,3-2-0,madtrucker78,madtrucker78,sapocururu
19,Zach Roy3-2-0,0,1,ely71724-1-0,Zach Roy,ely7172,3-2-0,4-1-0,ely7172,senordoom,ely7172
20,JorgeR3-2-0,0,1,TadeusO4-1-0,JorgeR,TadeusO,3-2-0,4-1-0,tadeuso,jorger,tadeuso
21,CLS0844494-1-0,1,0,GUH Pablo3-2-0,CLS084449,GUH Pablo,4-1-0,3-2-0,cls084449,cls084449,drtastebad
22,rexdog4-1-0,1,0,Anti3-2-0,rexdog,Anti,4-1-0,3-2-0,rexdog,rexdog,anti
23,beats93-2-0,0,1,Naruto Uzumaki4-1-0,beats9,Naruto Uzumaki,3-2-0,4-1-0,chrollo,beats9,chrollo
24,Ajolt4-1-0,1,0,Daniel L3-2-0,Ajolt,Daniel L,4-1-0,3-2-0,ajolt,ajolt,danielryne
25,OnGaard3-2-0,0,1,Smyth4-1-0,OnGaard,Smyth,3-2-0,4-1-0,smyth,ongaard,smyth
26,Elliskelly8184-1-0,1,0,Freddie C3-2-0,Elliskelly818,Freddie C,4-1-0,3-2-0,elliskelly818,elliskelly818,xgodson
27,ChromePvP4-1-0,1,0,mingsoon10163-2-0,ChromePvP,mingsoon1016,4-1-0,3-2-0,chromepvp,chromepvp,mingsoon1016
28,Matthewg213-2-0,0,1,Brett Stratton4-1-0,Matthewg21,Brett Stratton,3-2-0,4-1-0,bretts,matthewg21,bretts
29,Tangbrandon19973-2-0,0,1,EvanCampbell944-1-0,Tangbrandon1997,EvanCampbell94,3-2-0,4-1-0,evancampbell94,tangbrandon1997,evancampbell94
30,Liam Kidd3-2-0,0,1,shaggy4-1-0,Liam Kidd,shaggy,3-2-0,4-1-0,shaggy,liamkidd,shaggy
31,fandybass3-2-0,0,1,Chillduck4-1-0,fandybass,Chillduck,3-2-0,4-1-0,chillduck,fandybass,chillduck
32,Atomicsmash4-1-0,1,0,DangerousRogue3-2-0,Atomicsmash,DangerousRogue,4-1-0,3-2-0,atomicsmash,atomicsmash,dangerousrogue
33,Christian Stridiron4-1-0,1,0,GoRush3-2-0,Christian Stridiron,GoRush,4-1-0,3-2-0,ippokg,ippokg,gorush
34,Charlesmartin13-1-1,0,0,Dyanmitedana3-1-1,Charlesmartin1,Dyanmitedana,3-1-1,3-1-1,0,charlesmartin1,dyanmitedana
35,Erik J3-2-0,0,1,thembert4-1-0,Erik J,thembert,3-2-0,4-1-0,thembert,azmx157,thembert
36,DrewBread4-1-0,1,0,PokeDRUMMER973-2-0,DrewBread,PokeDRUMMER97,4-1-0,3-2-0,drewbread,drewbread,pokedrummer97
37,Jaflanman4-1-0,1,0,Benlulubro3-2-0,Jaflanman,Benlulubro,4-1-0,3-2-0,jaflanman,jaflanman,benlulubro
38,Dobber27233-2-0,0,1,mikemrtn4-1-0,Dobber2723,mikemrtn,3-2-0,4-1-0,mikemrtn,dobber2723,mikemrtn
