Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,JthorneG6-1-0,0,1,Dylan Gunn7-0-0,JthorneG,Dylan Gunn,6-1-0,7-0-0,dylang615,jthorneg,dylang615
2,sapocururu7-0-0,1,0,christianchasejr6-1-0,sapocururu,christianchasejr,7-0-0,6-1-0,sapocururu,sapocururu,christianchasejr
3,TNYF06307-0-0,1,0,Burdajow5-2-0,TNYF0630,Burdajow,7-0-0,5-2-0,tnyf0630,tnyf0630,burdajow
4,wy keen5-1-1,0,0,Cameron Padilla5-1-1,wy keen,Cameron Padilla,5-1-1,5-1-1,0,wykeen1994,camycameron
5,Jerrick Gumila6-1-0,1,0,Pomu Rainpuff5-2-0,Jerrick Gumila,Pomu Rainpuff,6-1-0,5-2-0,jmila7,jmila7,edgevnv
6,JacePatrick6-1-0,1,0,Nicholas Homa5-2-0,JacePatrick,Nicholas Homa,6-1-0,5-2-0,jacepatrick,jacepatrick,aquiladisicilia
7,Keenan V6-1-0,1,0,michaelm12165-2-0,Keenan V,michaelm1216,6-1-0,5-2-0,octopathwanderer,octopathwanderer,michaelm1216
8,rad1445-2-0,0,1,Ajolt6-1-0,rad144,Ajolt,5-2-0,6-1-0,ajolt,rad144,ajolt
9,JRamVGC6-1-0,1,0,BDSax5-2-0,JRamVGC,BDSax,6-1-0,5-2-0,jramvgc,jramvgc,bdsax
10,Hussemon6-1-0,1,0,Matthew445-2-0,Hussemon,Matthew44,6-1-0,5-2-0,hussemon,hussemon,matthew44
11,Tate Whitesell5-2-0,0,1,mike Laundrie6-1-0,Tate Whitesell,mike Laundrie,5-2-0,6-1-0,laundrieman,leukocyte,laundrieman
12,Jake Pilch-Courie6-1-0,1,0,coronelzeta5-2-0,Jake Pilch-Courie,coronelzeta,6-1-0,5-2-0,bigcole,bigcole,coronelzeta
13,CaioCapetinha6-1-0,1,0,Datonekid135-2-0,CaioCapetinha,Datonekid13,6-1-0,5-2-0,caiocapetinha,caiocapetinha,datonekid13
14,Caleb Rogerson6-1-0,1,0,Jonathan Patricio Ch.5-2-0,Caleb Rogerson,Jonathan Patricio Ch.,6-1-0,5-2-0,memaanhc,memaanhc,jonah2705
15,SalamiBear5-2-0,0,1,James Simms6-1-0,SalamiBear,James Simms,5-2-0,6-1-0,4600737,salamibear,4600737
16,Thomas Harvey6-1-0,1,0,OnGaard5-2-0,Thomas Harvey,OnGaard,6-1-0,5-2-0,csffarm,csffarm,ongaard
17,PokeDRUMMER974-1-2,0,0,Nalex07094-1-2,PokeDRUMMER97,Nalex0709,4-1-2,4-1-2,0,pokedrummer97,nalex0709
18,Vini Fernandez4-2-1,0,1,butadbut5-2-0,Vini Fernandez,butadbut,4-2-1,5-2-0,butadbut,warexpert,butadbut
19,Ace7024-3-0,0,1,Railgum5-2-0,Ace702,Railgum,4-3-0,5-2-0,railgum,ace702,railgum
20,espel5-2-0,1,0,coopdivine4-3-0,espel,coopdivine,5-2-0,4-3-0,espel,espel,coopdivine
21,AlexTheBaller204-3-0,0,1,Cobi Kawasaki5-2-0,AlexTheBaller20,Cobi Kawasaki,4-3-0,5-2-0,97kirby,alextheballer20,97kirby
22,Corey Blankenship4-3-0,0,1,Norman Chan5-2-0,Corey Blankenship,Norman Chan,4-3-0,5-2-0,norm,coreyology,norm
23,Zach Cohen4-3-0,0,1,TheRicardoToddy5-2-0,Zach Cohen,TheRicardoToddy,4-3-0,5-2-0,thericardotoddy,zachthemudkip,thericardotoddy
24,Chupapi Munyanyo5-2-0,1,0,CaptenWonder4-3-0,Chupapi Munyanyo,CaptenWonder,5-2-0,4-3-0,brandonsalazar,brandonsalazar,captenwonder
25,Devin S5-2-0,1,0,rain4-3-0,Devin S,rain,5-2-0,4-3-0,shac,shac,rain
26,stephenroche4-3-0,0,1,Hypnotik5-2-0,stephenroche,Hypnotik,4-3-0,5-2-0,hypnotik,stephenroche,hypnotik
27,Timm1015-2-0,1,0,Blues Lee4-3-0,Timm101,Blues Lee,5-2-0,4-3-0,timm101,timm101,bluezhin
28,Legendaray4-3-0,0,0,Zach Roy5-2-0,Legendaray,Zach Roy,4-3-0,5-2-0,senordoom,legendaray,senordoom
