Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,FreeKim9-0-0,2,0,Blask7-2-0,FreeKim,Blask,9-0-0,7-2-0,freekim,freekim,blask
2,Noah Allerton7-2-0,0,2,Marco Cifuentes8-1-0,Noah Allerton,Marco Cifuentes,7-2-0,8-1-0,marcocifuentes,nallerton,marcocifuentes
3,BigGuy1237-2-0,0,2,SavarEX8-1-0,BigGuy123,SavarEX,7-2-0,8-1-0,savarex,bigguy123,savarex
4,Gabriel Pino Semedo8-1-0,2,1,KTG teledeth7-2-0,Gabriel Pino Semedo,KTG teledeth,8-1-0,7-2-0,gabrielsemedo,gabrielsemedo,teledeth
5,peke7-2-0,1,2,Darsh S7-0-2,peke,Darsh S,7-2-0,7-0-2,darshs1008,peke,darshs1008
6,Ajolt7-1-1,2,0,Daruma6-2-1,Ajolt,Daruma,7-1-1,6-2-1,ajolt,ajolt,daruma
7,Ryota Saito6-2-1,0,2,Alex Hamilton7-1-1,Ryota Saito,Alex Hamilton,6-2-1,7-1-1,omegascizor456,mawssa2000,omegascizor456
8,BFFBEAR6-2-1,1,2,jserhan7-2-0,BFFBEAR,jserhan,6-2-1,7-2-0,jserhan,bffbear,jserhan
9,Vitor Lugon6-3-0,1,2,Vaughn7-2-0,Vitor Lugon,Vaughn,6-3-0,7-2-0,vaughn,vitorlugon,vaughn
10,magnechu6-3-0,1,2,Daltonfresh7-2-0,magnechu,Daltonfresh,6-3-0,7-2-0,daltonfresh,magnechu,daltonfresh
11,Sebastià Casas7-2-0,2,1,Tathenz6-3-0,Sebastià Casas,Tathenz,7-2-0,6-3-0,tia2604,tia2604,tathenz
12,Cal Connor7-2-0,2,0,akanettipoke6-3-0,Cal Connor,akanettipoke,7-2-0,6-3-0,calcal206,calcal206,akanettipoke
13,yanpisani226-3-0,0,2,Brandon Johnson7-2-0,yanpisani22,Brandon Johnson,6-3-0,7-2-0,lordbj101,yanpisani22,lordbj101
14,herppu7-2-0,2,0,JakkDoe6-3-0,herppu,JakkDoe,7-2-0,6-3-0,herppu,herppu,jakkdoe
15,nosoness7-2-0,2,0,AyNunez6-3-0,nosoness,AyNunez,7-2-0,6-3-0,nosoness,nosoness,aynunez
16,jeanrcj7-2-0,2,1,Hector Valle6-3-0,jeanrcj,Hector Valle,7-2-0,6-3-0,jeanrcj,jeanrcj,hxvalle
17,TheRicardoToddy6-3-0,0,2,Jonno7-2-0,TheRicardoToddy,Jonno,6-3-0,7-2-0,jonno,thericardotoddy,jonno
18,rhhaeder7-2-0,2,0,oviUE5-3-1,rhhaeder,oviUE,7-2-0,5-3-1,rhhaeder,rhhaeder,oviue
19,sapocururu6-2-1,2,0,Bruno Paredes5-3-1,sapocururu,Bruno Paredes,6-2-1,5-3-1,sapocururu,sapocururu,setheboo
20,Gabe Shumway5-3-1,0,2,Arags6-2-1,Gabe Shumway,Arags,5-3-1,6-2-1,arags,gabeshumway,arags
21,Dan Perez6-2-1,2,1,LittleProdigio5-3-1,Dan Perez,LittleProdigio,6-2-1,5-3-1,notoriousd13,notoriousd13,littleprodigio
22,aus17266-2-1,2,1,Augusto Beringuer5-3-1,aus1726,Augusto Beringuer,6-2-1,5-3-1,aus1726,aus1726,augustoberinguer
23,TJ Guistwite5-3-1,0,2,Lime6-2-1,TJ Guistwite,Lime,5-3-1,6-2-1,lime,grandtroll21,lime
24,Dominick Schroyens5-3-1,0,2,christianchasejr6-2-1,Dominick Schroyens,christianchasejr,5-3-1,6-2-1,christianchasejr,dominicks,christianchasejr
25,Jonnysniper5-3-1,0,0,Jonathan Patricio Ch.6-2-1,Jonnysniper,Jonathan Patricio Ch.,5-3-1,6-2-1,jonah2705,jonnysniper,jonah2705
