Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Tathenz10-0-1,1,0,Richard  Ruiz9-2-0,Tathenz,Richard  Ruiz,10-0-1,9-2-0,tathenz,tathenz,vartancaftel
2,Tiger7009-1-1,0,0,Kirbbyman8-1-2,Tiger700,Kirbbyman,9-1-1,8-1-2,0,tiger700,kirbbyman
3,JosephSneed8-1-2,0,0,Vini Fernandez8-1-2,JosephSneed,Vini Fernandez,8-1-2,8-1-2,0,josephsneed,warexpert
4,Corey Blankenship8-3-0,0,1,Joshua Sutherland9-2-0,Corey Blankenship,Joshua Sutherland,8-3-0,9-2-0,joshuasutherland21,coreyology,joshuasutherland21
5,Arne Van Braeckel8-3-0,0,1,Gabriel O9-2-0,Arne Van Braeckel,Gabriel O,8-3-0,9-2-0,gabriel111094,arneboy11,gabriel111094
6,Vicariant239-2-0,1,0,Kevin Abernathy8-3-0,Vicariant23,Kevin Abernathy,9-2-0,8-3-0,vicariant23,vicariant23,kevbot719
7,Jerrick Gumila9-2-0,1,0,Stephen Roche8-3-0,Jerrick Gumila,Stephen Roche,9-2-0,8-3-0,jmila7,jmila7,stephenroche
8,xANDYx9-2-0,1,0,Mnewey19908-3-0,xANDYx,Mnewey1990,9-2-0,8-3-0,xandyx,xandyx,mnewey1990
9,Brandon Baughn8-3-0,0,1,gavin  bennett8-2-1,Brandon Baughn,gavin  bennett,8-3-0,8-2-1,bgv1989,pokebaughn,bgv1989
10,jserhan8-3-0,1,0,chrischop947-4-0,jserhan,chrischop94,8-3-0,7-4-0,jserhan,jserhan,chrischop94
11,yoppe067-4-0,0,1,Jonathan Patricio Ch.8-3-0,yoppe06,Jonathan Patricio Ch.,7-4-0,8-3-0,jonah2705,yoppe06,jonah2705
12,meirelles78-3-0,1,0,Dominick Schroyens7-4-0,meirelles7,Dominick Schroyens,8-3-0,7-4-0,meirelles7,meirelles7,dominicks
13,kgrules1238-3-0,1,0,Jowzee7-4-0,kgrules123,Jowzee,8-3-0,7-4-0,kgrules123,kgrules123,jowzee
14,coronelzeta8-3-0,1,0,HimeSarah7-4-0,coronelzeta,HimeSarah,8-3-0,7-4-0,coronelzeta,coronelzeta,himesarah
15,Jpizzy417-4-0,0,1,Owen Johnson7-1-3,Jpizzy41,Owen Johnson,7-4-0,7-1-3,osj14,jpizzy41,osj14
16,Charlesmartin18-3-0,1,0,TVSKKiefen7-4-0,Charlesmartin1,TVSKKiefen,8-3-0,7-4-0,charlesmartin1,charlesmartin1,tvskkiefen
17,Jade Applegate7-4-0,0,1,OGShih8-3-0,Jade Applegate,OGShih,7-4-0,8-3-0,ogshih,sparklysilvally,ogshih
18,Blaksnak7-4-0,0,1,AlmightyGible8-3-0,Blaksnak,AlmightyGible,7-4-0,8-3-0,almightygible,blaksnak,almightygible
19,PinkQuaker7-4-0,0,1,drmime6198-3-0,PinkQuaker,drmime619,7-4-0,8-3-0,drmime619,pinkquaker,drmime619
20,Cal Connor8-3-0,1,0,Nanerpus7-4-0,Cal Connor,Nanerpus,8-3-0,7-4-0,calcal206,calcal206,nanerpus
21,7heMC7-4-0,0,1,Samuel Hovda8-3-0,7heMC,Samuel Hovda,7-4-0,8-3-0,birdboyfinch,7hemc,birdboyfinch
22,GodQxx7-4-0,0,1,rhhaeder8-3-0,GodQxx,rhhaeder,7-4-0,8-3-0,rhhaeder,godqxx,rhhaeder
23,Dan Irish7-4-0,0,1,Cameron Padilla8-3-0,Dan Irish,Cameron Padilla,7-4-0,8-3-0,camycameron,danirish1,camycameron
24,Dylanfairchild18-3-0,1,0,Cobi Kawasaki7-4-0,Dylanfairchild1,Cobi Kawasaki,8-3-0,7-4-0,dylanfairchild1,dylanfairchild1,97kirby
25,codmicgra7-4-0,0,1,JacePatrick8-3-0,codmicgra,JacePatrick,7-4-0,8-3-0,jacepatrick,codmicgra,jacepatrick
26,Leponi7-4-0,0,1,allezliverpool697-2-2,Leponi,allezliverpool69,7-4-0,7-2-2,allezliverpool69,leponi,allezliverpool69
27,Cheech9277-3-1,1,0,Hussemon6-4-1,Cheech927,Hussemon,7-3-1,6-4-1,cheech927,cheech927,hussemon
28,SestoSento7-3-1,1,0,James Arnold6-4-1,SestoSento,James Arnold,7-3-1,6-4-1,sestosento,sestosento,wames
29,AyNunez7-3-1,1,0,Matthew  Chou6-4-1,AyNunez,Matthew  Chou,7-3-1,6-4-1,aynunez,aynunez,luigi30495
