Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,sencha 7-0-0,1,0,Stephen Roche6-1-0,sencha ,Stephen Roche,7-0-0,6-1-0,kirikisencha,kirikisencha,stephenroche
2,Ste0867-0-0,1,0,ChaloZamorano6-1-0,Ste086,ChaloZamorano,7-0-0,6-1-0,ste086,ste086,chalozamorano
3,thedanibarra7-0-0,1,0,GabrielBrenes5-1-1,thedanibarra,GabrielBrenes,7-0-0,5-1-1,thedanibarra,thedanibarra,gabrielbrenes
4,KeenanKid5-2-0,0,1,Nicholas Homa6-1-0,KeenanKid,Nicholas Homa,5-2-0,6-1-0,aquiladisicilia,keenankid,aquiladisicilia
5,Kevin Kenny5-2-0,0,1,Lex4176-1-0,Kevin Kenny,Lex417,5-2-0,6-1-0,lex417,sos2k,lex417
6,Doubllez5-2-0,0,1,kohawk21216-1-0,Doubllez,kohawk2121,5-2-0,6-1-0,kohawk2121,doubllez,kohawk2121
7,Jerkules6-1-0,1,0,wakingeyes5-2-0,Jerkules,wakingeyes,6-1-0,5-2-0,jerkules,jerkules,wakingeyes
8,NGKyVong6-1-0,1,0,Michele  Babin5-2-0,NGKyVong,Michele  Babin,6-1-0,5-2-0,ngkyvong,ngkyvong,michelebabin
9,Kuj4k6-1-0,1,0,ChromePvP5-2-0,Kuj4k,ChromePvP,6-1-0,5-2-0,kuj4k,kuj4k,chromepvp
10,Goopa195-2-0,0,1,Vini Fernandez6-1-0,Goopa19,Vini Fernandez,5-2-0,6-1-0,warexpert,goopa19,warexpert
11,APackOfAlpacas5-2-0,0,1,christianchasejr6-1-0,APackOfAlpacas,christianchasejr,5-2-0,6-1-0,christianchasejr,apackofalpacas,christianchasejr
12,xANDYx6-1-0,1,0,GODDO75-2-0,xANDYx,GODDO7,6-1-0,5-2-0,xandyx,xandyx,goddo7
13,JakeFSmash6-1-0,1,0,Miguekage165-2-0,JakeFSmash,Miguekage16,6-1-0,5-2-0,jakefsmash,jakefsmash,miguekage16
14,espel5-2-0,0,1,RyanM6-1-0,espel,RyanM,5-2-0,6-1-0,ryanm,espel,ryanm
15,Alex Hamilton5-2-0,0,1,grantm126-1-0,Alex Hamilton,grantm12,5-2-0,6-1-0,grantm12,omegascizor456,grantm12
16,Cameron Padilla5-2-0,0,1,James Castaneda6-1-0,Cameron Padilla,James Castaneda,5-2-0,6-1-0,memejesus7099,camycameron,memejesus7099
17,Cameron Kawasaki6-1-0,1,0,Ayato5-2-0,Cameron Kawasaki,Ayato,6-1-0,5-2-0,beastes123,beastes123,ayato
18,ianlaneifa5-1-1,1,0,Aman2274-2-1,ianlaneifa,Aman227,5-1-1,4-2-1,ianlaneifa,ianlaneifa,aman227
19,Joshua Sutherland5-1-1,1,0,Felipe Tardoqui4-3-0,Joshua Sutherland,Felipe Tardoqui,5-1-1,4-3-0,joshuasutherland21,joshuasutherland21,f3l1p3tg
20,Connor Murphy5-2-0,1,0,Darsh S4-3-0,Connor Murphy,Darsh S,5-2-0,4-3-0,witlessconnor,witlessconnor,darshs1008
21,zndrr4-3-0,0,1,I miss galaxy mew35-2-0,zndrr,I miss galaxy mew3,4-3-0,5-2-0,raio120,zndrr,raio120
