Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Tommyb8911-1-1,0,0,Vaughn10-2-1,Tommyb89,Vaughn,11-1-1,10-2-1,0,tommyb89,vaughn
2,Eckoshooter0710-2-1,0,0,gabrielsemedo10-2-1,Eckoshooter07,gabrielsemedo,10-2-1,10-2-1,0,eckoshooter07,gabrielsemedo
3,Angel22Aranibar10-2-1,0,0,Cal Connor10-2-1,Angel22Aranibar,Cal Connor,10-2-1,10-2-1,0,angel22aranibar,calcal206
4,Eder Jarillo 10-2-1,1,0,GoRush9-3-1,Eder Jarillo ,GoRush,10-2-1,9-3-1,edertcgo,edertcgo,gorush
5,lindsayrosecup9-4-0,0,1,Gabe Shumway10-3-0,lindsayrosecup,Gabe Shumway,9-4-0,10-3-0,gabeshumway,lindsayrosecup,gabeshumway
6,PokeMuca10-3-0,1,0,berganballer309-4-0,PokeMuca,berganballer30,10-3-0,9-4-0,pokemuca,pokemuca,berganballer30
7,allezliverpool6910-3-0,1,0,Dan Perez9-4-0,allezliverpool69,Dan Perez,10-3-0,9-4-0,allezliverpool69,allezliverpool69,notoriousd13
8,TheRicardoToddy10-3-0,1,0,espel9-4-0,TheRicardoToddy,espel,10-3-0,9-4-0,thericardotoddy,thericardotoddy,espel
9,Joshua Sutherland10-3-0,1,0,SoS2K9-4-0,Joshua Sutherland,SoS2K,10-3-0,9-4-0,joshuasutherland21,joshuasutherland21,sos2k
10,KeenanKid9-4-0,0,1,topherton9-3-1,KeenanKid,topherton,9-4-0,9-3-1,topherton,keenankid,topherton
11,Vini Fernandez9-3-1,1,0,xANDYx8-4-1,Vini Fernandez,xANDYx,9-3-1,8-4-1,warexpert,warexpert,xandyx
12,Aaron West9-3-1,1,0,PerfectPenguin78-4-1,Aaron West,PerfectPenguin7,9-3-1,8-4-1,pkmntrdr,pkmntrdr,perfectpenguin7
13,Patricia Gonzalez Walsh9-3-1,1,0,Jonnysniper8-4-1,Patricia Gonzalez Walsh,Jonnysniper,9-3-1,8-4-1,patogw,patogw,jonnysniper
14,VolcanTurtleTCG8-5-0,0,1,Kirbbyman9-4-0,VolcanTurtleTCG,Kirbbyman,8-5-0,9-4-0,kirbbyman,volcanturtletcg,kirbbyman
15,ianlaneifa9-4-0,1,0,Buffalowned8-5-0,ianlaneifa,Buffalowned,9-4-0,8-5-0,ianlaneifa,ianlaneifa,buffalowned
16,gunplapilot9-4-0,1,0,Juan Velez8-5-0,gunplapilot,Juan Velez,9-4-0,8-5-0,gunplapilot,gunplapilot,xdjuanma
17,Nicholas Homa9-4-0,1,0,Cheech9278-5-0,Nicholas Homa,Cheech927,9-4-0,8-5-0,aquiladisicilia,aquiladisicilia,cheech927
18,Ira P8-5-0,0,1,JacePatrick9-4-0,Ira P,JacePatrick,8-5-0,9-4-0,jacepatrick,ira9999,jacepatrick
19,TCC Jerrick Gumila9-4-0,1,0,jayzcards8-5-0,TCC Jerrick Gumila,jayzcards,9-4-0,8-5-0,jmila7,jmila7,jayzcards
20,MasterLeBui8-5-0,0,1,Jerkules9-4-0,MasterLeBui,Jerkules,8-5-0,9-4-0,jerkules,masterlebui,jerkules
21,i miss her8-5-0,0,1,Daj139-4-0,i miss her,Daj13,8-5-0,9-4-0,daj13,axellvarez,daj13
22,pizzandrew8-5-0,0,1,OnGaard8-3-2,pizzandrew,OnGaard,8-5-0,8-3-2,ongaard,pizzandrew,ongaard
23,LoboFinnberto7-5-1,0,1,mikemrtn8-4-1,LoboFinnberto,mikemrtn,7-5-1,8-4-1,mikemrtn,lobofinnberto,mikemrtn
24,rexdog8-4-1,1,0,Nick E7-5-1,rexdog,Nick E,8-4-1,7-5-1,rexdog,rexdog,pokemonbreeder
25,UltraNko8-4-1,1,0,fryeguy677-5-1,UltraNko,fryeguy67,8-4-1,7-5-1,ultranko,ultranko,fryeguy67
26,7heMC8-5-0,1,0,Anti7-6-0,7heMC,Anti,8-5-0,7-6-0,7hemc,7hemc,anti
27,Joe Higashi7-6-0,0,1,Caleb Rogerson8-5-0,Joe Higashi,Caleb Rogerson,7-6-0,8-5-0,memaanhc,rotaryrocket,memaanhc
28,Liam Kidd8-5-0,0,0,Shark447-6-0,Liam Kidd,Shark44,8-5-0,7-6-0,liamkidd,liamkidd,shark44
29,Zach Cohen7-6-0,0,1,irvintyes8-5-0,Zach Cohen,irvintyes,7-6-0,8-5-0,irvintyes,zachthemudkip,irvintyes
30,Jahoostis6-6-1,0,1,demxennies7-5-1,Jahoostis,demxennies,6-6-1,7-5-1,demxennies,jahoostis,demxennies
31,Doubllez7-5-1,0,0,BFFBEAR6-7-0,Doubllez,BFFBEAR,7-5-1,6-7-0,doubllez,doubllez,bffbear
32,boosakk697-6-0,,,bye,boosakk69,*Bye*,7-6-0,N/A,boosakk69,boosakk69,*Bye*
