Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,calvino4-1-0,0,1,gantiri5-0-0,calvino,gantiri,4-1-0,5-0-0,gantiri,calvino,gantiri
2,Mika Melatika4-1-0,0,1,João  Pires5-0-0,Mika Melatika,João  Pires,4-1-0,5-0-0,luisao99,edgevnv,luisao99
3,xANDYx5-0-0,1,0,Rodolfo Ferro4-1-0,xANDYx,Rodolfo Ferro,5-0-0,4-1-0,xandyx,xandyx,fractalfox
4,Zach Cohen5-0-0,1,0,Pedro Vicêncio4-1-0,Zach Cohen,Pedro Vicêncio,5-0-0,4-1-0,zachthemudkip,zachthemudkip,madmess
5,APackOfAlpacas5-0-0,1,0,UltraNko4-1-0,APackOfAlpacas,UltraNko,5-0-0,4-1-0,apackofalpacas,apackofalpacas,ultranko
6,Vicariant234-1-0,0,1,Buffalowned5-0-0,Vicariant23,Buffalowned,4-1-0,5-0-0,buffalowned,vicariant23,buffalowned
7,Alexandre Constantino4-1-0,0,1,adrielichu5-0-0,Alexandre Constantino,adrielichu,4-1-0,5-0-0,adrielichu,bestal3xeu,adrielichu
8,Matthew444-1-0,0,1,Victor García5-0-0,Matthew44,Victor García,4-1-0,5-0-0,vicgar08,matthew44,vicgar08
9,mike Laundrie5-0-0,1,0,Juan Velez4-1-0,mike Laundrie,Juan Velez,5-0-0,4-1-0,laundrieman,laundrieman,xdjuanma
10,Andrew Hedrick4-1-0,0,1,Huntaj824-1-0,Andrew Hedrick,Huntaj82,4-1-0,4-1-0,huntaj82,pokehawkeye,huntaj82
11,HyperK4-1-0,1,0,boosakk693-2-0,HyperK,boosakk69,4-1-0,3-2-0,hyperk,hyperk,boosakk69
12,Vina3-2-0,0,1,jgarcia17574-1-0,Vina,jgarcia1757,3-2-0,4-1-0,jgarcia1757,vina,jgarcia1757
13,jimmypirate3-2-0,0,1,infernohippo4-1-0,jimmypirate,infernohippo,3-2-0,4-1-0,infernohippo,jimmypirate,infernohippo
14,Augusto Beringuer4-1-0,1,0,Kango35th3-2-0,Augusto Beringuer,Kango35th,4-1-0,3-2-0,augustoberinguer,augustoberinguer,kango35th
15,mooimmo3-2-0,0,1,rain4-1-0,mooimmo,rain,3-2-0,4-1-0,rain,mooimmo,rain
16,afranco234-1-0,1,0,SMC Win3-2-0,afranco23,SMC Win,4-1-0,3-2-0,afranco23,afranco23,cbrsg
17,N214GAM .4-1-0,1,0,mikemrtn3-2-0,N214GAM .,mikemrtn,4-1-0,3-2-0,trican,trican,mikemrtn
18,topherton4-1-0,1,0,MasterLeBui3-2-0,topherton,MasterLeBui,4-1-0,3-2-0,topherton,topherton,masterlebui
19,Blaze14urboy4-1-0,1,0,Angel22Aranibar3-2-0,Blaze14urboy,Angel22Aranibar,4-1-0,3-2-0,blaze14urboy,blaze14urboy,angel22aranibar
20,iStark113-2-0,0,1,VolcanTurtleTCG4-1-0,iStark11,VolcanTurtleTCG,3-2-0,4-1-0,volcanturtletcg,istark11,volcanturtletcg
21,Urtzuub3-2-0,0,1,Gr34tWh1t34-1-0,Urtzuub,Gr34tWh1t3,3-2-0,4-1-0,gr34twh1t3,urtzuub,gr34twh1t3
22,Aman2273-2-0,0,1,Alex Cole4-1-0,Aman227,Alex Cole,3-2-0,4-1-0,pandaboss58,aman227,pandaboss58
23,Douglas Gois3-2-0,0,1,Juankcandi4-1-0,Douglas Gois,Juankcandi,3-2-0,4-1-0,juankcandi,doouglass26,juankcandi
24,pepitojr24-1-0,1,0,chrischop943-2-0,pepitojr2,chrischop94,4-1-0,3-2-0,pepitojr2,pepitojr2,chrischop94
25,Luis046w34-1-0,1,0,jayzcards3-2-0,Luis046w3,jayzcards,4-1-0,3-2-0,luis046w3,luis046w3,jayzcards
26,BeamMeUp3-2-0,0,1,sino4-1-0,BeamMeUp,sino,3-2-0,4-1-0,sino,beammeup,sino
27,ianlaneifa4-1-0,1,0,Xama443-2-0,ianlaneifa,Xama44,4-1-0,3-2-0,ianlaneifa,ianlaneifa,xama44
28,xtracrispy834-1-0,1,0,Neko2012933-2-0,xtracrispy83,Neko201293,4-1-0,3-2-0,xtracrispy83,xtracrispy83,neko201293
29,André Chiasson3-2-0,0,1,Dobber27234-1-0,André Chiasson,Dobber2723,3-2-0,4-1-0,dobber2723,andrechiasson,dobber2723
30,sapocururu4-1-0,1,0,Tyler Hauser3-2-0,sapocururu,Tyler Hauser,4-1-0,3-2-0,sapocururu,sapocururu,volt57
31,Sanjay7s3-2-0,0,1,Lustereclips4-1-0,Sanjay7s,Lustereclips,3-2-0,4-1-0,lustereclips,sanjay7s,lustereclips
32,talonslame3-2-0,0,1,Ajolt4-1-0,talonslame,Ajolt,3-2-0,4-1-0,ajolt,talonslame,ajolt
33,PokeMuca3-2-0,0,1,James Castaneda4-1-0,PokeMuca,James Castaneda,3-2-0,4-1-0,memejesus7099,pokemuca,memejesus7099
34,Garry Breech3-2-0,0,1,Jorgecani4-1-0,Garry Breech,Jorgecani,3-2-0,4-1-0,jorgecani,garebear2006,jorgecani
35,7heMC3-2-0,0,1,EvanCampbell944-1-0,7heMC,EvanCampbell94,3-2-0,4-1-0,evancampbell94,7hemc,evancampbell94
36,UltraBelf3-2-0,0,1,igortotozistico4-1-0,UltraBelf,igortotozistico,3-2-0,4-1-0,igortotozistico,ultrabelf,igortotozistico
37,Godlik34-1-0,1,0,EmMistaken3-2-0,Godlik3,EmMistaken,4-1-0,3-2-0,godlik3,godlik3,emmistaken
38,Hussemon4-1-0,1,0,wilberforce7713-2-0,Hussemon,wilberforce771,4-1-0,3-2-0,hussemon,hussemon,wilberforce771
39,wakingeyes4-1-0,1,0,Jakeburnyeat3-2-0,wakingeyes,Jakeburnyeat,4-1-0,3-2-0,wakingeyes,wakingeyes,jakeburnyeat
40,ChromePvP4-1-0,1,0,OnGaard3-2-0,ChromePvP,OnGaard,4-1-0,3-2-0,chromepvp,chromepvp,ongaard
41,Joshua Sutherland4-1-0,1,0,Jade Applegate3-2-0,Joshua Sutherland,Jade Applegate,4-1-0,3-2-0,joshuasutherland21,joshuasutherland21,sparklysilvally
42,Liam Kidd3-2-0,0,1,Jacob Stillwell4-1-0,Liam Kidd,Jacob Stillwell,3-2-0,4-1-0,jakesterisit,liamkidd,jakesterisit
43,LegoWarrior703-2-0,0,1,sencha 4-1-0,LegoWarrior70,sencha ,3-2-0,4-1-0,kirikisencha,legowarrior70,kirikisencha
44,Travis Tuttle4-1-0,1,0,Cal Connor3-2-0,Travis Tuttle,Cal Connor,4-1-0,3-2-0,travo112,travo112,calcal206
45,ExDiego3-2-0,0,1,Gabriel Fernandez { raio120 }4-1-0,ExDiego,Gabriel Fernandez { raio120 },3-2-0,4-1-0,raio120,exdiego,raio120
46,TCC Andrew W4-1-0,1,0,Terryharris78992-2-1,TCC Andrew W,Terryharris7899,4-1-0,2-2-1,pizzandrew,pizzandrew,terryharris7899
47,PokeTrainerTom2-2-1,0,1,seanpluto3-2-0,PokeTrainerTom,seanpluto,2-2-1,3-2-0,seanpluto,poketrainertom,seanpluto
48,Lime3-2-0,1,0,JacePatrick2-3-0,Lime,JacePatrick,3-2-0,2-3-0,lime,lime,jacepatrick
49,NGKyVong2-3-0,0,1,Bielcosta3-2-0,NGKyVong,Bielcosta,2-3-0,3-2-0,bielcosta,ngkyvong,bielcosta
50,HayBay1615153-2-0,1,0,Lucas O2-3-0,HayBay161515,Lucas O,3-2-0,2-3-0,haybay161515,haybay161515,aoldale
51,Nate Stoess3-2-0,1,0,Zarbon2-3-0,Nate Stoess,Zarbon,3-2-0,2-3-0,natestoess,natestoess,zarbon
52,ronrosson2-3-0,0,1,xxdiscipline3-2-0,ronrosson,xxdiscipline,2-3-0,3-2-0,xxdiscipline,ronrosson,xxdiscipline
53,TCC Jerrick Gumila2-3-0,0,1,Doubllez3-2-0,TCC Jerrick Gumila,Doubllez,2-3-0,3-2-0,doubllez,jmila7,doubllez
54,JoiseJo2-3-0,0,1,Hayden Matthews3-2-0,JoiseJo,Hayden Matthews,2-3-0,3-2-0,hdos39,joisejo,hdos39
55,HarveyBirdman2-3-0,0,1,Vini Fernandez3-2-0,HarveyBirdman,Vini Fernandez,2-3-0,3-2-0,warexpert,harveybirdman,warexpert
56,melfo3-2-0,1,0,BJ Brownell2-3-0,melfo,BJ Brownell,3-2-0,2-3-0,melfo,melfo,beaverjohnson
57,SensualFetus2-3-0,0,1,zattack103-2-0,SensualFetus,zattack10,2-3-0,3-2-0,zattack10,sensualfetus,zattack10
58,[GUH]Flavio Arechiga3-2-0,1,0,Duhskull2-3-0,[GUH]Flavio Arechiga,Duhskull,3-2-0,2-3-0,flantastic,flantastic,duhskull
59,TALLYSOMSOARES2-3-0,0,1,kyvndvntr3-2-0,TALLYSOMSOARES,kyvndvntr,2-3-0,3-2-0,kyvndvntr,tallysomsoares,kyvndvntr
60,Evolution3-2-0,1,0,KOT4Q2-3-0,Evolution,KOT4Q,3-2-0,2-3-0,evolution,evolution,kot4q
61,Brybox3-2-0,1,0,coronelzeta2-3-0,Brybox,coronelzeta,3-2-0,2-3-0,brybox,brybox,coronelzeta
62,berganballer302-3-0,0,1,Atomicsmash3-2-0,berganballer30,Atomicsmash,2-3-0,3-2-0,atomicsmash,berganballer30,atomicsmash
63,Bruno Souza2-3-0,0,1,Timm1013-2-0,Bruno Souza,Timm101,2-3-0,3-2-0,timm101,bhhenriques,timm101
64,Johnny Rabus2-3-0,0,1,SofloPokemonTCG3-2-0,Johnny Rabus,SofloPokemonTCG,2-3-0,3-2-0,soflopokemontcg,inferno,soflopokemontcg
65,Eckoshooter072-3-0,0,1,Alfrexorus3-2-0,Eckoshooter07,Alfrexorus,2-3-0,3-2-0,alfrexorus,eckoshooter07,alfrexorus
66,Frenillo2-3-0,0,1,JackDaniel7893-2-0,Frenillo,JackDaniel789,2-3-0,3-2-0,jackdaniel789,frenillo,jackdaniel789
67,GabrielSmartTCG2-3-0,0,1,grantm123-2-0,GabrielSmartTCG,grantm12,2-3-0,3-2-0,grantm12,gabrielsmarttcg,grantm12
68,Danreyes273-2-0,1,0,Christian Jaramillo2-3-0,Danreyes27,Christian Jaramillo,3-2-0,2-3-0,danreyes27,danreyes27,setokaiba1308
69,Livvylance3-2-0,1,0,heavenic2-3-0,Livvylance,heavenic,3-2-0,2-3-0,livvylance,livvylance,heavenic
70,RonktzHQ2-3-0,0,1,captainchikenmaster3-2-0,RonktzHQ,captainchikenmaster,2-3-0,3-2-0,captainchikenmaster,ronktzhq,captainchikenmaster
71,SkullMarker2-3-0,0,1,Connor O3-2-0,SkullMarker,Connor O,2-3-0,3-2-0,talonflame23185,skullmarker,talonflame23185
72,James Simms2-3-0,0,1,evltrtl3-2-0,James Simms,evltrtl,2-3-0,3-2-0,evltrtl,4600737,evltrtl
73,Cheech9273-2-0,1,0,AzulGG2-3-0,Cheech927,AzulGG,3-2-0,2-3-0,cheech927,cheech927,azulgg
74,Bruinboy2-3-0,0,1,Lilbruh3-2-0,Bruinboy,Lilbruh,2-3-0,3-2-0,lilbruh,bruinboy,lilbruh
75,RingToss3-2-0,1,0,DrewBread2-3-0,RingToss,DrewBread,3-2-0,2-3-0,ringtoss,ringtoss,drewbread
76,Ramon Duran2-3-0,0,1,MintMermaid3-2-0,Ramon Duran,MintMermaid,2-3-0,3-2-0,mintmermaid,ramonsoft,mintmermaid
77,ksombrinha3-2-0,1,0,Donald Allard2-3-0,ksombrinha,Donald Allard,3-2-0,2-3-0,ksombrinha,ksombrinha,theorietcg
78,meirelles73-2-0,1,0,Muhcoi2-3-0,meirelles7,Muhcoi,3-2-0,2-3-0,meirelles7,meirelles7,muhcoi
79,uhkirruh2-3-0,0,1,Recco Connor3-2-0,uhkirruh,Recco Connor,2-3-0,3-2-0,chance101,uhkirruh,chance101
80,Tangelatamer3-2-0,1,0,Collin Ray2-3-0,Tangelatamer,Collin Ray,3-2-0,2-3-0,tangelatamer,tangelatamer,aquaticblaze
81,Kuj4k3-2-0,1,0,Hman2-3-0,Kuj4k,Hman,3-2-0,2-3-0,kuj4k,kuj4k,hman
82,GODDO73-2-0,1,0,kohawk21212-3-0,GODDO7,kohawk2121,3-2-0,2-3-0,goddo7,goddo7,kohawk2121
83,shakyshaky2-3-0,0,1,[GUH] Pablo3-2-0,shakyshaky,[GUH] Pablo,2-3-0,3-2-0,drtastebad,shakyshaky,drtastebad
84,PokeYonko2-3-0,0,1,Xsims3-2-0,PokeYonko,Xsims,2-3-0,3-2-0,xsims,pokeyonko,xsims
85,AyNunez3-2-0,1,0,Dcintell2-3-0,AyNunez,Dcintell,3-2-0,2-3-0,aynunez,aynunez,dcintell
86,José Carlos V3-2-0,1,0,mkirby2-3-0,José Carlos V,mkirby,3-2-0,2-3-0,malevon,malevon,mkirby
87,Cameron Padilla3-2-0,1,0,chinoazul182-3-0,Cameron Padilla,chinoazul18,3-2-0,2-3-0,camycameron,camycameron,chinoazul18
