Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,William H5-0-0,1,0,Kevin Campos4-1-0,William H,Kevin Campos,5-0-0,4-1-0,doo2you,doo2you,omegababo
2,Natagorn19905-0-0,1,0,Lime4-1-0,Natagorn1990,Lime,5-0-0,4-1-0,natagorn1990,natagorn1990,lime
3,coronelzeta4-1-0,0,1,fataapple5-0-0,coronelzeta,fataapple,4-1-0,5-0-0,fataapple,coronelzeta,fataapple
4,Pedro Vicêncio5-0-0,1,0,Cal Connor4-1-0,Pedro Vicêncio,Cal Connor,5-0-0,4-1-0,madmess,madmess,calcal206
5,Lustereclips5-0-0,1,0,OnGaard4-1-0,Lustereclips,OnGaard,5-0-0,4-1-0,lustereclips,lustereclips,ongaard
6,pjwitusik5-0-0,1,0,snowman4-1-0,pjwitusik,snowman,5-0-0,4-1-0,pjwitusik,pjwitusik,snowman
7,MasterLeBui5-0-0,1,0,Bruno Paredes4-1-0,MasterLeBui,Bruno Paredes,5-0-0,4-1-0,masterlebui,masterlebui,setheboo
8,Natalie M5-0-0,1,0,PUMPKING5984-1-0,Natalie M,PUMPKING598,5-0-0,4-1-0,jolteon4291,jolteon4291,pumpking598
9,AyNunez5-0-0,1,0,PokeYonko4-1-0,AyNunez,PokeYonko,5-0-0,4-1-0,aynunez,aynunez,pokeyonko
10,TCC Andrew W3-2-0,0,1,Nucl3ar4-1-0,TCC Andrew W,Nucl3ar,3-2-0,4-1-0,nucl3ar,pizzandrew,nucl3ar
11,Patricia Gonzalez Walsh4-1-0,1,0,TacticOwl3-2-0,Patricia Gonzalez Walsh,TacticOwl,4-1-0,3-2-0,patogw,patogw,tacticowl
12,Mario Yanez3-2-0,0,1,André Chiasson4-1-0,Mario Yanez,André Chiasson,3-2-0,4-1-0,andrechiasson,marioyanez,andrechiasson
13,Doubllez4-1-0,1,0,JorgeR3-2-0,Doubllez,JorgeR,4-1-0,3-2-0,doubllez,doubllez,jorger
14,PokeMuca4-1-0,1,0,Vina3-2-0,PokeMuca,Vina,4-1-0,3-2-0,pokemuca,pokemuca,vina
15,Diego Gomez3-2-0,0,1,Garrett Brodeur4-1-0,Diego Gomez,Garrett Brodeur,3-2-0,4-1-0,garebearcards,darkweb,garebearcards
16,FabrizioINSI103-2-0,0,1,Alonferzu304-1-0,FabrizioINSI10,Alonferzu30,3-2-0,4-1-0,alonferzu30,fabrizioinsi10,alonferzu30
17,Garry Breech4-1-0,1,0,ExDiego3-2-0,Garry Breech,ExDiego,4-1-0,3-2-0,garebear2006,garebear2006,exdiego
18,Millie Parfait4-1-0,1,0,Joe Higashi3-2-0,Millie Parfait,Joe Higashi,4-1-0,3-2-0,edgevnv,edgevnv,rotaryrocket
19,Jonathan Patricio Ch.4-1-0,1,0,Jade Applegate3-2-0,Jonathan Patricio Ch.,Jade Applegate,4-1-0,3-2-0,jonah2705,jonah2705,sparklysilvally
20,pititu4-1-0,1,0,Hayden Matthews3-2-0,pititu,Hayden Matthews,4-1-0,3-2-0,pititu,pititu,hdos39
21,chingpaq4-1-0,1,0,iStark113-2-0,chingpaq,iStark11,4-1-0,3-2-0,chingpaq,chingpaq,istark11
22,princesspikamia4-1-0,1,0,Dylanfairchild13-2-0,princesspikamia,Dylanfairchild1,4-1-0,3-2-0,princesspikamia,princesspikamia,dylanfairchild1
23,alperezh3-2-0,0,1,Atomicsmash4-1-0,alperezh,Atomicsmash,3-2-0,4-1-0,atomicsmash,alperezh,atomicsmash
24,Naruto Uzumaki3-2-0,0,1,Aman2274-1-0,Naruto Uzumaki,Aman227,3-2-0,4-1-0,aman227,chrollo,aman227
25,JayArrCee3-2-0,0,1,Akisunflower4-1-0,JayArrCee,Akisunflower,3-2-0,4-1-0,akisunflower,jayarrcee,akisunflower
26,Christian Stridiron4-1-0,1,0,CaioCapetinha3-2-0,Christian Stridiron,CaioCapetinha,4-1-0,3-2-0,ippokg,ippokg,caiocapetinha
27,16RedGunner4-1-0,1,0,NRG Ely G3-2-0,16RedGunner,NRG Ely G,4-1-0,3-2-0,16redgunner,16redgunner,ely7172
28,Ajolt4-1-0,1,0,UltraNko3-2-0,Ajolt,UltraNko,4-1-0,3-2-0,ajolt,ajolt,ultranko
29,Xander Pero3-2-0,0,1,EydoKiller4-1-0,Xander Pero,EydoKiller,3-2-0,4-1-0,eydokiller,xanderpero,eydokiller
30,Daaasit4-1-0,1,0,awildjordan3-2-0,Daaasit,awildjordan,4-1-0,3-2-0,daaasit,daaasit,awildjordan
31,berganballer303-2-0,0,1,BlakeM4-1-0,berganballer30,BlakeM,3-2-0,4-1-0,blakem,berganballer30,blakem
32,mooimmo4-1-0,1,0,shishiya3-2-0,mooimmo,shishiya,4-1-0,3-2-0,mooimmo,mooimmo,shishiya
33,Augusto Beringuer3-2-0,0,1,Anti4-1-0,Augusto Beringuer,Anti,3-2-0,4-1-0,anti,augustoberinguer,anti
34,WellingtonZoobi3-2-0,0,1,Tathenz4-1-0,WellingtonZoobi,Tathenz,3-2-0,4-1-0,tathenz,wellingtonzoobi,tathenz
35,christianchasejr3-2-0,0,1,Dominick Schroyens4-1-0,christianchasejr,Dominick Schroyens,3-2-0,4-1-0,dominicks,christianchasejr,dominicks
36,MarxistLeninist3-2-0,0,1,ChaloZamorano4-1-0,MarxistLeninist,ChaloZamorano,3-2-0,4-1-0,chalozamorano,marxistleninist,chalozamorano
37,Urtzuub4-1-0,1,0,TCC Jerrick Gumila3-2-0,Urtzuub,TCC Jerrick Gumila,4-1-0,3-2-0,urtzuub,urtzuub,jmila7
38,jimmypirate3-2-0,0,1,kurotaka4114-1-0,jimmypirate,kurotaka411,3-2-0,4-1-0,kurotaka411,jimmypirate,kurotaka411
39,lindsayrosecup3-2-0,0,1,Iamtherealstory7774-1-0,lindsayrosecup,Iamtherealstory777,3-2-0,4-1-0,iamtherealstory777,lindsayrosecup,iamtherealstory777
40,Kashvinder Singh4-1-0,1,0,PerfectPenguin73-2-0,Kashvinder Singh,PerfectPenguin7,4-1-0,3-2-0,kashmann27,kashmann27,perfectpenguin7
41,Rezolution4-1-0,1,0,Evolution3-2-0,Rezolution,Evolution,4-1-0,3-2-0,rezolution,rezolution,evolution
42,ChromePvP4-1-0,1,0,Nate Stoess3-2-0,ChromePvP,Nate Stoess,4-1-0,3-2-0,chromepvp,chromepvp,natestoess
43,zattack103-2-0,0,1,jh9wang4-1-0,zattack10,jh9wang,3-2-0,4-1-0,jh9wang,zattack10,jh9wang
44,APackOfAlpacas4-1-0,1,0,Lygars2-2-1,APackOfAlpacas,Lygars,4-1-0,2-2-1,apackofalpacas,apackofalpacas,lygars
45,boosakk693-1-1,1,0,YoongKaiJian2-2-1,boosakk69,YoongKaiJian,3-1-1,2-2-1,boosakk69,boosakk69,yoongkaijian
46,DragonL0rD2-3-0,0,0,JackDaniel7893-2-0,DragonL0rD,JackDaniel789,2-3-0,3-2-0,jackdaniel789,dragonl0rd,jackdaniel789
47,Ira P3-2-0,1,0,Scottjacob14132-3-0,Ira P,Scottjacob1413,3-2-0,2-3-0,ira9999,ira9999,scottjacob1413
48,Ederbeteta3-2-0,1,0,Fabian _TCG2-3-0,Ederbeteta,Fabian _TCG,3-2-0,2-3-0,ederbeteta,ederbeteta,fabian2206
49,isspkmn2-3-0,0,1,Tacotocano3-2-0,isspkmn,Tacotocano,2-3-0,3-2-0,tacotocano,isspkmn,tacotocano
50,DaVoodooChild2-3-0,0,1,Jonnysniper3-2-0,DaVoodooChild,Jonnysniper,2-3-0,3-2-0,jonnysniper,davoodoochild,jonnysniper
51,SammieMistaken3-2-0,1,0,Cobi Kawasaki2-3-0,SammieMistaken,Cobi Kawasaki,3-2-0,2-3-0,sammiemistaken,sammiemistaken,97kirby
52,PrismTsareena3-2-0,1,0,ESPINOLA2-3-0,PrismTsareena,ESPINOLA,3-2-0,2-3-0,prismtsareena,prismtsareena,espinola
53,LittleProdigio2-3-0,0,1,Bruno Souza3-2-0,LittleProdigio,Bruno Souza,2-3-0,3-2-0,bhhenriques,littleprodigio,bhhenriques
54,syu3-2-0,1,0,Josh Parks2-3-0,syu,Josh Parks,3-2-0,2-3-0,syu,syu,sotakethat
55,Gumilakilla3-2-0,1,0,Jorge Fragoso2-3-0,Gumilakilla,Jorge Fragoso,3-2-0,2-3-0,gumilakilla,gumilakilla,jorgefragoso7
56,Lucas O2-3-0,0,1,Memorroide693-2-0,Lucas O,Memorroide69,2-3-0,3-2-0,memorroide69,aoldale,memorroide69
57,Sharkapr3-2-0,1,0,RamboFW2-3-0,Sharkapr,RamboFW,3-2-0,2-3-0,sharkapr,sharkapr,rambofw
58,Hussemon3-2-0,1,0,7heMC2-3-0,Hussemon,7heMC,3-2-0,2-3-0,hussemon,hussemon,7hemc
59,Akiyama7772-3-0,0,1,Kuj4k3-2-0,Akiyama777,Kuj4k,2-3-0,3-2-0,kuj4k,akiyama777,kuj4k
60,PlanckTime2-3-0,0,1,ItzElBandido3-2-0,PlanckTime,ItzElBandido,2-3-0,3-2-0,itzelbandido,plancktime,itzelbandido
61,afuller54193-2-0,1,0,Mud552-3-0,afuller5419,Mud55,3-2-0,2-3-0,afuller5419,afuller5419,mud55
62,AzulGG3-2-0,1,0,Huntaj822-3-0,AzulGG,Huntaj82,3-2-0,2-3-0,azulgg,azulgg,huntaj82
63,MagicDedenneYT3-2-0,1,0,Joshua Howard2-3-0,MagicDedenneYT,Joshua Howard,3-2-0,2-3-0,magicdedenneyt,magicdedenneyt,aphekted
64,Arcjay2-3-0,0,1,adrielichu3-2-0,Arcjay,adrielichu,2-3-0,3-2-0,adrielichu,arcjay,adrielichu
65,jtap153-2-0,1,0,gunplapilot2-3-0,jtap15,gunplapilot,3-2-0,2-3-0,jtap15,jtap15,gunplapilot
66,KR543-2-0,1,0,xtracrispy832-3-0,KR54,xtracrispy83,3-2-0,2-3-0,kr54,kr54,xtracrispy83
67,Vicariant232-3-0,0,1,Blastobro3-2-0,Vicariant23,Blastobro,2-3-0,3-2-0,blastobro,vicariant23,blastobro
68,Selesn7773-2-0,1,0,jeanrcj2-3-0,Selesn777,jeanrcj,3-2-0,2-3-0,selesn777,selesn777,jeanrcj
69,EvanCampbell943-2-0,1,0,HayBay1615152-3-0,EvanCampbell94,HayBay161515,3-2-0,2-3-0,evancampbell94,evancampbell94,haybay161515
70,Ekrym2-3-0,0,1,Lío N3-2-0,Ekrym,Lío N,2-3-0,3-2-0,leonardonav20,ekrym,leonardonav20
71,Collin Ray2-3-0,0,1,Marcos14053-2-0,Collin Ray,Marcos1405,2-3-0,3-2-0,marcos1405,aquaticblaze,marcos1405
72,Cameron Padilla3-2-0,1,0,lael10342-3-0,Cameron Padilla,lael1034,3-2-0,2-3-0,camycameron,camycameron,lael1034
73,Joshua Sutherland3-2-0,1,0,Donald Allard2-3-0,Joshua Sutherland,Donald Allard,3-2-0,2-3-0,joshuasutherland21,joshuasutherland21,theorietcg
74,Ethan R2-3-0,0,1,spicydad3-2-0,Ethan R,spicydad,2-3-0,3-2-0,spicydad,pompyroface,spicydad
75,xANDYx3-2-0,1,0,SirToast072-3-0,xANDYx,SirToast07,3-2-0,2-3-0,xandyx,xandyx,sirtoast07
76,PurgeEmoji1232-3-0,0,1,MauricioSantana3-2-0,PurgeEmoji123,MauricioSantana,2-3-0,3-2-0,mauriciosantana,purgeemoji123,mauriciosantana
77,guilherme2-2-1,0,0,RingToss2-2-1,guilherme,RingToss,2-2-1,2-2-1,0,guilherme,ringtoss
78,TrebDoggo2-3-0,0,1,Finchawott3-2-0,TrebDoggo,Finchawott,2-3-0,3-2-0,finchawott,trebdoggo,finchawott
79,Zarbon2-3-0,0,1,Cameron Kawasaki3-2-0,Zarbon,Cameron Kawasaki,2-3-0,3-2-0,beastes123,zarbon,beastes123
80,Sadp03-2-0,1,0,Jahoostis2-3-0,Sadp0,Jahoostis,3-2-0,2-3-0,sadp0,sadp0,jahoostis
81,redpandaPOW2-3-0,0,1,Gabe Shumway3-2-0,redpandaPOW,Gabe Shumway,2-3-0,3-2-0,gabeshumway,redpandapow,gabeshumway
82,Dynamite3-2-0,1,0,Curly712-3-0,Dynamite,Curly71,3-2-0,2-3-0,dynamite,dynamite,curly71
83,abewiththebabes3-2-0,1,0,RoDrii2-3-0,abewiththebabes,RoDrii,3-2-0,2-3-0,abewiththebabes,abewiththebabes,rodrii
84,James Castaneda2-3-0,0,1,bholkup3-2-0,James Castaneda,bholkup,2-3-0,3-2-0,bholkup,memejesus7099,bholkup
85,Brayden472672-3-0,0,1,Xavier E3-2-0,Brayden47267,Xavier E,2-3-0,3-2-0,xabro,brayden47267,xabro
86,xerneas123522-3-0,0,1,ronrosson2-2-1,xerneas12352,ronrosson,2-3-0,2-2-1,ronrosson,xerneas12352,ronrosson
87,bgv19891-2-2,0,0,TrainerDjair1-2-2,bgv1989,TrainerDjair,1-2-2,1-2-2,0,bgv1989,trainerdjair
88,mrpnut032-2-1,1,0,MissMetal1-3-1,mrpnut03,MissMetal,2-2-1,1-3-1,mrpnut03,mrpnut03,missmetal
89,Valkano1-4-0,0,1,Neko2012932-3-0,Valkano,Neko201293,1-4-0,2-3-0,neko201293,valkano,neko201293
90,foundjellyfish51-4-0,0,1,Dan Perez2-3-0,foundjellyfish5,Dan Perez,1-4-0,2-3-0,notoriousd13,foundjellyfish5,notoriousd13
91,Montana Drew1-4-0,0,1,the6162-3-0,Montana Drew,the616,1-4-0,2-3-0,the616,tanaxjordan,the616
92,NGKyVong2-3-0,1,0,nyarthotep1-4-0,NGKyVong,nyarthotep,2-3-0,1-4-0,ngkyvong,ngkyvong,nyarthotep
93,Kirbbyman1-4-0,0,0,kyvndvntr2-3-0,Kirbbyman,kyvndvntr,1-4-0,2-3-0,kyvndvntr,kirbbyman,kyvndvntr
94,Louisianimal5041-4-0,0,1,Danreyes272-3-0,Louisianimal504,Danreyes27,1-4-0,2-3-0,danreyes27,louisianimal504,danreyes27
95,Kevin Abernathy1-4-0,0,1,MELTZakamudkip2-3-0,Kevin Abernathy,MELTZakamudkip,1-4-0,2-3-0,meltzakamudkip,kevbot719,meltzakamudkip
96,chinoazul182-3-0,1,0,SofloPokemonTCG1-4-0,chinoazul18,SofloPokemonTCG,2-3-0,1-4-0,chinoazul18,chinoazul18,soflopokemontcg
97,TCC Brandon Johnson2-3-0,1,0,lbooker1021-4-0,TCC Brandon Johnson,lbooker102,2-3-0,1-4-0,lordbj101,lordbj101,lbooker102
98,Duhskull2-3-0,1,0,VolcanTurtleTCG1-4-0,Duhskull,VolcanTurtleTCG,2-3-0,1-4-0,duhskull,duhskull,volcanturtletcg
99,slytherinlyfe1-4-0,0,1,pinkrosefire2-3-0,slytherinlyfe,pinkrosefire,1-4-0,2-3-0,pinkrosefire,slytherinlyfe,pinkrosefire
100,ryan williamson1-4-0,0,1,arturoR2D26331272-3-0,ryan williamson,arturoR2D2633127,1-4-0,2-3-0,arturor2d2633127,huskaroo,arturor2d2633127
101,Uncleshark35351-4-0,0,1,AndresJgames2-3-0,Uncleshark3535,AndresJgames,1-4-0,2-3-0,andresjgames,uncleshark3535,andresjgames
102,Luiguer2-3-0,1,0,Jacob Walker1-4-0,Luiguer,Jacob Walker,2-3-0,1-4-0,luiguer,luiguer,jaybob952
103,Megan Miller1-4-0,0,1,evltrtl2-3-0,Megan Miller,evltrtl,1-4-0,2-3-0,evltrtl,mmmiller17,evltrtl
104,jasmej2711901-4-0,0,0,GABRIEL230-5-0,jasmej271190,GABRIEL23,1-4-0,0-5-0,-1,jasmej271190,gabriel23
105,Marcelo Espinoza0-5-0,0,0,BastyS280-5-0,Marcelo Espinoza,BastyS28,0-5-0,0-5-0,-1,mrgreatdeceiver,bastys28
106,greenbowman70-5-0,0,0,Bulldoza9150-5-0,greenbowman7,Bulldoza915,0-5-0,0-5-0,-1,greenbowman7,bulldoza915
107,Openogility0-5-0,0,0,cooray7770-5-0,Openogility,cooray777,0-5-0,0-5-0,-1,openogility,cooray777
108,Alexid0-5-0,0,0,DestrucThor230-5-0,Alexid,DestrucThor23,0-5-0,0-5-0,-1,alexid,destructhor23
109,Alex Cole0-5-0,0,0,sailorsphynx1-4-0,Alex Cole,sailorsphynx,0-5-0,1-4-0,sailorsphynx,pandaboss58,sailorsphynx
110,uhkirruh1-4-0,,,bye,uhkirruh,*Bye*,1-4-0,N/A,uhkirruh,uhkirruh,*Bye*
