Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,AzulGG7-1-0,0,1,rain7-0-1,AzulGG,rain,7-1-0,7-0-1,rain,azulgg,rain
2,EvanCampbell946-1-1,0,1,Will Forde7-1-0,EvanCampbell94,Will Forde,6-1-1,7-1-0,supervsk,evancampbell94,supervsk
3,Urtzuub7-1-0,1,0,NickH7776-2-0,Urtzuub,NickH777,7-1-0,6-2-0,urtzuub,urtzuub,nickh777
4,Lygars7-1-0,1,0,Doubllez6-2-0,Lygars,Doubllez,7-1-0,6-2-0,lygars,lygars,doubllez
5,sapocururu6-2-0,0,1,Jared W7-1-0,sapocururu,Jared W,6-2-0,7-1-0,jwils4,sapocururu,jwils4
6,BeastBoizTCG6-1-1,0,0,UltraNko6-1-1,BeastBoizTCG,UltraNko,6-1-1,6-1-1,0,beastboiztcg,ultranko
7,Josh Cohen6-2-0,0,1,Kevin Abernathy7-1-0,Josh Cohen,Kevin Abernathy,6-2-0,7-1-0,kevbot719,jcohenwc,kevbot719
8,Roger Ramjit6-2-0,0,1,RealAB77-1-0,Roger Ramjit,RealAB7,6-2-0,7-1-0,realab7,smokeyslim718,realab7
9,OnGaard6-2-0,0,1,Michele  Babin6-2-0,OnGaard,Michele  Babin,6-2-0,6-2-0,michelebabin,ongaard,michelebabin
10,carteranderson5-3-0,0,1,ExDiego6-2-0,carteranderson,ExDiego,5-3-0,6-2-0,exdiego,carteranderson,exdiego
11,Rubén Mendoza 5-3-0,0,1,Jonathan Patricio Ch.6-2-0,Rubén Mendoza ,Jonathan Patricio Ch.,5-3-0,6-2-0,jonah2705,rubnmp,jonah2705
12,isspkmn6-2-0,1,0,Ekrym5-3-0,isspkmn,Ekrym,6-2-0,5-3-0,isspkmn,isspkmn,ekrym
13,PerfectPenguin75-3-0,0,1,PksBlaze6-2-0,PerfectPenguin7,PksBlaze,5-3-0,6-2-0,pksblaze,perfectpenguin7,pksblaze
14,peke6-2-0,1,0,AtiumShadow5-3-0,peke,AtiumShadow,6-2-0,5-3-0,peke,peke,atiumshadow
15,Ryota S6-2-0,1,0,mikemrtn5-3-0,Ryota S,mikemrtn,6-2-0,5-3-0,mawssa2000,mawssa2000,mikemrtn
16,Augusto Beringuer5-3-0,0,1,GuatonMartini6-2-0,Augusto Beringuer,GuatonMartini,5-3-0,6-2-0,guatonmartini,augustoberinguer,guatonmartini
17,grantm125-3-0,0,1,TCC Andrew W6-2-0,grantm12,TCC Andrew W,5-3-0,6-2-0,pizzandrew,grantm12,pizzandrew
18,CaRif76-2-0,1,0,Marcelo17035-3-0,CaRif7,Marcelo1703,6-2-0,5-3-0,carif7,carif7,marcelo1703
19,RamboFW6-2-0,1,0,iStark115-3-0,RamboFW,iStark11,6-2-0,5-3-0,rambofw,rambofw,istark11
20,HyperK6-2-0,1,0,Henrique Gonçalves5-3-0,HyperK,Henrique Gonçalves,6-2-0,5-3-0,hyperk,hyperk,gatanashg
21,Hayden Matthews5-3-0,0,1,MasterLeBui6-2-0,Hayden Matthews,MasterLeBui,5-3-0,6-2-0,masterlebui,hdos39,masterlebui
22,James Simms6-2-0,1,0,Richard  R5-3-0,James Simms,Richard  R,6-2-0,5-3-0,4600737,4600737,vartancaftel
23,NRG mooimmo6-2-0,1,0,Axel Godoy5-3-0,NRG mooimmo,Axel Godoy,6-2-0,5-3-0,mooimmo,mooimmo,raxelgt
24,Cameron Padilla5-2-1,0,0,berganballer305-2-1,Cameron Padilla,berganballer30,5-2-1,5-2-1,0,camycameron,berganballer30
25,Xavier E5-3-0,0,1,Bruno Paredes6-2-0,Xavier E,Bruno Paredes,5-3-0,6-2-0,setheboo,xabro,setheboo
26,AyNunez6-2-0,1,0,Christian Jaramillo5-3-0,AyNunez,Christian Jaramillo,6-2-0,5-3-0,aynunez,aynunez,setokaiba1308
27,evltrtl5-3-0,0,1,Manupango6-2-0,evltrtl,Manupango,5-3-0,6-2-0,manupango,evltrtl,manupango
28,aus17266-2-0,1,0,Fauxnetix5-3-0,aus1726,Fauxnetix,6-2-0,5-3-0,aus1726,aus1726,fauxnetix
29,Satake Yuya5-3-0,0,1,princesspikamia5-2-1,Satake Yuya,princesspikamia,5-3-0,5-2-1,princesspikamia,yuya,princesspikamia
30,NGKyVong4-3-1,0,1,mille12165-3-0,NGKyVong,mille1216,4-3-1,5-3-0,mille1216,ngkyvong,mille1216
31,zattack105-2-1,1,0,lindsayrosecup4-4-0,zattack10,lindsayrosecup,5-2-1,4-4-0,zattack10,zattack10,lindsayrosecup
32,Natagorn19904-4-0,0,1,Alex Cole5-3-0,Natagorn1990,Alex Cole,4-4-0,5-3-0,pandaboss58,natagorn1990,pandaboss58
33,studlygnome4-4-0,0,1,MafiaKy5-3-0,studlygnome,MafiaKy,4-4-0,5-3-0,mafiaky,studlygnome,mafiaky
34,Tyler Hauser4-4-0,0,1,NRG Ely G5-3-0,Tyler Hauser,NRG Ely G,4-4-0,5-3-0,ely7172,volt57,ely7172
35,Murbell114-4-0,0,1,CranidosKing1475-3-0,Murbell11,CranidosKing147,4-4-0,5-3-0,cranidosking147,murbell11,cranidosking147
36,gunplapilot5-3-0,1,0,HayBay1615154-4-0,gunplapilot,HayBay161515,5-3-0,4-4-0,gunplapilot,gunplapilot,haybay161515
37,[GUH] Pablo5-3-0,1,0,YeezyStP4-4-0,[GUH] Pablo,YeezyStP,5-3-0,4-4-0,drtastebad,drtastebad,yeezystp
38,Isaiah Cheville4-4-0,0,1,Duhskull5-3-0,Isaiah Cheville,Duhskull,4-4-0,5-3-0,duhskull,zayalee,duhskull
39,Brayden472674-4-0,0,1,Ruthlessglitch5-3-0,Brayden47267,Ruthlessglitch,4-4-0,5-3-0,ruthlessglitch,brayden47267,ruthlessglitch
40,Ayato4-4-0,0,1,7heMC5-3-0,Ayato,7heMC,4-4-0,5-3-0,7hemc,ayato,7hemc
41,Gumilakilla5-3-0,1,0,Kuj4k4-4-0,Gumilakilla,Kuj4k,5-3-0,4-4-0,gumilakilla,gumilakilla,kuj4k
42,José Carlos V4-4-0,0,1,Angry5-3-0,José Carlos V,Angry,4-4-0,5-3-0,angry,malevon,angry
43,Cobi Kawasaki5-3-0,1,0,Curly714-4-0,Cobi Kawasaki,Curly71,5-3-0,4-4-0,97kirby,97kirby,curly71
44,Hector Valle5-3-0,1,0,Marcos14054-4-0,Hector Valle,Marcos1405,5-3-0,4-4-0,hxvalle,hxvalle,marcos1405
45,EydoKiller4-4-0,0,1,AndresJgames5-3-0,EydoKiller,AndresJgames,4-4-0,5-3-0,andresjgames,eydokiller,andresjgames
46,Lucas O5-3-0,1,0,Jonathan Soto4-4-0,Lucas O,Jonathan Soto,5-3-0,4-4-0,aoldale,aoldale,vlgsoto
47,Donald Allard4-4-0,0,1,ietomo205-3-0,Donald Allard,ietomo20,4-4-0,5-3-0,ietomo20,theorietcg,ietomo20
48,bholkup5-3-0,1,0,arturoR2D26331274-4-0,bholkup,arturoR2D2633127,5-3-0,4-4-0,bholkup,bholkup,arturor2d2633127
49,Gabe Shumway5-3-0,1,0,Czervos4-4-0,Gabe Shumway,Czervos,5-3-0,4-4-0,gabeshumway,gabeshumway,czervos
50,Xama445-3-0,1,0,shakyshaky4-4-0,Xama44,shakyshaky,5-3-0,4-4-0,xama44,xama44,shakyshaky
51,Louisianimal5045-3-0,1,0,LiloandScotch4-4-0,Louisianimal504,LiloandScotch,5-3-0,4-4-0,louisianimal504,louisianimal504,liloandscotch
52,RingToss5-3-0,1,0,[GUH]Flavio Arechiga4-4-0,RingToss,[GUH]Flavio Arechiga,5-3-0,4-4-0,ringtoss,ringtoss,flantastic
53,Aman2274-4-0,0,1,Dobber27235-3-0,Aman227,Dobber2723,4-4-0,5-3-0,dobber2723,aman227,dobber2723
