Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,evltrtl5-1-0,0,1,Ryan P6-0-0,evltrtl,Ryan P,5-1-0,6-0-0,eevee5307,evltrtl,eevee5307
2,Kristian Hodas6-0-0,1,0,Anti5-1-0,Kristian Hodas,Anti,6-0-0,5-1-0,kihun22,kihun22,anti
3,Hayden Matthews5-1-0,0,1,Kevin Abernathy6-0-0,Hayden Matthews,Kevin Abernathy,5-1-0,6-0-0,kevbot719,hdos39,kevbot719
4,infernohippo6-0-0,1,0,Benlulubro4-2-0,infernohippo,Benlulubro,6-0-0,4-2-0,infernohippo,infernohippo,benlulubro
5,Atomicsmash4-2-0,0,1,arturoR2D26331275-1-0,Atomicsmash,arturoR2D2633127,4-2-0,5-1-0,arturor2d2633127,atomicsmash,arturor2d2633127
6,shakyshaky4-2-0,0,1,KR545-1-0,shakyshaky,KR54,4-2-0,5-1-0,kr54,shakyshaky,kr54
7,Fitypaldis4-2-0,0,1,AyNunez5-1-0,Fitypaldis,AyNunez,4-2-0,5-1-0,aynunez,fitypaldis,aynunez
8,Roger Ramjit5-1-0,1,0,Zach Cohen4-2-0,Roger Ramjit,Zach Cohen,5-1-0,4-2-0,smokeyslim718,smokeyslim718,zachthemudkip
9,bo jung chuang4-2-0,0,1,Lygars5-1-0,bo jung chuang,Lygars,4-2-0,5-1-0,lygars,chuang1206,lygars
10,Manupango4-2-0,0,1,Victor García5-1-0,Manupango,Victor García,4-2-0,5-1-0,vicgar08,manupango,vicgar08
11,Aman2275-1-0,1,0,trainerchip4-2-0,Aman227,trainerchip,5-1-0,4-2-0,aman227,aman227,trainerchip
12,Timm1014-2-0,0,1,Krystian Rivera5-1-0,Timm101,Krystian Rivera,4-2-0,5-1-0,adrielichu,timm101,adrielichu
13,Zarbon5-1-0,0,0,Jonathan Patricio Ch.4-2-0,Zarbon,Jonathan Patricio Ch.,5-1-0,4-2-0,zarbon,zarbon,jonah2705
14,RJCchoi224-2-0,0,0,YoongKaiJian5-1-0,RJCchoi22,YoongKaiJian,4-2-0,5-1-0,yoongkaijian,rjcchoi22,yoongkaijian
15,BFFBEAR5-1-0,1,0,PokeDRUMMER974-2-0,BFFBEAR,PokeDRUMMER97,5-1-0,4-2-0,bffbear,bffbear,pokedrummer97
