Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Nycmatt2-1-0,0,1,Marcelo P3-0-0,Nycmatt,Marcelo P,2-1-0,3-0-0,marcelo1703,nycmatt,marcelo1703
2,Patricia Gonzalez Walsh3-0-0,1,0,Alex Hamilton2-1-0,Patricia Gonzalez Walsh,Alex Hamilton,3-0-0,2-1-0,patogw,patogw,omegascizor456
3,houhou2-1-0,0,1,Kevin Abernathy3-0-0,houhou,Kevin Abernathy,2-1-0,3-0-0,kevbot719,houhou,kevbot719
4,Ajolt2-1-0,0,1,Vicente (MoeHawk) Canales-Loyola3-0-0,Ajolt,Vicente (MoeHawk) Canales-Loyola,2-1-0,3-0-0,moehawk,ajolt,moehawk
5,Lucas Nascimento3-0-0,1,0,CLS0844492-1-0,Lucas Nascimento,CLS084449,3-0-0,2-1-0,lucas226474,lucas226474,cls084449
6,arturoR2D26331273-0-0,1,0,Leonardo Marín pulgarin2-1-0,arturoR2D2633127,Leonardo Marín pulgarin,3-0-0,2-1-0,arturor2d2633127,arturor2d2633127,leomarin94
7,7heMC3-0-0,1,0,Kashvinder Singh2-1-0,7heMC,Kashvinder Singh,3-0-0,2-1-0,7hemc,7hemc,kashmann27
8,Richard  Ruiz3-0-0,1,0,rain2-1-0,Richard  Ruiz,rain,3-0-0,2-1-0,vartancaftel,vartancaftel,rain
9,Gumilakilla2-1-0,0,1,Cal Connor3-0-0,Gumilakilla,Cal Connor,2-1-0,3-0-0,calcal206,gumilakilla,calcal206
10,Blaksnak2-1-0,0,1,Gabriel Pino Semedo3-0-0,Blaksnak,Gabriel Pino Semedo,2-1-0,3-0-0,gabrielsemedo,blaksnak,gabrielsemedo
11,Askabe2-1-0,0,1,TTeMingyu3-0-0,Askabe,TTeMingyu,2-1-0,3-0-0,ttemingyu,askabe,ttemingyu
12,Jonathan Patricio Ch.3-0-0,1,0,Doubllez2-1-0,Jonathan Patricio Ch.,Doubllez,3-0-0,2-1-0,jonah2705,jonah2705,doubllez
13,NRG mooimmo3-0-0,1,0,Sussy Baka2-1-0,NRG mooimmo,Sussy Baka,3-0-0,2-1-0,mooimmo,mooimmo,khusaidan7
14,Joshua Sutherland3-0-0,1,0,. Medichamptcg2-1-0,Joshua Sutherland,. Medichamptcg,3-0-0,2-1-0,joshuasutherland21,joshuasutherland21,owohunt
15,Erich Francis2-1-0,0,1,EXfiveDaiveR3-0-0,Erich Francis,EXfiveDaiveR,2-1-0,3-0-0,exfivedaiver,ef72489,exfivedaiver
16,Zetta2-1-0,0,1,RingToss3-0-0,Zetta,RingToss,2-1-0,3-0-0,ringtoss,zetta,ringtoss
17,aus17263-0-0,1,0,iStark112-1-0,aus1726,iStark11,3-0-0,2-1-0,aus1726,aus1726,istark11
18,ThePrancingPonyta2-1-0,0,1,JacePatrick3-0-0,ThePrancingPonyta,JacePatrick,2-1-0,3-0-0,jacepatrick,theprancingponyta,jacepatrick
19,SensualFetus3-0-0,1,0,TheMasterLon2-1-0,SensualFetus,TheMasterLon,3-0-0,2-1-0,sensualfetus,sensualfetus,themasterlon
20,ESPINOLA2-1-0,0,1,Joe Higashi3-0-0,ESPINOLA,Joe Higashi,2-1-0,3-0-0,rotaryrocket,espinola,rotaryrocket
21,Krystian Rivera3-0-0,1,0,Anti2-1-0,Krystian Rivera,Anti,3-0-0,2-1-0,adrielichu,adrielichu,anti
22,Tate Whitesell3-0-0,1,0,JoyZumu2-1-0,Tate Whitesell,JoyZumu,3-0-0,2-1-0,leukocyte,leukocyte,joyzumu
23,ChromePvP3-0-0,1,0,digginthediglett2-1-0,ChromePvP,digginthediglett,3-0-0,2-1-0,chromepvp,chromepvp,digginthediglett
24,Victor García3-0-0,1,0,Fossilsk82-1-0,Victor García,Fossilsk8,3-0-0,2-1-0,vicgar08,vicgar08,fossilsk8
25,Logan Clark2-1-0,0,1,Darkanxopr75593-0-0,Logan Clark,Darkanxopr7559,2-1-0,3-0-0,darkanxopr7559,quikmodz,darkanxopr7559
26,GregFrenchTCG2-1-0,0,1,AyNunez3-0-0,GregFrenchTCG,AyNunez,2-1-0,3-0-0,aynunez,gregfrenchtcg,aynunez
27,Selesn7772-1-0,0,1,UltraNko3-0-0,Selesn777,UltraNko,2-1-0,3-0-0,ultranko,selesn777,ultranko
28,brunoarruda3-0-0,1,0,lindsayrosecup2-1-0,brunoarruda,lindsayrosecup,3-0-0,2-1-0,brunoarruda,brunoarruda,lindsayrosecup
29,Brybox3-0-0,1,0,Ryan P2-1-0,Brybox,Ryan P,3-0-0,2-1-0,brybox,brybox,eevee5307
30,John Konkle2-1-0,0,1,EvanCampbell943-0-0,John Konkle,EvanCampbell94,2-1-0,3-0-0,evancampbell94,jk338,evancampbell94
31,titallytan3-0-0,1,0,Monayyy2-1-0,titallytan,Monayyy,3-0-0,2-1-0,titallytan,titallytan,monayyy
32,Ztporlier3-0-0,1,0,GABY1-1-1,Ztporlier,GABY,3-0-0,1-1-1,ztporlier,ztporlier,gaby
33,JayArrCee1-1-1,0,1,Pegasus20002-0-1,JayArrCee,Pegasus2000,1-1-1,2-0-1,pegasus2000,jayarrcee,pegasus2000
34,Sini272-0-1,1,0,ianlaneifa1-1-1,Sini27,ianlaneifa,2-0-1,1-1-1,sini27,sini27,ianlaneifa
35,Nectar171-1-1,0,1,clvargas2-1-0,Nectar17,clvargas,1-1-1,2-1-0,clvargas,nectar17,clvargas
36,Cooco1-2-0,0,1,the6162-1-0,Cooco,the616,1-2-0,2-1-0,the616,cooco,the616
37,DionneTJ1-2-0,0,1,Scottjacob14132-1-0,DionneTJ,Scottjacob1413,1-2-0,2-1-0,scottjacob1413,dionnetj,scottjacob1413
38,Blastobro2-1-0,1,0,Josh Cohen1-2-0,Blastobro,Josh Cohen,2-1-0,1-2-0,blastobro,blastobro,jcohenwc
39,Dadmistaken2-1-0,1,0,Ryan Betesta1-2-0,Dadmistaken,Ryan Betesta,2-1-0,1-2-0,dadmistaken,dadmistaken,bigblue26
40,frankibby2-1-0,1,0,Juan Velez1-2-0,frankibby,Juan Velez,2-1-0,1-2-0,frankibby,frankibby,xdjuanma
41,Kim S2-1-0,1,0,Neko2012931-2-0,Kim S,Neko201293,2-1-0,1-2-0,jasonleonard,jasonleonard,neko201293
42,Steven White2-1-0,1,0,Kirbbyman1-2-0,Steven White,Kirbbyman,2-1-0,1-2-0,mynameissteven,mynameissteven,kirbbyman
43,Luiguer1-2-0,0,1,Matthew Wright2-1-0,Luiguer,Matthew Wright,1-2-0,2-1-0,redpyro1266,luiguer,redpyro1266
44,CranidosKing1472-1-0,1,0,maualmeida881-2-0,CranidosKing147,maualmeida88,2-1-0,1-2-0,cranidosking147,cranidosking147,maualmeida88
45,NGKyVong2-1-0,1,0,Wu JinYin1-2-0,NGKyVong,Wu JinYin,2-1-0,1-2-0,ngkyvong,ngkyvong,nba820117
46,MrSandy2-1-0,1,0,Matthew Gilson1-2-0,MrSandy,Matthew Gilson,2-1-0,1-2-0,mrsandy,mrsandy,vicariant23
47,JorgeR1-2-0,0,1,EydoKiller2-1-0,JorgeR,EydoKiller,1-2-0,2-1-0,eydokiller,jorger,eydokiller
48,MafiaKy2-1-0,1,0,Vina1-2-0,MafiaKy,Vina,2-1-0,1-2-0,mafiaky,mafiaky,vina
49,Nicholas Homa2-1-0,1,0,Lygars1-2-0,Nicholas Homa,Lygars,2-1-0,1-2-0,aquiladisicilia,aquiladisicilia,lygars
50,waffleraff2-1-0,1,0,Zach Cohen1-2-0,waffleraff,Zach Cohen,2-1-0,1-2-0,waffleraff,waffleraff,zachthemudkip
51,ToF Luis Estrada2-1-0,1,0,Grandrew1-2-0,ToF Luis Estrada,Grandrew,2-1-0,1-2-0,fester131313,fester131313,grandrew
52,mrpnut031-2-0,0,1,veguita2-1-0,mrpnut03,veguita,1-2-0,2-1-0,veguita,mrpnut03,veguita
53,Regan Retzloff 1-2-0,0,1,wakingeyes2-1-0,Regan Retzloff ,wakingeyes,1-2-0,2-1-0,wakingeyes,regannator,wakingeyes
54,Diih1-2-0,0,1,Squallxx172-1-0,Diih,Squallxx17,1-2-0,2-1-0,squallxx17,diih,squallxx17
55,JackDaniel7892-1-0,1,0,towelత్dimension 1-2-0,JackDaniel789,towelత్dimension ,2-1-0,1-2-0,jackdaniel789,jackdaniel789,mellowmountain7
56,sakyo42001-2-0,0,1,Cameron Padilla2-1-0,sakyo4200,Cameron Padilla,1-2-0,2-1-0,camycameron,sakyo4200,camycameron
57,ietomo202-1-0,1,0,Dobber27231-2-0,ietomo20,Dobber2723,2-1-0,1-2-0,ietomo20,ietomo20,dobber2723
58,Iori1271-2-0,0,1,Augusto Beringuer2-1-0,Iori127,Augusto Beringuer,1-2-0,2-1-0,augustoberinguer,iori127,augustoberinguer
59,QuidKnight2-1-0,1,0,Lime1-2-0,QuidKnight,Lime,2-1-0,1-2-0,quidknight,quidknight,lime
60,BrickdHand1-2-0,0,1,xxdiscipline2-1-0,BrickdHand,xxdiscipline,1-2-0,2-1-0,xxdiscipline,brickdhand,xxdiscipline
61,jserhan1-2-0,0,1,KinZo2-1-0,jserhan,KinZo,1-2-0,2-1-0,kinzo,jserhan,kinzo
62,Liam Kidd2-1-0,1,0,HustlesGamingLounge1-2-0,Liam Kidd,HustlesGamingLounge,2-1-0,1-2-0,liamkidd,liamkidd,hustlesgaminglounge
63,TJ Guistwite1-2-0,0,1,ThirdOrNothing2-1-0,TJ Guistwite,ThirdOrNothing,1-2-0,2-1-0,thirdornothing,grandtroll21,thirdornothing
