Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Smokeyslim7188-0-0,1,0,infernohippo7-1-0,Smokeyslim718,infernohippo,8-0-0,7-1-0,smokeyslim718,smokeyslim718,infernohippo
2,kinoita6-2-0,0,1,Hussemon7-1-0,kinoita,Hussemon,6-2-0,7-1-0,hussemon,kinoita,hussemon
3,Montana Drew6-2-0,0,1,iStark117-1-0,Montana Drew,iStark11,6-2-0,7-1-0,istark11,tanaxjordan,istark11
4,RingToss6-2-0,0,1,FlowTKast7-1-0,RingToss,FlowTKast,6-2-0,7-1-0,flowtkast,ringtoss,flowtkast
5,GUSTAVOWADA7-1-0,1,0,AVARIN JR VILLARREAL 6-2-0,GUSTAVOWADA,AVARIN JR VILLARREAL ,7-1-0,6-2-0,gustavowada,gustavowada,avarinjr88
6,Rezolution7-1-0,1,0,Luke Morsa6-2-0,Rezolution,Luke Morsa,7-1-0,6-2-0,rezolution,rezolution,celiosnetwork
7,TheRicardoToddy7-1-0,1,0,Douglas B6-2-0,TheRicardoToddy,Douglas B,7-1-0,6-2-0,thericardotoddy,thericardotoddy,crobatcommander
8,Iori1277-1-0,1,0,Vini Fernandez6-2-0,Iori127,Vini Fernandez,7-1-0,6-2-0,iori127,iori127,warexpert
9,Matthew  Chou6-2-0,0,1,TJ Guistwite6-1-1,Matthew  Chou,TJ Guistwite,6-2-0,6-1-1,grandtroll21,luigi30495,grandtroll21
10,SensualFetus6-2-0,1,0,xtracrispy835-3-0,SensualFetus,xtracrispy83,6-2-0,5-3-0,sensualfetus,sensualfetus,xtracrispy83
11,Leonardo Walbrinch5-3-0,0,1,yoppe066-2-0,Leonardo Walbrinch,yoppe06,5-3-0,6-2-0,yoppe06,leorafaw,yoppe06
12,Monayyy5-3-0,0,1,zattack106-2-0,Monayyy,zattack10,5-3-0,6-2-0,zattack10,monayyy,zattack10
13,Marshmallow DAISUKI5-3-0,0,1,TCC Andrew W6-2-0,Marshmallow DAISUKI,TCC Andrew W,5-3-0,6-2-0,pizzandrew,mawssa2000,pizzandrew
14,Matthew Wright5-3-0,0,1,Manupango6-2-0,Matthew Wright,Manupango,5-3-0,6-2-0,manupango,redpyro1266,manupango
15,OnGaard5-2-1,0,0,jtap155-2-1,OnGaard,jtap15,5-2-1,5-2-1,0,ongaard,jtap15
16,awildjordan5-3-0,0,1,Timm1016-2-0,awildjordan,Timm101,5-3-0,6-2-0,timm101,awildjordan,timm101
17,NRG allezliverpool5-3-0,0,1,Doubllez6-2-0,NRG allezliverpool,Doubllez,5-3-0,6-2-0,doubllez,allezliverpool69,doubllez
18,sawyermelban5-3-0,0,1,rain6-2-0,sawyermelban,rain,5-3-0,6-2-0,rain,sawyermelban,rain
19,WellingtonZoobi6-2-0,1,0,bdov5-3-0,WellingtonZoobi,bdov,6-2-0,5-3-0,wellingtonzoobi,wellingtonzoobi,bdov
20,Noah Y6-2-0,1,0,meirelles75-3-0,Noah Y,meirelles7,6-2-0,5-3-0,nyoshida,nyoshida,meirelles7
21,topherton5-3-0,0,1,Liam Kidd6-2-0,topherton,Liam Kidd,5-3-0,6-2-0,liamkidd,topherton,liamkidd
22,Fabio Battistella 6-2-0,1,0,CranidosKing1475-3-0,Fabio Battistella ,CranidosKing147,6-2-0,5-3-0,fabietto06,fabietto06,cranidosking147
23,TheThiccGuy5-3-0,0,1,grantm126-2-0,TheThiccGuy,grantm12,5-3-0,6-2-0,grantm12,thethiccguy,grantm12
24,Kevin Abernathy5-3-0,0,1,Augusto Beringuer6-2-0,Kevin Abernathy,Augusto Beringuer,5-3-0,6-2-0,augustoberinguer,kevbot719,augustoberinguer
25,Caleb Rogerson6-2-0,1,0,Yu Ito5-3-0,Caleb Rogerson,Yu Ito,6-2-0,5-3-0,memaanhc,memaanhc,yuyu
26,Cheech9276-2-0,1,0,José Carlos V5-3-0,Cheech927,José Carlos V,6-2-0,5-3-0,cheech927,cheech927,malevon
27,Ajolt6-2-0,1,0,AtiumShadow5-3-0,Ajolt,AtiumShadow,6-2-0,5-3-0,ajolt,ajolt,atiumshadow
28,Legendaray6-2-0,1,0,MQTpokemon065-3-0,Legendaray,MQTpokemon06,6-2-0,5-3-0,legendaray,legendaray,mqtpokemon06
29,Anti5-2-1,0,0,Ashton P5-2-1,Anti,Ashton P,5-2-1,5-2-1,0,anti,ashertheone
30,GabrielSmartTCG6-2-0,1,0,CLS0844494-3-1,GabrielSmartTCG,CLS084449,6-2-0,4-3-1,gabrielsmarttcg,gabrielsmarttcg,cls084449
31,Dobber27235-2-1,1,0,sleepydreepy4-3-1,Dobber2723,sleepydreepy,5-2-1,4-3-1,dobber2723,dobber2723,sleepydreepy
32,76ers4-4-0,0,1,HayBay1615155-3-0,76ers,HayBay161515,4-4-0,5-3-0,haybay161515,76ers,haybay161515
33,7heMC5-3-0,0,0,cesarsanchex4-4-0,7heMC,cesarsanchex,5-3-0,4-4-0,7hemc,7hemc,cesarsanchex
34,Wyatt Palguta5-3-0,1,0,GSE Stephen Roche4-4-0,Wyatt Palguta,GSE Stephen Roche,5-3-0,4-4-0,urpalwyatt,urpalwyatt,stephenroche
35,ThalesArgelo5-3-0,1,0,maxwmaier4-4-0,ThalesArgelo,maxwmaier,5-3-0,4-4-0,thalesargelo,thalesargelo,maxwmaier
36,Urtzuub5-3-0,1,0,sencha 4-4-0,Urtzuub,sencha ,5-3-0,4-4-0,urtzuub,urtzuub,kirikisencha
37,Lucas O4-4-0,0,1,TCC Jerrick Gumila5-3-0,Lucas O,TCC Jerrick Gumila,4-4-0,5-3-0,jmila7,aoldale,jmila7
38,lindsayrosecup4-4-0,0,1,NRG Ely G5-3-0,lindsayrosecup,NRG Ely G,4-4-0,5-3-0,ely7172,lindsayrosecup,ely7172
39,PerfectPenguin75-3-0,1,0,OGShih3-2-3,PerfectPenguin7,OGShih,5-3-0,3-2-3,perfectpenguin7,perfectpenguin7,ogshih
40,YoongKaiJian5-3-0,1,0,frankibby4-4-0,YoongKaiJian,frankibby,5-3-0,4-4-0,yoongkaijian,yoongkaijian,frankibby
41,UltraNko5-3-0,1,0,James Simms4-4-0,UltraNko,James Simms,5-3-0,4-4-0,ultranko,ultranko,4600737
42,WarKillah4-4-0,0,1,Angry5-3-0,WarKillah,Angry,4-4-0,5-3-0,angry,warkillah,angry
43,ESPINOLA5-3-0,1,0,AmaZiinG4-4-0,ESPINOLA,AmaZiinG,5-3-0,4-4-0,espinola,espinola,amaziing
44,leozin1234-4-0,0,1,TCC Jem G5-3-0,leozin123,TCC Jem G,4-4-0,5-3-0,gumilakilla,leozin123,gumilakilla
45,Alex Hamilton5-3-0,1,0,Kashvinder Singh4-4-0,Alex Hamilton,Kashvinder Singh,5-3-0,4-4-0,omegascizor456,omegascizor456,kashmann27
46,Kevin Walunas4-4-0,0,1,fataapple5-3-0,Kevin Walunas,fataapple,4-4-0,5-3-0,fataapple,walunatic,fataapple
47,Math Liu4-4-0,0,1,Spec5-3-0,Math Liu,Spec,4-4-0,5-3-0,spec,tdonmt1989,spec
48,mikemrtn5-3-0,1,0,evltrtl4-4-0,mikemrtn,evltrtl,5-3-0,4-4-0,mikemrtn,mikemrtn,evltrtl
49,Huntaj825-3-0,1,0,Richard  Ruiz4-4-0,Huntaj82,Richard  Ruiz,5-3-0,4-4-0,huntaj82,huntaj82,vartancaftel
50,Trican4-4-0,0,0,Tommyb895-3-0,Trican,Tommyb89,4-4-0,5-3-0,tommyb89,trican,tommyb89
51,Victor García5-3-0,1,0,Jacob Walker4-4-0,Victor García,Jacob Walker,5-3-0,4-4-0,vicgar08,vicgar08,jaybob952
52,Krystian Rivera5-3-0,1,0,[GUH]Flavio Arechiga4-4-0,Krystian Rivera,[GUH]Flavio Arechiga,5-3-0,4-4-0,adrielichu,adrielichu,flantastic
