Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Anti9-0-0,1,0,Richard  Ruiz7-2-0,Anti,Richard  Ruiz,9-0-0,7-2-0,anti,anti,vartancaftel
2,MasterLeBui7-2-0,0,1,iStark118-1-0,MasterLeBui,iStark11,7-2-0,8-1-0,istark11,masterlebui,istark11
3,JacePatrick7-2-0,0,1,SamuelChok8-1-0,JacePatrick,SamuelChok,7-2-0,8-1-0,samuelchok,jacepatrick,samuelchok
4,Joe Higashi8-1-0,1,0,RagingGamer19947-2-0,Joe Higashi,RagingGamer1994,8-1-0,7-2-0,rotaryrocket,rotaryrocket,raginggamer1994
5,AndyGantner8-1-0,1,0,Augusto Beringuer6-1-2,AndyGantner,Augusto Beringuer,8-1-0,6-1-2,andygantner,andygantner,augustoberinguer
6,Gabriel Smart6-2-1,0,1,GabsBaptista7-1-1,Gabriel Smart,GabsBaptista,6-2-1,7-1-1,gabsbaptista,gabrielsmarttcg,gabsbaptista
7,Joshua Sutherland7-1-1,1,0,EvanCampbell946-2-1,Joshua Sutherland,EvanCampbell94,7-1-1,6-2-1,joshuasutherland21,joshuasutherland21,evancampbell94
8,Steven White6-3-0,0,1,Iori1277-2-0,Steven White,Iori127,6-3-0,7-2-0,iori127,mynameissteven,iori127
9,CharChar17137-2-0,1,0,Dadmistaken6-3-0,CharChar1713,Dadmistaken,7-2-0,6-3-0,charchar1713,charchar1713,dadmistaken
10,FlowTKast6-3-0,0,1,moda697-2-0,FlowTKast,moda69,6-3-0,7-2-0,moda69,flowtkast,moda69
11,Sharkapr7-2-0,1,0,awwvince6-3-0,Sharkapr,awwvince,7-2-0,6-3-0,sharkapr,sharkapr,awwvince
12,ThalesArgelo6-3-0,0,1,Gabe Shumway7-2-0,ThalesArgelo,Gabe Shumway,6-3-0,7-2-0,gabeshumway,thalesargelo,gabeshumway
13,Pascuero6-3-0,0,1,Pedro Vicêncio7-2-0,Pascuero,Pedro Vicêncio,6-3-0,7-2-0,madmess,pascuero,madmess
14,Caleb Rogerson6-3-0,0,1,zattack107-2-0,Caleb Rogerson,zattack10,6-3-0,7-2-0,zattack10,memaanhc,zattack10
15,Doubllez7-2-0,1,0,James Castaneda6-3-0,Doubllez,James Castaneda,7-2-0,6-3-0,doubllez,doubllez,memejesus7099
16,Benlulubro7-2-0,1,0,towelత్dimension 6-3-0,Benlulubro,towelత్dimension ,7-2-0,6-3-0,benlulubro,benlulubro,mellowmountain7
17,TCC Jerrick Gumila6-3-0,0,1,marcher7-2-0,TCC Jerrick Gumila,marcher,6-3-0,7-2-0,marcher,jmila7,marcher
18,Tate Whitesell6-3-0,0,1,chubray7-2-0,Tate Whitesell,chubray,6-3-0,7-2-0,chubray,leukocyte,chubray
19,Jonathan Patricio Ch.7-2-0,1,0,Vance K6-3-0,Jonathan Patricio Ch.,Vance K,7-2-0,6-3-0,jonah2705,jonah2705,vancekelley17
20,calvinrdavis6-3-0,0,1,ZhiYi200704157-2-0,calvinrdavis,ZhiYi20070415,6-3-0,7-2-0,zhiyi20070415,calvinrdavis,zhiyi20070415
21,XiaoHouHou6-2-1,1,0,KarasuPT5-3-1,XiaoHouHou,KarasuPT,6-2-1,5-3-1,xiaohouhou,xiaohouhou,karasupt
22,BeastBoizTCG5-3-1,0,1,Frenillo6-2-1,BeastBoizTCG,Frenillo,5-3-1,6-2-1,frenillo,beastboiztcg,frenillo
23,Xavier E5-3-1,0,1,CeeloGod6-2-1,Xavier E,CeeloGod,5-3-1,6-2-1,ceelogod,xabro,ceelogod
24,Vaughn6-3-0,1,0,sapocururu5-4-0,Vaughn,sapocururu,6-3-0,5-4-0,vaughn,vaughn,sapocururu
25,Jonathan Combs5-4-0,0,1,Kevin Walunas6-3-0,Jonathan Combs,Kevin Walunas,5-4-0,6-3-0,walunatic,cmoneyarkham,walunatic
26,ChaloZamorano5-3-1,0,0,Ederbeteta5-3-1,ChaloZamorano,Ederbeteta,5-3-1,5-3-1,0,chalozamorano,ederbeteta
27,SwellyF5-3-1,0,0,NickBournay5-3-1,SwellyF,NickBournay,5-3-1,5-3-1,0,swellyf,nickbournay
28,grantm126-3-0,1,0,willschoeff5-4-0,grantm12,willschoeff,6-3-0,5-4-0,grantm12,grantm12,willschoeff
29,SensuComposito5-3-1,0,0,ToF Luis Estrada5-3-1,SensuComposito,ToF Luis Estrada,5-3-1,5-3-1,0,sensucomposito,fester131313
30,Hiei Flying Shadow5-3-1,0,0,Ajolt5-3-1,Hiei Flying Shadow,Ajolt,5-3-1,5-3-1,0,chrollo,ajolt
31,rain5-4-0,0,1,mkirby6-3-0,rain,mkirby,5-4-0,6-3-0,mkirby,rain,mkirby
32,wadedaze6-3-0,1,0,Dramando5-4-0,wadedaze,Dramando,6-3-0,5-4-0,wadedaze,wadedaze,dramando
33,Juan Velez5-3-1,0,0,Finger5-3-1,Juan Velez,Finger,5-3-1,5-3-1,0,xdjuanma,finger
34,Josh Frink6-3-0,1,0,Drandonbean025-4-0,Josh Frink,Drandonbean02,6-3-0,5-4-0,dreamjew,dreamjew,drandonbean02
35,Rezolution5-3-1,0,0,Krystian Rivera5-3-1,Rezolution,Krystian Rivera,5-3-1,5-3-1,0,rezolution,adrielichu
36,Leonardo Marín pulgarin5-4-0,0,1,christianchasejr6-3-0,Leonardo Marín pulgarin,christianchasejr,5-4-0,6-3-0,christianchasejr,leomarin94,christianchasejr
37,sencha 5-4-0,0,1,Arthurmonteiro6-3-0,sencha ,Arthurmonteiro,5-4-0,6-3-0,arthurmonteiro,kirikisencha,arthurmonteiro
38,shakyshaky5-4-0,0,1,Brandon Baughn6-3-0,shakyshaky,Brandon Baughn,5-4-0,6-3-0,pokebaughn,shakyshaky,pokebaughn
39,Patricia Gonzalez Walsh5-4-0,0,1,NRG allezliverpool6-3-0,Patricia Gonzalez Walsh,NRG allezliverpool,5-4-0,6-3-0,allezliverpool69,patogw,allezliverpool69
40,NGKyVong6-3-0,1,0,Hayden Matthews5-4-0,NGKyVong,Hayden Matthews,6-3-0,5-4-0,ngkyvong,ngkyvong,hdos39
41,Reiji Nishiguchi6-3-0,1,0,Juan Contla5-4-0,Reiji Nishiguchi,Juan Contla,6-3-0,5-4-0,amere,amere,jcontla
42,0daluc0266-3-0,1,0,Caleb P5-4-0,0daluc026,Caleb P,6-3-0,5-4-0,0daluc026,0daluc026,piman13575
43,Giovanni Peragallo6-3-0,1,0,Hussemon5-4-0,Giovanni Peragallo,Hussemon,6-3-0,5-4-0,dracinioo,dracinioo,hussemon
44,Drayven Sande6-3-0,1,0,NRG Ely G5-4-0,Drayven Sande,NRG Ely G,6-3-0,5-4-0,thenegativeone,thenegativeone,ely7172
