Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Ryan Krats6-0-1,0,0,APackOfAlpacas6-0-1,Ryan Krats,APackOfAlpacas,6-0-1,6-0-1,0,kratsattack,apackofalpacas
2,Dominick Schroyens6-1-0,0,1,christopherdybas7-0-0,Dominick Schroyens,christopherdybas,6-1-0,7-0-0,christopherdybas,dominicks,christopherdybas
3,Sammy  Allen6-1-0,1,0,Doubllez5-2-0,Sammy  Allen,Doubllez,6-1-0,5-2-0,blackangel61220,blackangel61220,doubllez
4,JoiseJo6-1-0,1,0,allezliverpool695-2-0,JoiseJo,allezliverpool69,6-1-0,5-2-0,joisejo,joisejo,allezliverpool69
5,tyanpon6-1-0,1,0,Cameron Padilla5-2-0,tyanpon,Cameron Padilla,6-1-0,5-2-0,tyanpon,tyanpon,camycameron
6,Cal Connor5-2-0,0,1,Anti6-1-0,Cal Connor,Anti,5-2-0,6-1-0,anti,calcal206,anti
7,Sanjay7s5-2-0,0,1,Caleb Rogerson6-1-0,Sanjay7s,Caleb Rogerson,5-2-0,6-1-0,memaanhc,sanjay7s,memaanhc
8,sincero cornelio silla6-1-0,1,0,Ryan P5-2-0,sincero cornelio silla,Ryan P,6-1-0,5-2-0,poornico,poornico,eevee5307
9,HARUTO F5-2-0,0,1,jagraning6-1-0,HARUTO F,jagraning,5-2-0,6-1-0,jagraning,haruto0921,jagraning
10,AyNunez6-1-0,1,0,HyperK5-2-0,AyNunez,HyperK,6-1-0,5-2-0,aynunez,aynunez,hyperk
11,Jorgecani5-2-0,0,1,Gabriel  Fernandez { raio120 }6-1-0,Jorgecani,Gabriel  Fernandez { raio120 },5-2-0,6-1-0,raio120,jorgecani,raio120
12,Nicholas Homa5-2-0,0,1,Thomas Harvey6-1-0,Nicholas Homa,Thomas Harvey,5-2-0,6-1-0,csffarm,aquiladisicilia,csffarm
13,Bandit6-1-0,1,0,Kelvin D5-2-0,Bandit,Kelvin D,6-1-0,5-2-0,bandit,bandit,keidee96
14,KeithHagan6-1-0,1,0,blaizebri5-2-0,KeithHagan,blaizebri,6-1-0,5-2-0,keithhagan,keithhagan,blaizebri
15,Matthew Gilson4-2-1,0,1,ianlaneifa5-1-1,Matthew Gilson,ianlaneifa,4-2-1,5-1-1,ianlaneifa,vicariant23,ianlaneifa
16,ely71724-2-1,0,1,Gabriel Padinha5-2-0,ely7172,Gabriel Padinha,4-2-1,5-2-0,calkab,ely7172,calkab
17,Kenny Packala5-2-0,1,0,kikerda4-3-0,Kenny Packala,kikerda,5-2-0,4-3-0,nightwatchgaming,nightwatchgaming,kikerda
18,boosakk695-2-0,1,0,JoyZumu4-3-0,boosakk69,JoyZumu,5-2-0,4-3-0,boosakk69,boosakk69,joyzumu
19,Ontaro295-2-0,1,0,McStud4-3-0,Ontaro29,McStud,5-2-0,4-3-0,ontaro29,ontaro29,mcstud
20,mkirby4-3-0,0,1,TNYF06305-2-0,mkirby,TNYF0630,4-3-0,5-2-0,tnyf0630,mkirby,tnyf0630
21,Pablo Castillo5-2-0,1,0,ZhiYi200704154-3-0,Pablo Castillo,ZhiYi20070415,5-2-0,4-3-0,pcl182,pcl182,zhiyi20070415
22,Liam Kidd4-2-1,0,0,Rudedogg834-2-1,Liam Kidd,Rudedogg83,4-2-1,4-2-1,0,liamkidd,rudedogg83
23,grantm124-3-0,0,1,Lustereclips5-2-0,grantm12,Lustereclips,4-3-0,5-2-0,lustereclips,grantm12,lustereclips
24,mlj16064-3-0,0,1,leozin1235-2-0,mlj1606,leozin123,4-3-0,5-2-0,leozin123,mlj1606,leozin123
25,irvintyes4-3-0,0,1,Goomy355-2-0,irvintyes,Goomy35,4-3-0,5-2-0,goomy35,irvintyes,goomy35
26,maguimaster5-2-0,1,0,Adam Denk4-3-0,maguimaster,Adam Denk,5-2-0,4-3-0,maguimaster,maguimaster,killerady
