Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,huntgw17255-0-0,1,0,CoolPillow224-1-0,huntgw1725,CoolPillow22,5-0-0,4-1-0,huntgw1725,huntgw1725,coolpillow22
2,Andrew Hedrick5-0-0,1,0,PerfectPenguin74-1-0,Andrew Hedrick,PerfectPenguin7,5-0-0,4-1-0,pokehawkeye,pokehawkeye,perfectpenguin7
3,FranciscoVargas5-0-0,1,0,Thomas Harvey4-1-0,FranciscoVargas,Thomas Harvey,5-0-0,4-1-0,franciscovargas,franciscovargas,csffarm
4,Lewis S4-1-0,0,1,MellowMagikarp5-0-0,Lewis S,MellowMagikarp,4-1-0,5-0-0,mellowmagikarp,jellyface,mellowmagikarp
5,espel4-1-0,0,0,Caleb Rogerson5-0-0,espel,Caleb Rogerson,4-1-0,5-0-0,memaanhc,espel,memaanhc
6,cesarsanchex4-1-0,0,1,jeanrcj5-0-0,cesarsanchex,jeanrcj,4-1-0,5-0-0,jeanrcj,cesarsanchex,jeanrcj
7,mooimmo5-0-0,1,0,Darkrai25524-1-0,mooimmo,Darkrai2552,5-0-0,4-1-0,mooimmo,mooimmo,darkrai2552
8,NowhereMan3-1-1,0,1,SMC Win4-1-0,NowhereMan,SMC Win,3-1-1,4-1-0,cbrsg,nowhereman,cbrsg
9,Ajolt4-1-0,1,0,Henrique Jorge3-2-0,Ajolt,Henrique Jorge,4-1-0,3-2-0,ajolt,ajolt,hbjtrevo
10,Lime3-2-0,0,1,christianlabella4-1-0,Lime,christianlabella,3-2-0,4-1-0,christianlabella,lime,christianlabella
11,Blastobro3-2-0,0,1,APackOfAlpacas4-1-0,Blastobro,APackOfAlpacas,3-2-0,4-1-0,apackofalpacas,blastobro,apackofalpacas
12,wakingeyes3-2-0,0,1,Truesy4-1-0,wakingeyes,Truesy,3-2-0,4-1-0,truesy,wakingeyes,truesy
13,S4512504-1-0,1,0,chrischop943-2-0,S451250,chrischop94,4-1-0,3-2-0,s451250,s451250,chrischop94
14,allezliverpool694-1-0,1,0,Brybox3-2-0,allezliverpool69,Brybox,4-1-0,3-2-0,allezliverpool69,allezliverpool69,brybox
15,MELTZakamudkip3-2-0,0,1,CaRif74-1-0,MELTZakamudkip,CaRif7,3-2-0,4-1-0,carif7,meltzakamudkip,carif7
