Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Anti4-1-1,0,1,APackOfAlpacas5-0-1,Anti,APackOfAlpacas,4-1-1,5-0-1,apackofalpacas,anti,apackofalpacas
2,Lustereclips4-1-1,0,1,PtcgUser0025-1-0,Lustereclips,PtcgUser002,4-1-1,5-1-0,ptcguser002,lustereclips,ptcguser002
3,Rvd169994-1-1,0,0,mojelly3024-1-1,Rvd16999,mojelly302,4-1-1,4-1-1,0,rvd16999,mojelly302
4,Christian Stridiron5-1-0,1,0,allezliverpool694-2-0,Christian Stridiron,allezliverpool69,5-1-0,4-2-0,ippokg,ippokg,allezliverpool69
5,PerfectPenguin74-1-1,0,0,zand972064-1-1,PerfectPenguin7,zand97206,4-1-1,4-1-1,0,perfectpenguin7,zand97206
6,JosephSneed4-1-1,1,0,OnGaard3-3-0,JosephSneed,OnGaard,4-1-1,3-3-0,josephsneed,josephsneed,ongaard
7,john wanggaard3-3-0,0,1,NRG Ely G4-2-0,john wanggaard,NRG Ely G,3-3-0,4-2-0,ely7172,ttoabyssal,ely7172
8,TCwhitedragon4-2-0,1,0,Atomicsmash3-3-0,TCwhitedragon,Atomicsmash,4-2-0,3-3-0,tcwhitedragon,tcwhitedragon,atomicsmash
9,SuperSulcata4-2-0,1,0,Murbell113-3-0,SuperSulcata,Murbell11,4-2-0,3-3-0,supersulcata,supersulcata,murbell11
10,Duhskull4-2-0,0,0,PokeMuca3-3-0,Duhskull,PokeMuca,4-2-0,3-3-0,duhskull,duhskull,pokemuca
11,AndresJgames2-4-0,0,1,Christopher S3-3-0,AndresJgames,Christopher S,2-4-0,3-3-0,hurriedgarlic66,andresjgames,hurriedgarlic66
12,JRed3-3-0,1,0,7hRilla22-4-0,JRed,7hRilla2,3-3-0,2-4-0,jred,jred,7hrilla2
13,infernohippo3-3-0,1,0,Garry Breech1-4-1,infernohippo,Garry Breech,3-3-0,1-4-1,infernohippo,infernohippo,garebear2006
14,iStark112-4-0,0,0,Yerffej921-5-0,iStark11,Yerffej92,2-4-0,1-5-0,istark11,istark11,yerffej92
15,Mario Vasquez0-6-0,0,0,Diskodad1-5-0,Mario Vasquez,Diskodad,0-6-0,1-5-0,diskodad,pokeyonko,diskodad
16,Max Maier1-5-0,,,bye,Max Maier,*Bye*,1-5-0,N/A,maxwmaier,maxwmaier,*Bye*
