Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,EydoKiller4-1-0,0,1,EvanCampbell945-0-0,EydoKiller,EvanCampbell94,4-1-0,5-0-0,evancampbell94,eydokiller,evancampbell94
2,adrielichu4-1-0,0,1,GODDO75-0-0,adrielichu,GODDO7,4-1-0,5-0-0,goddo7,adrielichu,goddo7
3,Nagii4-1-0,0,1,iStark115-0-0,Nagii,iStark11,4-1-0,5-0-0,istark11,nagii,istark11
4,espel5-0-0,1,0,Christian Jaramillo4-1-0,espel,Christian Jaramillo,5-0-0,4-1-0,espel,espel,setokaiba1308
5,Nicholas Homa5-0-0,1,0,bujijia11054-1-0,Nicholas Homa,bujijia1105,5-0-0,4-1-0,aquiladisicilia,aquiladisicilia,bujijia1105
6,Rezolution5-0-0,1,0,Dominick Schroyens4-1-0,Rezolution,Dominick Schroyens,5-0-0,4-1-0,rezolution,rezolution,dominicks
7,[GUH]Flavio Arechiga3-2-0,0,1,ProfesorJJ4-1-0,[GUH]Flavio Arechiga,ProfesorJJ,3-2-0,4-1-0,profesorjj,flantastic,profesorjj
8,Gumilakilla3-2-0,0,1,APackOfAlpacas4-1-0,Gumilakilla,APackOfAlpacas,3-2-0,4-1-0,apackofalpacas,gumilakilla,apackofalpacas
9,Zach Lesage3-2-0,0,1,mozwen4-1-0,Zach Lesage,mozwen,3-2-0,4-1-0,mozwen,zlesage,mozwen
10,MasterLeBui3-2-0,0,1,tostycr364-1-0,MasterLeBui,tostycr36,3-2-0,4-1-0,tostycr36,masterlebui,tostycr36
11,yakumaru723-2-0,0,1,topherton4-1-0,yakumaru72,topherton,3-2-0,4-1-0,topherton,yakumaru72,topherton
12,mille12164-1-0,1,0,allezliverpool693-2-0,mille1216,allezliverpool69,4-1-0,3-2-0,mille1216,mille1216,allezliverpool69
13,Cameron Padilla4-1-0,1,0,KR543-2-0,Cameron Padilla,KR54,4-1-0,3-2-0,camycameron,camycameron,kr54
14,Eckoshooter073-2-0,0,1,Hussemon4-1-0,Eckoshooter07,Hussemon,3-2-0,4-1-0,hussemon,eckoshooter07,hussemon
15,Bruinboy3-2-0,0,1,Carson014-1-0,Bruinboy,Carson01,3-2-0,4-1-0,carson01,bruinboy,carson01
16,jserhan3-2-0,0,1,rhhaeder4-1-0,jserhan,rhhaeder,3-2-0,4-1-0,rhhaeder,jserhan,rhhaeder
17,MellowMagikarp3-2-0,0,1,sencha 4-1-0,MellowMagikarp,sencha ,3-2-0,4-1-0,kirikisencha,mellowmagikarp,kirikisencha
18,Benlulubro4-1-0,1,0,Ryan P3-2-0,Benlulubro,Ryan P,4-1-0,3-2-0,benlulubro,benlulubro,eevee5307
19,WarKillah3-2-0,0,1,Dobber27234-1-0,WarKillah,Dobber2723,3-2-0,4-1-0,dobber2723,warkillah,dobber2723
20,João  Pires4-1-0,1,0,rogerreynolds0073-2-0,João  Pires,rogerreynolds007,4-1-0,3-2-0,luisao99,luisao99,rogerreynolds007
21,Hypostition4-1-0,1,0,Juan Velez3-2-0,Hypostition,Juan Velez,4-1-0,3-2-0,hypostition,hypostition,xdjuanma
22,TJ Guistwite4-1-0,1,0,Gabriel { raio120 }3-2-0,TJ Guistwite,Gabriel { raio120 },4-1-0,3-2-0,grandtroll21,grandtroll21,raio120
23,Xavier E3-2-0,0,1,peke4-1-0,Xavier E,peke,3-2-0,4-1-0,peke,xabro,peke
24,Flyonthewall .3-2-0,0,1,Jonnysniper4-1-0,Flyonthewall .,Jonnysniper,3-2-0,4-1-0,jonnysniper,jgrant44,jonnysniper
25,André Chiasson3-2-0,0,1,Brandon Johnson4-1-0,André Chiasson,Brandon Johnson,3-2-0,4-1-0,lordbj101,andrechiasson,lordbj101
26,DragonL0rD3-2-0,0,1,Jahoostis4-1-0,DragonL0rD,Jahoostis,3-2-0,4-1-0,jahoostis,dragonl0rd,jahoostis
27,Lucas O3-2-0,0,1,Lpc19944-1-0,Lucas O,Lpc1994,3-2-0,4-1-0,lpc1994,aoldale,lpc1994
28,rain4-1-0,1,0,Naruto Uzumaki3-2-0,rain,Naruto Uzumaki,4-1-0,3-2-0,rain,rain,chrollo
29,Cesar G4-1-0,1,0,christianlabella3-2-0,Cesar G,christianlabella,4-1-0,3-2-0,sternseezer,sternseezer,christianlabella
30,Jefersonsilva3-1-1,1,0,Alfrexorus2-2-1,Jefersonsilva,Alfrexorus,3-1-1,2-2-1,jefersonsilva,jefersonsilva,alfrexorus
31,Cheech9272-2-1,0,1,BeastBoizTCG3-1-1,Cheech927,BeastBoizTCG,2-2-1,3-1-1,beastboiztcg,cheech927,beastboiztcg
32,Atomicsmash3-2-0,1,0,Bruno Barbieri Zanchin2-3-0,Atomicsmash,Bruno Barbieri Zanchin,3-2-0,2-3-0,atomicsmash,atomicsmash,bzanchin
33,chrischop943-2-0,1,0,ryan williamson2-3-0,chrischop94,ryan williamson,3-2-0,2-3-0,chrischop94,chrischop94,huskaroo
34,Travis T3-2-0,1,0,KillerFed2-3-0,Travis T,KillerFed,3-2-0,2-3-0,travo112,travo112,killerfed
35,SithMikkel962-3-0,0,1,Dadmistaken3-2-0,SithMikkel96,Dadmistaken,2-3-0,3-2-0,dadmistaken,sithmikkel96,dadmistaken
36,BJ Brownell3-2-0,1,0,Alex Hamilton2-3-0,BJ Brownell,Alex Hamilton,3-2-0,2-3-0,beaverjohnson,beaverjohnson,omegascizor456
37,John T2-3-0,0,1,Tathenz3-2-0,John T,Tathenz,2-3-0,3-2-0,tathenz,johnner101,tathenz
38,Joe Sturino3-2-0,1,0,Victor García2-3-0,Joe Sturino,Victor García,3-2-0,2-3-0,biscuithat,biscuithat,vicgar08
39,Dtamusu2-3-0,0,1,UltraNko3-2-0,Dtamusu,UltraNko,2-3-0,3-2-0,ultranko,dtamusu,ultranko
40,mrtech3-2-0,1,0,bananadiabetica2-3-0,mrtech,bananadiabetica,3-2-0,2-3-0,mrtech,mrtech,bananadiabetica
41,Lime2-3-0,0,1,CoolPillow223-2-0,Lime,CoolPillow22,2-3-0,3-2-0,coolpillow22,lime,coolpillow22
42,Blaksnak2-3-0,0,1,jgarcia17573-2-0,Blaksnak,jgarcia1757,2-3-0,3-2-0,jgarcia1757,blaksnak,jgarcia1757
43,road3-2-0,1,0,LucianTempest2-3-0,road,LucianTempest,3-2-0,2-3-0,road,road,luciantempest
44,TBlatt3-2-0,1,0,Kuj4k2-3-0,TBlatt,Kuj4k,3-2-0,2-3-0,tblatt,tblatt,kuj4k
45,irvintyes3-2-0,0,0,Dabstar902-3-0,irvintyes,Dabstar90,3-2-0,2-3-0,irvintyes,irvintyes,dabstar90
46,Rvd169993-2-0,1,0,mooimmo2-3-0,Rvd16999,mooimmo,3-2-0,2-3-0,rvd16999,rvd16999,mooimmo
47,u5d2-3-0,0,1,Joshua Bell3-2-0,u5d,Joshua Bell,2-3-0,3-2-0,joshuaxbell23,u5d,joshuaxbell23
48,Collin Ray3-2-0,1,0,juonx4772-3-0,Collin Ray,juonx477,3-2-0,2-3-0,aquaticblaze,aquaticblaze,juonx477
49,Diegofranche3-2-0,1,0,Hector Valle2-3-0,Diegofranche,Hector Valle,3-2-0,2-3-0,diegofranche,diegofranche,hxvalle
50,PokeEmmi2-2-1,0,0,Monicaj12172-2-1,PokeEmmi,Monicaj1217,2-2-1,2-2-1,0,pokeemmi,monicaj1217
51,MELTZakamudkip2-3-0,0,1,[GUH] Pablo3-2-0,MELTZakamudkip,[GUH] Pablo,2-3-0,3-2-0,drtastebad,meltzakamudkip,drtastebad
52,NRG Ely G3-2-0,1,0,grantm122-3-0,NRG Ely G,grantm12,3-2-0,2-3-0,ely7172,ely7172,grantm12
53,Alex Cole3-2-0,1,0,Louisianimal5041-3-1,Alex Cole,Louisianimal504,3-2-0,1-3-1,pandaboss58,pandaboss58,louisianimal504
54,Orlando K2-2-1,0,0,Clayton Fagan1-3-1,Orlando K,Clayton Fagan,2-2-1,1-3-1,nanomerida,nanomerida,madtrucker78
55,LostMyShii1-4-0,0,0,cesarsanchex2-3-0,LostMyShii,cesarsanchex,1-4-0,2-3-0,cesarsanchex,lostmyshii,cesarsanchex
56,jrubin331-4-0,0,0,Jacob Walker2-3-0,jrubin33,Jacob Walker,1-4-0,2-3-0,jaybob952,jrubin33,jaybob952
57,kyvndvntr2-3-0,0,0,Grandrew1-4-0,kyvndvntr,Grandrew,2-3-0,1-4-0,kyvndvntr,kyvndvntr,grandrew
58,spicytorry2-3-0,1,0,AndresJgames1-4-0,spicytorry,AndresJgames,2-3-0,1-4-0,spicytorry,spicytorry,andresjgames
59,Thomas Harvey2-3-0,0,0,AyNunez1-4-0,Thomas Harvey,AyNunez,2-3-0,1-4-0,csffarm,csffarm,aynunez
60,JackDaniel7891-3-1,,,bye,JackDaniel789,*Bye*,1-3-1,N/A,jackdaniel789,jackdaniel789,*Bye*
