Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Cal Connor2-0-0,1,0,7hRilla21-1-0,Cal Connor,7hRilla2,2-0-0,1-1-0,calcal206,calcal206,7hrilla2
2,Selesn7771-1-0,0,1,lindsayrosecup2-0-0,Selesn777,lindsayrosecup,1-1-0,2-0-0,lindsayrosecup,selesn777,lindsayrosecup
3,TrebDoggo1-1-0,0,1,Kenny Packala2-0-0,TrebDoggo,Kenny Packala,1-1-0,2-0-0,nightwatchgaming,trebdoggo,nightwatchgaming
4,zlesage2-0-0,1,0,APackOfAlpacas1-1-0,zlesage,APackOfAlpacas,2-0-0,1-1-0,zlesage,zlesage,apackofalpacas
5,Jade Applegate2-0-0,1,0,rexdog1-1-0,Jade Applegate,rexdog,2-0-0,1-1-0,sparklysilvally,sparklysilvally,rexdog
6,mkirby2-0-0,1,0,Orlando K1-1-0,mkirby,Orlando K,2-0-0,1-1-0,mkirby,mkirby,nanomerida
7,Cyrus Davis1-1-0,0,1,CLS0844492-0-0,Cyrus Davis,CLS084449,1-1-0,2-0-0,cls084449,draydon,cls084449
8,Danreyes272-0-0,1,0,mayamatu1-1-0,Danreyes27,mayamatu,2-0-0,1-1-0,danreyes27,danreyes27,mayamatu
9,pjwitusik2-0-0,1,0,Rvd169991-1-0,pjwitusik,Rvd16999,2-0-0,1-1-0,pjwitusik,pjwitusik,rvd16999
10,Christian Stridiron1-1-0,1,0,Garry Breech0-2-0,Christian Stridiron,Garry Breech,1-1-0,0-2-0,ippokg,ippokg,garebear2006
11,Atomicsmash0-2-0,0,1,memejesus70991-1-0,Atomicsmash,memejesus7099,0-2-0,1-1-0,memejesus7099,atomicsmash,memejesus7099
12,Travis T0-2-0,0,1,Lime1-1-0,Travis T,Lime,0-2-0,1-1-0,lime,travo112,lime
13,Joshua Sutherland0-2-0,0,1,Natagorn19901-1-0,Joshua Sutherland,Natagorn1990,0-2-0,1-1-0,natagorn1990,joshuasutherland21,natagorn1990
14,Anti0-2-0,0,0,crvenazvezd41-1-0,Anti,crvenazvezd4,0-2-0,1-1-0,crvenazvezd4,anti,crvenazvezd4
15,PokeDarkCT0-2-0,0,1,Memorroide691-1-0,PokeDarkCT,Memorroide69,0-2-0,1-1-0,memorroide69,pokedarkct,memorroide69
16,AndresJgames1-1-0,1,0,Chomper22040-2-0,AndresJgames,Chomper2204,1-1-0,0-2-0,andresjgames,andresjgames,chomper2204
17,Jahoostis1-1-0,,,bye,Jahoostis,*Bye*,1-1-0,N/A,jahoostis,jahoostis,*Bye*
