Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,frank zapata0-1-0,0,1,PokeFellas1-0-0,frank zapata,PokeFellas,0-1-0,1-0-0,pokefellas,frankzapata,pokefellas
2,Victor De Velasco1-0-0,1,0,LuvvAis0-1-0,Victor De Velasco,LuvvAis,1-0-0,0-1-0,victor91dv,victor91dv,luvvais
3,TypicalLegend1-0-0,1,0,Patrick Wall0-1-0,TypicalLegend,Patrick Wall,1-0-0,0-1-0,typicallegend,typicallegend,teamabra87
4,BlakeM1-0-0,1,0,oatmyik0-1-0,BlakeM,oatmyik,1-0-0,0-1-0,blakem,blakem,oatmyik
5,Iyla Sutherland1-0-0,1,0,AdrianK0-1-0,Iyla Sutherland,AdrianK,1-0-0,0-1-0,joshuasutherland21,joshuasutherland21,adriank
6,zattack100-1-0,0,1,NRG mooimmo1-0-0,zattack10,NRG mooimmo,0-1-0,1-0-0,mooimmo,zattack10,mooimmo
7,Bruno Paredes0-1-0,0,1,LiamHalliburton1-0-0,Bruno Paredes,LiamHalliburton,0-1-0,1-0-0,liamhalliburton,setheboo,liamhalliburton
8,Julian Alvarez1-0-0,1,0,Capcrew0-1-0,Julian Alvarez,Capcrew,1-0-0,0-1-0,shoromarmota,shoromarmota,capcrew
9,Jrwinter1-0-0,1,0,VmaxSkittlez0-1-0,Jrwinter,VmaxSkittlez,1-0-0,0-1-0,jrwinter,jrwinter,vmaxskittlez
10,Magikarp4200-1-0,0,1,Grant Hays1-0-0,Magikarp420,Grant Hays,0-1-0,1-0-0,granthays,magikarp420,granthays
11,snaketyripl25020-1-0,0,1,Cal Connor1-0-0,snaketyripl2502,Cal Connor,0-1-0,1-0-0,calcal206,snaketyripl2502,calcal206
12,hmkt11100-1-0,0,1,Richard  Ruiz1-0-0,hmkt1110,Richard  Ruiz,0-1-0,1-0-0,vartancaftel,hmkt1110,vartancaftel
13,Afrojarritos0-1-0,0,1,Vaughn1-0-0,Afrojarritos,Vaughn,0-1-0,1-0-0,vaughn,afrojarritos,vaughn
14,Brandon J1-0-0,1,0,wurmundmaus0-1-0,Brandon J,wurmundmaus,1-0-0,0-1-0,lordbj101,lordbj101,wurmundmaus
15,AVARIN JR VILLARREAL 0-1-0,0,1,mkirby1-0-0,AVARIN JR VILLARREAL ,mkirby,0-1-0,1-0-0,mkirby,avarinjr88,mkirby
16,Goomy350-1-0,0,1,tyanpon1-0-0,Goomy35,tyanpon,0-1-0,1-0-0,tyanpon,goomy35,tyanpon
17,SlappaBishop1-0-0,,,bye,SlappaBishop,*Bye*,1-0-0,N/A,slappabishop,slappabishop,*Bye*
