Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Magikarp4201-0-0,1,0,PokeEmmi0-1-0,Magikarp420,PokeEmmi,1-0-0,0-1-0,magikarp420,magikarp420,pokeemmi
2,pjwitusik1-0-0,1,0,centsrus0-1-0,pjwitusik,centsrus,1-0-0,0-1-0,pjwitusik,pjwitusik,centsrus
3,Gabriel Fernandez {raio120}1-0-0,1,0,ttuoscar0-1-0,Gabriel Fernandez {raio120},ttuoscar,1-0-0,0-1-0,raio120,raio120,ttuoscar
4,Jacob Walker0-1-0,0,1,jamesfromhk1-0-0,Jacob Walker,jamesfromhk,0-1-0,1-0-0,jamesfromhk,jaybob952,jamesfromhk
5,eevee080-1-0,0,1,Ngshockley1-0-0,eevee08,Ngshockley,0-1-0,1-0-0,ngshockley,eevee08,ngshockley
6,Lucas Mancuso1-0-0,1,0,tsubatsuba20220-1-0,Lucas Mancuso,tsubatsuba2022,1-0-0,0-1-0,lucasm7911,lucasm7911,tsubatsuba2022
7,MatiEngel0-1-0,0,1,YoongKaiJian1-0-0,MatiEngel,YoongKaiJian,0-1-0,1-0-0,yoongkaijian,matiengel,yoongkaijian
8,liraluigy1-0-0,1,0,kenneth kinsman0-1-0,liraluigy,kenneth kinsman,1-0-0,0-1-0,liraluigy,liraluigy,excalibur1478
9,Sota S0-1-0,0,1,Ant43911-0-0,Sota S,Ant4391,0-1-0,1-0-0,ant4391,shishiya,ant4391
10,kaichichichi0-1-0,0,1,Daniel7771-0-0,kaichichichi,Daniel777,0-1-0,1-0-0,daniel777,kaichichichi,daniel777
11,Vaughn0-1-0,0,1,NickyFranchise1-0-0,Vaughn,NickyFranchise,0-1-0,1-0-0,nickyfranchise,vaughn,nickyfranchise
12,Moxyroxie0-1-0,0,1,fasttz1-0-0,Moxyroxie,fasttz,0-1-0,1-0-0,fasttz,moxyroxie,fasttz
13,Halokid415981-0-0,1,0,Iyla Sutherland0-1-0,Halokid41598,Iyla Sutherland,1-0-0,0-1-0,halokid41598,halokid41598,joshuasutherland21
14,Bonsanto1-0-0,1,0,Joe Sturino0-1-0,Bonsanto,Joe Sturino,1-0-0,0-1-0,bonsanto,bonsanto,biscuithat
15,Ven0-1-0,0,1,Savid4001-0-0,Ven,Savid400,0-1-0,1-0-0,savid400,ven,savid400
16,peke1-0-0,1,0,Asher82828790-1-0,peke,Asher8282879,1-0-0,0-1-0,peke,peke,asher8282879
17,TheShinyBuizel0-1-0,0,1,Peter Mancuso1-0-0,TheShinyBuizel,Peter Mancuso,0-1-0,1-0-0,petermancuso,theshinybuizel,petermancuso
18,mkirby0-1-0,0,1,Emanuel E1-0-0,mkirby,Emanuel E,0-1-0,1-0-0,xpredate,mkirby,xpredate
19,TheRicardoToddy1-0-0,1,0,Gloose0-1-0,TheRicardoToddy,Gloose,1-0-0,0-1-0,thericardotoddy,thericardotoddy,gloose
20,Dillon M1-0-0,1,0,Adam2220-1-0,Dillon M,Adam222,1-0-0,0-1-0,chippers41,chippers41,adam222
21,DaniusTarquinius1-0-0,,,bye,DaniusTarquinius,*Bye*,1-0-0,N/A,daniustarquinius,daniustarquinius,*Bye*
