Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,EvanCampbell942-0-0,1,0,Brandon J1-1-0,EvanCampbell94,Brandon J,2-0-0,1-1-0,evancampbell94,evancampbell94,lordbj101
2,DarwinNunez1-1-0,0,1,EXfiveDaiveR2-0-0,DarwinNunez,EXfiveDaiveR,1-1-0,2-0-0,exfivedaiver,darwinnunez,exfivedaiver
3,yakumaru722-0-0,1,0,JavaleCole1-1-0,yakumaru72,JavaleCole,2-0-0,1-1-0,yakumaru72,yakumaru72,javalecole
4,Kara Thea1-1-0,0,1,Leandro Fernandes2-0-0,Kara Thea,Leandro Fernandes,1-1-0,2-0-0,leandropringos,undauntedhound,leandropringos
5,Taylor Lowe2-0-0,1,0,Capcrew1-1-0,Taylor Lowe,Capcrew,2-0-0,1-1-0,lowet03,lowet03,capcrew
6,Max Maier1-1-0,0,1,Luke Morsa2-0-0,Max Maier,Luke Morsa,1-1-0,2-0-0,celiosnetwork,maxwmaier,celiosnetwork
7,NRG allezliverpool2-0-0,1,0,goomy471-1-0,NRG allezliverpool,goomy47,2-0-0,1-1-0,allezliverpool69,allezliverpool69,goomy47
8,Nicholas Homa2-0-0,1,0,eevee081-1-0,Nicholas Homa,eevee08,2-0-0,1-1-0,aquiladisicilia,aquiladisicilia,eevee08
9,Vaughn2-0-0,1,0,mitchmaster241-1-0,Vaughn,mitchmaster24,2-0-0,1-1-0,vaughn,vaughn,mitchmaster24
10,Sanjay7s2-0-0,1,0,TheKitKatProject1-1-0,Sanjay7s,TheKitKatProject,2-0-0,1-1-0,sanjay7s,sanjay7s,thekitkatproject
11,reckz1902-0-0,1,0,Cal Connor1-1-0,reckz190,Cal Connor,2-0-0,1-1-0,reckz190,reckz190,calcal206
12,VolcanTurtleTCG2-0-0,1,0,jprivett832poke0-1-1,VolcanTurtleTCG,jprivett832poke,2-0-0,0-1-1,volcanturtletcg,volcanturtletcg,jprivett832poke
13,Grant Hays0-0-2,1,0,DigitalDoctor0-1-1,Grant Hays,DigitalDoctor,0-0-2,0-1-1,0,granthays,digitaldoctor
14,Rvd169990-2-0,0,1,Coolfatkid0001-1-0,Rvd16999,Coolfatkid000,0-2-0,1-1-0,coolfatkid000,rvd16999,coolfatkid000
15,Luna Y0-2-0,0,1,Dynamite1-1-0,Luna Y,Dynamite,0-2-0,1-1-0,dynamite,pikachu369248,dynamite
16,wurmundmaus1-1-0,1,0,Sorethumbcollector0-2-0,wurmundmaus,Sorethumbcollector,1-1-0,0-2-0,wurmundmaus,wurmundmaus,sorethumbcollector
17,infernohippo0-2-0,0,1,IronhideOO71-1-0,infernohippo,IronhideOO7,0-2-0,1-1-0,ironhideoo7,infernohippo,ironhideoo7
18,Duhskull0-2-0,0,1,Hambyyy1-1-0,Duhskull,Hambyyy,0-2-0,1-1-0,hambyyy,duhskull,hambyyy
19,camcho18920-2-0,0,0,Kashvinder Singh1-1-0,camcho1892,Kashvinder Singh,0-2-0,1-1-0,kashmann27,camcho1892,kashmann27
20,KyleKorver0-2-0,0,1,HazeyCats1-1-0,KyleKorver,HazeyCats,0-2-0,1-1-0,hazeycats,kylekorver,hazeycats
21,Austin Miller1-1-0,1,0,Nocturne0-2-0,Austin Miller,Nocturne,1-1-0,0-2-0,mmasterdaddy,mmasterdaddy,nocturne
22,APackOfAlpacas1-1-0,1,0,NickyFranchise0-2-0,APackOfAlpacas,NickyFranchise,1-1-0,0-2-0,apackofalpacas,apackofalpacas,nickyfranchise
23,WobBoss1-1-0,,,bye,WobBoss,*Bye*,1-1-0,N/A,wobboss,wobboss,*Bye*
