Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Dalten Cross6-0-0,1,0,grantm125-1-0,Dalten Cross,grantm12,6-0-0,5-1-0,vovuvu,vovuvu,grantm12
2,Andrew Hedrick6-0-0,1,0,Victor García5-1-0,Andrew Hedrick,Victor García,6-0-0,5-1-0,pokehawkeye,pokehawkeye,vicgar08
3,ToF Luis Estrada5-1-0,0,1,Hayden Matthews6-0-0,ToF Luis Estrada,Hayden Matthews,5-1-0,6-0-0,hdos39,fester131313,hdos39
4,edmund khoo6-0-0,1,0,OnGaard4-1-1,edmund khoo,OnGaard,6-0-0,4-1-1,ayayaka,ayayaka,ongaard
5,GoRush4-1-1,0,1,lindsayrosecup5-1-0,GoRush,lindsayrosecup,4-1-1,5-1-0,lindsayrosecup,gorush,lindsayrosecup
6,Alexid4-1-1,0,1,Anti5-1-0,Alexid,Anti,4-1-1,5-1-0,anti,alexid,anti
7,JorgeR5-1-0,1,0,Ashrios214-2-0,JorgeR,Ashrios21,5-1-0,4-2-0,jorger,jorger,ashrios21
8,Henrique Jorge5-1-0,1,0,Mikela G4-2-0,Henrique Jorge,Mikela G,5-1-0,4-2-0,hbjtrevo,hbjtrevo,realcloudberry
9,Anthony Kocan5-1-0,1,0,Thallkristhall4-2-0,Anthony Kocan,Thallkristhall,5-1-0,4-2-0,akocan64,akocan64,thallkristhall
10,Ajolt4-2-0,0,1,UltraNko5-1-0,Ajolt,UltraNko,4-2-0,5-1-0,ultranko,ajolt,ultranko
11,Zahir645-1-0,1,0,JacePatrick4-2-0,Zahir64,JacePatrick,5-1-0,4-2-0,zahir64,zahir64,jacepatrick
12,Joshua Sutherland4-2-0,0,1,DiceOfFate5-1-0,Joshua Sutherland,DiceOfFate,4-2-0,5-1-0,diceoffate,joshuasutherland21,diceoffate
13,peke4-2-0,0,1,APackOfAlpacas5-1-0,peke,APackOfAlpacas,4-2-0,5-1-0,apackofalpacas,peke,apackofalpacas
14,Curly715-1-0,1,0,Math Liu4-2-0,Curly71,Math Liu,5-1-0,4-2-0,curly71,curly71,tdonmt1989
15,YoongKaiJian5-1-0,1,0,Caleb Rogerson4-2-0,YoongKaiJian,Caleb Rogerson,5-1-0,4-2-0,yoongkaijian,yoongkaijian,memaanhc
16,Mahh64-2-0,0,1,0daluc0265-1-0,Mahh6,0daluc026,4-2-0,5-1-0,0daluc026,mahh6,0daluc026
17,Nectar175-1-0,1,0,NRG Ely G4-2-0,Nectar17,NRG Ely G,5-1-0,4-2-0,nectar17,nectar17,ely7172
18,Zach Forjette4-2-0,0,1,CaptainK5-1-0,Zach Forjette,CaptainK,4-2-0,5-1-0,captaink,zachforjette,captaink
19,Aman2275-1-0,1,0,mikereynolds13374-2-0,Aman227,mikereynolds1337,5-1-0,4-2-0,aman227,aman227,mikereynolds1337
20,Nick DeVries5-1-0,1,0,Kayemex4-2-0,Nick DeVries,Kayemex,5-1-0,4-2-0,tiki,tiki,kayemex
21,Lime5-1-0,1,0,Doubllez4-2-0,Lime,Doubllez,5-1-0,4-2-0,lime,lime,doubllez
22,Gumilakilla3-1-2,0,1,Orianna M4-1-1,Gumilakilla,Orianna M,3-1-2,4-1-1,orixvx,gumilakilla,orixvx
23,VolcanTurtleTCG4-1-1,1,0,Koizata3-2-1,VolcanTurtleTCG,Koizata,4-1-1,3-2-1,volcanturtletcg,volcanturtletcg,koizata
24,BeadedDragon3-2-1,0,1,Hman4-1-1,BeadedDragon,Hman,3-2-1,4-1-1,hman,beadeddragon,hman
25,clyne3-2-1,0,1,VaporeonDreemurr4-1-1,clyne,VaporeonDreemurr,3-2-1,4-1-1,vaporeondreemurr,clyne,vaporeondreemurr
26,bholkup3-2-1,0,1,Jonathan Patricio Ch.4-2-0,bholkup,Jonathan Patricio Ch.,3-2-1,4-2-0,jonah2705,bholkup,jonah2705
27,Juan Espinola3-3-0,0,1,NoahDonen4-2-0,Juan Espinola,NoahDonen,3-3-0,4-2-0,noahdonen,espinola,noahdonen
28,zattack103-3-0,0,1,James Simms4-2-0,zattack10,James Simms,3-3-0,4-2-0,4600737,zattack10,4600737
29,sariafan4253-3-0,0,1,yoppe064-2-0,sariafan425,yoppe06,3-3-0,4-2-0,yoppe06,sariafan425,yoppe06
30,FabrizioINSI103-3-0,0,0,CharChar17134-2-0,FabrizioINSI10,CharChar1713,3-3-0,4-2-0,charchar1713,fabrizioinsi10,charchar1713
31,arturoR2D26331274-2-0,1,0,ouija16103-3-0,arturoR2D2633127,ouija1610,4-2-0,3-3-0,arturor2d2633127,arturor2d2633127,ouija1610
32,Augusto Beringuer4-2-0,1,0,Bigfluff45713-3-0,Augusto Beringuer,Bigfluff4571,4-2-0,3-3-0,augustoberinguer,augustoberinguer,bigfluff4571
33,Jervis3820004-2-0,1,0,denerrigoli3-3-0,Jervis382000,denerrigoli,4-2-0,3-3-0,jervis382000,jervis382000,denerrigoli
34,JayArrCee3-3-0,0,1,Takuto4-2-0,JayArrCee,Takuto,3-3-0,4-2-0,takuto,jayarrcee,takuto
35,redapplepoker3-3-0,0,1,Capcrew4-2-0,redapplepoker,Capcrew,3-3-0,4-2-0,capcrew,redapplepoker,capcrew
36,AtiumShadow4-2-0,0,0,rain3-3-0,AtiumShadow,rain,4-2-0,3-3-0,atiumshadow,atiumshadow,rain
