Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,AtomicGantner4-0-0,1,0,hamadayu253-1-0,AtomicGantner,hamadayu25,4-0-0,3-1-0,atomicgantner,atomicgantner,hamadayu25
2,Jonathan Patricio Ch.4-0-0,1,0,DiamondKing3-1-0,Jonathan Patricio Ch.,DiamondKing,4-0-0,3-1-0,jonah2705,jonah2705,diamondking
3,Hooligan8354-0-0,1,0,TRTs1013-1-0,Hooligan835,TRTs101,4-0-0,3-1-0,hooligan835,hooligan835,trts101
4,Alex Schemanske4-0-0,1,0,u5d3-1-0,Alex Schemanske,u5d,4-0-0,3-1-0,mewpip,mewpip,u5d
5,TeachMePokemonPodcast4-0-0,1,0,Alex Hamilton3-1-0,TeachMePokemonPodcast,Alex Hamilton,4-0-0,3-1-0,teachmepokemonpodcast,teachmepokemonpodcast,omegascizor456
6,Yanagisawa3-1-0,0,1,eggahat4-0-0,Yanagisawa,eggahat,3-1-0,4-0-0,eggahat,yanagisawa,eggahat
7,Ryan Simons4-0-0,1,0,Tomoki H3-1-0,Ryan Simons,Tomoki H,4-0-0,3-1-0,variedits,variedits,tomokihonda
8,cardleadersde4-0-0,1,0,Ssong 73-1-0,cardleadersde,Ssong 7,4-0-0,3-1-0,cardleadersde,cardleadersde,king777
9,matsunoyushin4-0-0,1,0,Harukim3-1-0,matsunoyushin,Harukim,4-0-0,3-1-0,matsunoyushin,matsunoyushin,harukim
10,peppo4-0-0,1,0,kappadorcards3-1-0,peppo,kappadorcards,4-0-0,3-1-0,peppo,peppo,kappadorcards
11,kyoroOJ3-1-0,0,1,TAKITA4-0-0,kyoroOJ,TAKITA,3-1-0,4-0-0,takita,kyorooj,takita
12,hgibbon133-1-0,0,1,Bigboshops4-0-0,hgibbon13,Bigboshops,3-1-0,4-0-0,bigboshops,hgibbon13,bigboshops
13,nearby4-0-0,1,0,owntempo2-1-1,nearby,owntempo,4-0-0,2-1-1,nearby,nearby,owntempo
14,wei2-1-1,0,1,roi853-1-0,wei,roi85,2-1-1,3-1-0,roi85,wei,roi85
15,Immilanista2-2-0,0,1,Lecho3-1-0,Immilanista,Lecho,2-2-0,3-1-0,lecho,immilanista,lecho
16,RobertBrianMM3-1-0,1,0,Mimi2-2-0,RobertBrianMM,Mimi,3-1-0,2-2-0,robertbrianmm,robertbrianmm,mimi
17,MysteriousPlayer3-1-0,1,0,PTPPokemon682-2-0,MysteriousPlayer,PTPPokemon68,3-1-0,2-2-0,mysteriousplayer,mysteriousplayer,ptppokemon68
18,bughalover333-1-0,1,0,Jacob Quinn2-2-0,bughalover33,Jacob Quinn,3-1-0,2-2-0,bughalover33,bughalover33,beastman66
19,RiotTown3-1-0,1,0,Carson Washer2-2-0,RiotTown,Carson Washer,3-1-0,2-2-0,riottown,riottown,carsonwasher00
