Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Damian F1-1-0,0,1,Gordon the Squishmallow2-0-0,Damian F,Gordon the Squishmallow,1-1-0,2-0-0,globaltrainer71,0daluc026,globaltrainer71
2,Aman2271-1-0,0,1,Jamie Chesnut2-0-0,Aman227,Jamie Chesnut,1-1-0,2-0-0,pianist3494,aman227,pianist3494
3,Bæn B2-0-0,1,0,banoonw1-1-0,Bæn B,banoonw,2-0-0,1-1-0,bbillinger,bbillinger,banoonw
4,iStark111-0-1,0,0,UpstreamPwnage1-0-1,iStark11,UpstreamPwnage,1-0-1,1-0-1,0,istark11,upstreampwnage
5,APackOfAlpacas1-1-0,0,1,AtiumShadow2-0-0,APackOfAlpacas,AtiumShadow,1-1-0,2-0-0,atiumshadow,apackofalpacas,atiumshadow
6,chubray2-0-0,1,0,Joaquin  Gonzalez1-1-0,chubray,Joaquin  Gonzalez,2-0-0,1-1-0,chubray,chubray,sweetxyz
7,Yuya Satake1-1-0,0,1,Salim2-0-0,Yuya Satake,Salim,1-1-0,2-0-0,salim,yuya,salim
8,zumi132-0-0,1,0,ssebango21-1-0,zumi13,ssebango2,2-0-0,1-1-0,zumi13,zumi13,ssebango2
9,Alex Schemanske2-0-0,1,0,Phanpy781-1-0,Alex Schemanske,Phanpy78,2-0-0,1-1-0,mewpip,mewpip,phanpy78
10,peteau892-0-0,1,0,brian1999881-1-0,peteau89,brian199988,2-0-0,1-1-0,peteau89,peteau89,brian199988
11,yakumaru721-1-0,0,1,savg10002-0-0,yakumaru72,savg1000,1-1-0,2-0-0,savg1000,yakumaru72,savg1000
12,Savid4001-1-0,0,1,Dylancoto1920072-0-0,Savid400,Dylancoto192007,1-1-0,2-0-0,dylancoto192007,savid400,dylancoto192007
13,Null2-0-0,1,0,Felipe Cubillos1-1-0,Null,Felipe Cubillos,2-0-0,1-1-0,null,null,felipecuillo
14,ChampionLuck1-1-0,0,1,Asher82828792-0-0,ChampionLuck,Asher8282879,1-1-0,2-0-0,asher8282879,championluck,asher8282879
15,Juffimax2-0-0,1,0,Dalten Cross1-1-0,Juffimax,Dalten Cross,2-0-0,1-1-0,juffimax,juffimax,vovuvu
16,GUSTAVOWADA2-0-0,1,0,Gustavo La Padula1-1-0,GUSTAVOWADA,Gustavo La Padula,2-0-0,1-1-0,gustavowada,gustavowada,lapadulatcg
17,Rogério Bombardelli2-0-0,1,0,Bigfluff45711-1-0,Rogério Bombardelli,Bigfluff4571,2-0-0,1-1-0,rkbp,rkbp,bigfluff4571
18,sino1-1-0,0,1,Zarbon2-0-0,sino,Zarbon,1-1-0,2-0-0,zarbon,sino,zarbon
19,Math Liu2-0-0,1,0,Jonathan Patricio Ch.1-1-0,Math Liu,Jonathan Patricio Ch.,2-0-0,1-1-0,tdonmt1989,tdonmt1989,jonah2705
20,DeddyWong1-0-1,0,1,Mike9809021-0-1,DeddyWong,Mike980902,1-0-1,1-0-1,0,deddywong,mike980902
21,grimmshady981-1-0,0,1,Jake M2-0-0,grimmshady98,Jake M,1-1-0,2-0-0,jmershon22,grimmshady98,jmershon22
22,UltraNko1-1-0,0,1,peke2-0-0,UltraNko,peke,1-1-0,2-0-0,peke,ultranko,peke
23,mccoy7161-1-0,0,1,wama3212-0-0,mccoy716,wama321,1-1-0,2-0-0,wama321,mccoy716,wama321
24,Ivan C2-0-0,1,0,Maxwell Mitchell1-1-0,Ivan C,Maxwell Mitchell,2-0-0,1-1-0,vainmachine,vainmachine,themax1819
25,CaioCapetinha1-1-0,0,1,klamburglar2-0-0,CaioCapetinha,klamburglar,1-1-0,2-0-0,klamburglar,caiocapetinha,klamburglar
26,KOZ1-1-0,0,1,Reiji Nishiguchi2-0-0,KOZ,Reiji Nishiguchi,1-1-0,2-0-0,amere,koz,amere
27,PurplePhoenix231-1-0,0,1,Elijah Crane2-0-0,PurplePhoenix23,Elijah Crane,1-1-0,2-0-0,e1ijah,purplephoenix23,e1ijah
28,nim3111-1-0,0,1,VolcanTurtleTCG2-0-0,nim311,VolcanTurtleTCG,1-1-0,2-0-0,volcanturtletcg,nim311,volcanturtletcg
29,Andrew Scott1-1-0,0,1,oviUE2-0-0,Andrew Scott,oviUE,1-1-0,2-0-0,oviue,ascotpokes,oviue
30,coronelzeta1-1-0,0,1,Bjade2-0-0,coronelzeta,Bjade,1-1-0,2-0-0,bjade,coronelzeta,bjade
31,LÜH CRANK2-0-0,1,0,evltrtl1-1-0,LÜH CRANK,evltrtl,2-0-0,1-1-0,brandonsalazar,brandonsalazar,evltrtl
32,jamen1-1-0,0,1,TimDanklin2-0-0,jamen,TimDanklin,1-1-0,2-0-0,timdanklin,jamen,timdanklin
33,bdbush1-1-0,0,1,Ahll12072-0-0,bdbush,Ahll1207,1-1-0,2-0-0,ahll1207,bdbush,ahll1207
34,EvanCampbell942-0-0,1,0,bujijia11051-1-0,EvanCampbell94,bujijia1105,2-0-0,1-1-0,evancampbell94,evancampbell94,bujijia1105
35,Nanami1-1-0,0,1,Victor De Velasco2-0-0,Nanami,Victor De Velasco,1-1-0,2-0-0,victor91dv,nanami,victor91dv
36,Jacob Weber1-1-0,0,1,bsetzlertattoo2-0-0,Jacob Weber,bsetzlertattoo,1-1-0,2-0-0,bsetzlertattoo,jwebz,bsetzlertattoo
37,Bagels1-1-0,0,1,ZHEloveyou2-0-0,Bagels,ZHEloveyou,1-1-0,2-0-0,zheloveyou,bagels,zheloveyou
38,Greg Kerien2-0-0,1,0,FamousCy1-1-0,Greg Kerien,FamousCy,2-0-0,1-1-0,ctcatsgk,ctcatsgk,famouscy
