Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,MasterLeBui2-0-0,1,0,blogstar1-1-0,MasterLeBui,blogstar,2-0-0,1-1-0,masterlebui,masterlebui,blogstar
2,Cocojobro2-0-0,1,0,MiloticMelanie1-1-0,Cocojobro,MiloticMelanie,2-0-0,1-1-0,cocojobro,cocojobro,miloticmelanie
3,FenixTCG2-0-0,1,0,RiotTown1-1-0,FenixTCG,RiotTown,2-0-0,1-1-0,fenixtcg,fenixtcg,riottown
4,Cal Connor2-0-0,1,0,Gengar92121-1-0,Cal Connor,Gengar9212,2-0-0,1-1-0,calcal206,calcal206,gengar9212
5,Afrojarritos2-0-0,1,0,Anon Guntha1-1-0,Afrojarritos,Anon Guntha,2-0-0,1-1-0,afrojarritos,afrojarritos,anonowen
6,Vini Fernandez2-0-0,1,0,melfo1-1-0,Vini Fernandez,melfo,2-0-0,1-1-0,warexpert,warexpert,melfo
7,Emanuel E2-0-0,1,0,Matthew441-1-0,Emanuel E,Matthew44,2-0-0,1-1-0,xpredate,xpredate,matthew44
8,TyePlaysTcg2-0-0,1,0,fortenat1-1-0,TyePlaysTcg,fortenat,2-0-0,1-1-0,tyeplaystcg,tyeplaystcg,fortenat
9,Ira P1-1-0,0,1,James Simms2-0-0,Ira P,James Simms,1-1-0,2-0-0,4600737,ira9999,4600737
10,hino2-0-0,1,0,SOLYSOMBRA1-1-0,hino,SOLYSOMBRA,2-0-0,1-1-0,hino,hino,solysombra
11,N8hoffman2-0-0,1,0,uSw00n1-1-0,N8hoffman,uSw00n,2-0-0,1-1-0,n8hoffman,n8hoffman,usw00n
12,kasazizooka2-0-0,1,0,boxtop1-1-0,kasazizooka,boxtop,2-0-0,1-1-0,kasazizooka,kasazizooka,boxtop
13,wurmundmaus1-1-0,0,1,NRG allezliverpool2-0-0,wurmundmaus,NRG allezliverpool,1-1-0,2-0-0,allezliverpool69,wurmundmaus,allezliverpool69
14,metalheadDT2-0-0,1,0,fluppeaufex11-1-0,metalheadDT,fluppeaufex1,2-0-0,1-1-0,metalheaddt,metalheaddt,fluppeaufex1
15,BeamMeUp2-0-0,1,0,Leonardo Eusebio1-1-0,BeamMeUp,Leonardo Eusebio,2-0-0,1-1-0,beammeup,beammeup,leonehardt
16,Gabriel Fernandez {1-1-0,0,1,houseofmana2-0-0,Gabriel Fernandez {,houseofmana,1-1-0,2-0-0,houseofmana,raio120,houseofmana
17,Iyla Sutherland1-1-0,0,1,zio2-0-0,Iyla Sutherland,zio,1-1-0,2-0-0,zio,joshuasutherland21,zio
18,Ryan Ginsburg2-0-0,1,0,VolcanTurtleTCG1-1-0,Ryan Ginsburg,VolcanTurtleTCG,2-0-0,1-1-0,rgtcg,rgtcg,volcanturtletcg
19,MatiEngel1-1-0,0,1,PyroY2K2-0-0,MatiEngel,PyroY2K,1-1-0,2-0-0,pyroy2k,matiengel,pyroy2k
20,phylswyft1-1-0,0,1,APackOfAlpacas2-0-0,phylswyft,APackOfAlpacas,1-1-0,2-0-0,apackofalpacas,phylswyft,apackofalpacas
21,Pedro Pertusi2-0-0,1,0,GBRpokemon1-1-0,Pedro Pertusi,GBRpokemon,2-0-0,1-1-0,perts22,perts22,gbrpokemon
22,Pachi2-0-0,1,0,dmtwiz4211-1-0,Pachi,dmtwiz421,2-0-0,1-1-0,pachi,pachi,dmtwiz421
23,Yurine2-0-0,1,0,Ztporlier1-1-0,Yurine,Ztporlier,2-0-0,1-1-0,yurine,yurine,ztporlier
24,Faquico2-0-0,1,0,Acified1-1-0,Faquico,Acified,2-0-0,1-1-0,faquico,faquico,acified
25,lindsayrosecup1-1-0,0,1,SephirothKHII2-0-0,lindsayrosecup,SephirothKHII,1-1-0,2-0-0,sephirothkhii,lindsayrosecup,sephirothkhii
26,Gabriel Padinha1-1-0,0,1,Protomanx82-0-0,Gabriel Padinha,Protomanx8,1-1-0,2-0-0,protomanx8,calkab,protomanx8
27,Muzak2-0-0,1,0,Vina1-1-0,Muzak,Vina,2-0-0,1-1-0,muzak,muzak,vina
28,pjwitusik2-0-0,1,0,Nocturne1-1-0,pjwitusik,Nocturne,2-0-0,1-1-0,pjwitusik,pjwitusik,nocturne
29,Dylan Gunn1-1-0,0,1,Jonathan Soto2-0-0,Dylan Gunn,Jonathan Soto,1-1-0,2-0-0,vlgsoto,dylang615,vlgsoto
30,Victor De Velasco1-1-0,0,1,AyNunez2-0-0,Victor De Velasco,AyNunez,1-1-0,2-0-0,aynunez,victor91dv,aynunez
31,781-1-0,0,1,. Medi2-0-0,78,. Medi,1-1-0,2-0-0,owohunt,78,owohunt
32,ninjadrake1-1-0,0,1,Chou Boyu2-0-0,ninjadrake,Chou Boyu,1-1-0,2-0-0,werwer0915,ninjadrake,werwer0915
33,giovanny1-1-0,0,0,Josh Frink2-0-0,giovanny,Josh Frink,1-1-0,2-0-0,dreamjew,giovanny,dreamjew
34,Curly711-1-0,0,1,Coolfatkid0002-0-0,Curly71,Coolfatkid000,1-1-0,2-0-0,coolfatkid000,curly71,coolfatkid000
35,Ziudxs1-1-0,0,1,Zach Cohen2-0-0,Ziudxs,Zach Cohen,1-1-0,2-0-0,zachthemudkip,ziudxs,zachthemudkip
36,InformalDruid2-0-0,1,0,Leandro Fernandes1-1-0,InformalDruid,Leandro Fernandes,2-0-0,1-1-0,informaldruid,informaldruid,leandropringos
37,Jane4eves1-1-0,0,1,Ryan McCormack2-0-0,Jane4eves,Ryan McCormack,1-1-0,2-0-0,macattack,jane4eves,macattack
38,RockIceSteel GigasElekiDrago2-0-0,1,0,Weston671-1-0,RockIceSteel GigasElekiDrago,Weston67,2-0-0,1-1-0,bart,bart,weston67
39,Wolfie632-0-0,1,0,turoslav1-1-0,Wolfie63,turoslav,2-0-0,1-1-0,wolfie63,wolfie63,turoslav
40,gabipr441-1-0,0,1,VmaxSkittlez2-0-0,gabipr44,VmaxSkittlez,1-1-0,2-0-0,vmaxskittlez,gabipr44,vmaxskittlez
41,tyghe152-0-0,1,0,Mononoke271-1-0,tyghe15,Mononoke27,2-0-0,1-1-0,tyghe15,tyghe15,mononoke27
42,evltrtl1-1-0,0,1,arturoR2D26331272-0-0,evltrtl,arturoR2D2633127,1-1-0,2-0-0,arturor2d2633127,evltrtl,arturor2d2633127
43,Ryan Simons2-0-0,1,0,Patrick Wall1-1-0,Ryan Simons,Patrick Wall,2-0-0,1-1-0,variedits,variedits,teamabra87
44,ChromePvP2-0-0,1,0,riosfelipe191-1-0,ChromePvP,riosfelipe19,2-0-0,1-1-0,chromepvp,chromepvp,riosfelipe19
45,Kirozosis1-1-0,0,1,PrinceVortex2-0-0,Kirozosis,PrinceVortex,1-1-0,2-0-0,princevortex,kirozosis,princevortex
46,Masasoul1-1-0,0,1,Jaflanman2-0-0,Masasoul,Jaflanman,1-1-0,2-0-0,jaflanman,masasoul,jaflanman
47,KorBoy1-1-0,0,1,OGShih2-0-0,KorBoy,OGShih,1-1-0,2-0-0,ogshih,korboy,ogshih
48,Mcalmic2-0-0,1,0,clonazepanda1-1-0,Mcalmic,clonazepanda,2-0-0,1-1-0,mcalmic,mcalmic,clonazepanda
49,frank zapata1-1-0,0,1,Kimmy S2-0-0,frank zapata,Kimmy S,1-1-0,2-0-0,jasonleonard,frankzapata,jasonleonard
50,sachi2-0-0,1,0,Manoloe6211-1-0,sachi,Manoloe621,2-0-0,1-1-0,sachi,sachi,manoloe621
51,Eze331-1-0,0,1,Akiyama TCG2-0-0,Eze33,Akiyama TCG,1-1-0,2-0-0,akiyama777,eze33,akiyama777
52,EvanCampbell942-0-0,1,0,chadwicks11641-1-0,EvanCampbell94,chadwicks1164,2-0-0,1-1-0,evancampbell94,evancampbell94,chadwicks1164
