Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,oreodude1234510-1-2,0,0,James Simms10-2-1,oreodude12345,James Simms,10-1-2,10-2-1,0,oreodude12345,4600737
2,Lucas Gusso11-2-0,1,0,asapi20349-3-1,Lucas Gusso,asapi2034,11-2-0,9-3-1,lzambrottitcg,lzambrottitcg,asapi2034
3,srslynothing10-2-1,1,0,EvanCampbell949-3-1,srslynothing,EvanCampbell94,10-2-1,9-3-1,srslynothing,srslynothing,evancampbell94
4,Jonathan Frommeyer10-3-0,1,0,metalheadDT9-4-0,Jonathan Frommeyer,metalheadDT,10-3-0,9-4-0,jfro17,jfro17,metalheaddt
5,I4RU8-3-2,0,1,mitchelsilva9-3-1,I4RU,mitchelsilva,8-3-2,9-3-1,mitchelsilva,i4ru,mitchelsilva
6,Josh Frink9-3-1,1,0,ESPINOLA8-4-1,Josh Frink,ESPINOLA,9-3-1,8-4-1,dreamjew,dreamjew,espinola
7,Sephsoul19868-4-1,0,1,newton04289-3-1,Sephsoul1986,newton0428,8-4-1,9-3-1,newton0428,sephsoul1986,newton0428
8,Cesar G9-3-1,1,0,Kashvinder Singh8-5-0,Cesar G,Kashvinder Singh,9-3-1,8-5-0,sternseezer,sternseezer,kashmann27
9,melfo7-4-2,0,1,Jamie Chesnut8-3-2,melfo,Jamie Chesnut,7-4-2,8-3-2,pianist3494,melfo,pianist3494
10,Colin Hawley8-3-2,1,0,Kimmy S7-5-1,Colin Hawley,Kimmy S,8-3-2,7-5-1,pip7up,pip7up,jasonleonard
11,Diego Ruiz Orta7-5-1,0,1,Minekaze8-4-1,Diego Ruiz Orta,Minekaze,7-5-1,8-4-1,minekaze,gold5372,minekaze
12,papapokeca8-4-1,1,0,Nicholas Shockley7-5-1,papapokeca,Nicholas Shockley,8-4-1,7-5-1,papapokeca,papapokeca,ngshockley
13,butadbut8-5-0,,,bye,butadbut,*Bye*,8-5-0,N/A,butadbut,butadbut,*Bye*
