Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Zach Lesage4-0-1,0,0,Juan T4-0-1,Zach Lesage,Juan T,4-0-1,4-0-1,0,zlesage,jtap15
2,Luxas124-1-0,0,1,LilCrakMunchkin4-1-0,Luxas12,LilCrakMunchkin,4-1-0,4-1-0,lilcrakmunchkin,luxas12,lilcrakmunchkin
3,IkeBilbao543-2-0,0,1,SaltyLily4-1-0,IkeBilbao54,SaltyLily,3-2-0,4-1-0,saltylily,ikebilbao54,saltylily
4,Tomás Riquelme3-2-0,0,0,RebornIllu4-1-0,Tomás Riquelme,RebornIllu,3-2-0,4-1-0,rebornillu,seadek,rebornillu
5,Nelson Guillen4-1-0,1,0,Anti3-2-0,Nelson Guillen,Anti,4-1-0,3-2-0,moxyroxie,moxyroxie,anti
6,Jacobi4203-2-0,1,0,Sheiko772-3-0,Jacobi420,Sheiko77,3-2-0,2-3-0,jacobi420,jacobi420,sheiko77
7,Judevoir77773-2-0,1,0,TCGpboh2-3-0,Judevoir7777,TCGpboh,3-2-0,2-3-0,judevoir7777,judevoir7777,tcgpboh
8,senordoom2-3-0,0,1,hmk133-2-0,senordoom,hmk13,2-3-0,3-2-0,hmk13,senordoom,hmk13
9,AndresJgames3-2-0,1,0,Magikarp4201-4-0,AndresJgames,Magikarp420,3-2-0,1-4-0,andresjgames,andresjgames,magikarp420
10,Pizznutz2-3-0,0,0,Blueskies2-3-0,Pizznutz,Blueskies,2-3-0,2-3-0,pizznutz,pizznutz,blueskies
11,ASal2-3-0,,,bye,ASal,*Bye*,2-3-0,N/A,asal,asal,*Bye*
