Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Cal Connor4-0-2,0,0,frankibby4-1-1,Cal Connor,frankibby,4-0-2,4-1-1,0,calcal206,frankibby
2,RyanM4-0-2,0,0,. Medi4-1-1,RyanM,. Medi,4-0-2,4-1-1,0,ryanm,owohunt
3,NickH7774-1-1,0,0,castereedlin4-1-1,NickH777,castereedlin,4-1-1,4-1-1,0,nickh777,castereedlin
4,Gabriel Smart5-1-0,1,0,BraviaryBoi4-2-0,Gabriel Smart,BraviaryBoi,5-1-0,4-2-0,gabrielsmarttcg,gabrielsmarttcg,braviaryboi
5,Jorden Hamilton4-2-0,0,1,HazeyCats5-1-0,Jorden Hamilton,HazeyCats,4-2-0,5-1-0,hazeycats,jordenhamiltontcg,hazeycats
6,25 Diamond Chestplates4-1-1,1,0,Andrew Hedrick3-3-0,25 Diamond Chestplates,Andrew Hedrick,4-1-1,3-3-0,memaanhc,memaanhc,pokehawkeye
7,Savid4003-3-0,0,0,iStark114-2-0,Savid400,iStark11,3-3-0,4-2-0,istark11,savid400,istark11
8,Hayden Matthews4-2-0,1,0,Orion Sutherland3-3-0,Hayden Matthews,Orion Sutherland,4-2-0,3-3-0,hdos39,hdos39,joshuasutherland21
9,Lucas O3-3-0,0,1,Lime4-2-0,Lucas O,Lime,3-3-0,4-2-0,lime,aoldale,lime
10,Natagorn19904-2-0,1,0,LamLam07313-3-0,Natagorn1990,LamLam0731,4-2-0,3-3-0,natagorn1990,natagorn1990,lamlam0731
11,skulkid1383-3-0,0,0,Geniusmodstim1-5-0,skulkid138,Geniusmodstim,3-3-0,1-5-0,skulkid138,skulkid138,geniusmodstim
12,Memorroide691-5-0,0,0,OsamaBeLagin0-6-0,Memorroide69,OsamaBeLagin,1-5-0,0-6-0,-1,memorroide69,osamabelagin
