Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,ariaK264-0-0,1,0,castereedlin3-1-0,ariaK26,castereedlin,4-0-0,3-1-0,ariak26,ariak26,castereedlin
2,Jesse Parker4-0-0,1,0,LuvvAis3-1-0,Jesse Parker,LuvvAis,4-0-0,3-1-0,jdparker11,jdparker11,luvvais
3,16RedGunner3-1-0,0,1,deanmarsh13974-0-0,16RedGunner,deanmarsh1397,3-1-0,4-0-0,deanmarsh1397,16redgunner,deanmarsh1397
4,Jamie Chesnut3-1-0,0,1,Zach Lesage4-0-0,Jamie Chesnut,Zach Lesage,3-1-0,4-0-0,zlesage,pianist3494,zlesage
5,Fitypaldis4-0-0,1,0,melfo3-1-0,Fitypaldis,melfo,4-0-0,3-1-0,fitypaldis,fitypaldis,melfo
6,Jojitsu4-0-0,1,0,S4512503-1-0,Jojitsu,S451250,4-0-0,3-1-0,jojitsu,jojitsu,s451250
7,AndresJgames3-1-0,0,1,likeollywithab4-0-0,AndresJgames,likeollywithab,3-1-0,4-0-0,likeollywithab,andresjgames,likeollywithab
8,Jorden Hamilton2-1-1,0,1,Vance K3-1-0,Jorden Hamilton,Vance K,2-1-1,3-1-0,vancekelley17,jordenhamiltontcg,vancekelley17
9,FernandoFS102-2-0,0,1,Leadlomas3-1-0,FernandoFS10,Leadlomas,2-2-0,3-1-0,leadlomas,fernandofs10,leadlomas
10,zio3-1-0,1,0,Dan Irish2-2-0,zio,Dan Irish,3-1-0,2-2-0,zio,zio,danirish1
11,ienaga3-1-0,1,0,jjchau2-2-0,ienaga,jjchau,3-1-0,2-2-0,ienaga,ienaga,jjchau
12,Douglas Gois2-2-0,0,1,chriis13-1-0,Douglas Gois,chriis1,2-2-0,3-1-0,chriis1,doouglass26,chriis1
13,mkirby3-1-0,1,0,ConnectedTCG2-2-0,mkirby,ConnectedTCG,3-1-0,2-2-0,mkirby,mkirby,connectedtcg
14,peteau892-2-0,0,1,SamHo3603-1-0,peteau89,SamHo360,2-2-0,3-1-0,samho360,peteau89,samho360
15,EvanCampbell943-1-0,1,0,studlygnome2-2-0,EvanCampbell94,studlygnome,3-1-0,2-2-0,evancampbell94,evancampbell94,studlygnome
16,rixsterexe2-2-0,0,1,ToFGonzalo3-1-0,rixsterexe,ToFGonzalo,2-2-0,3-1-0,tofgonzalo,rixsterexe,tofgonzalo
17,Kaotom352-2-0,0,1,Ethan Rible3-1-0,Kaotom35,Ethan Rible,2-2-0,3-1-0,ultrasonicgreen,kaotom35,ultrasonicgreen
18,BastyS283-1-0,1,0,Gustavo La Padula2-2-0,BastyS28,Gustavo La Padula,3-1-0,2-2-0,bastys28,bastys28,lapadulatcg
19,hmkt11103-1-0,1,0,PokemonDanFanTCG2-2-0,hmkt1110,PokemonDanFanTCG,3-1-0,2-2-0,hmkt1110,hmkt1110,pokemondanfantcg
20,ShmeeChristmas2-2-0,0,1,Ryan Simons3-1-0,ShmeeChristmas,Ryan Simons,2-2-0,3-1-0,variedits,shmeechristmas,variedits
21,TillyKSG3-1-0,1,0,guicazzonato2-2-0,TillyKSG,guicazzonato,3-1-0,2-2-0,tillyksg,tillyksg,guicazzonato
22,Michele  Babin3-1-0,1,0,tai2-2-0,Michele  Babin,tai,3-1-0,2-2-0,michelebabin,michelebabin,tai
23,Capcrew3-1-0,1,0,littledarkfury2-2-0,Capcrew,littledarkfury,3-1-0,2-2-0,capcrew,capcrew,littledarkfury
24,Vini Fernandez2-2-0,0,1,Huntiemon3-1-0,Vini Fernandez,Huntiemon,2-2-0,3-1-0,huntiemon,warexpert,huntiemon
25,Fauxnetix2-2-0,0,1,PokeDRUMMER972-1-1,Fauxnetix,PokeDRUMMER97,2-2-0,2-1-1,pokedrummer97,fauxnetix,pokedrummer97
26,Zach Roy2-1-1,1,0,MoshiYBM1-3-0,Zach Roy,MoshiYBM,2-1-1,1-3-0,senordoom,senordoom,moshiybm
27,Sinvaas2-2-0,1,0,Akiyama7771-3-0,Sinvaas,Akiyama777,2-2-0,1-3-0,sinvaas,sinvaas,akiyama777
28,CharlesLaygo2-2-0,1,0,PokeEmmi1-3-0,CharlesLaygo,PokeEmmi,2-2-0,1-3-0,charleslaygo,charleslaygo,pokeemmi
29,NatuShabby1-3-0,0,1,Jaybob9522-2-0,NatuShabby,Jaybob952,1-3-0,2-2-0,jaybob952,natushabby,jaybob952
30,dBlueGlitch2-2-0,0,0,zattack101-3-0,dBlueGlitch,zattack10,2-2-0,1-3-0,dblueglitch,dblueglitch,zattack10
31,Wavgangnato2-2-0,1,0,cheet01-3-0,Wavgangnato,cheet0,2-2-0,1-3-0,wavgangnato,wavgangnato,cheet0
32,TCGpboh1-3-0,0,0,eevee082-2-0,TCGpboh,eevee08,1-3-0,2-2-0,eevee08,tcgpboh,eevee08
33,Xavier E2-2-0,1,0,Michael Hunter1-3-0,Xavier E,Michael Hunter,2-2-0,1-3-0,xabro,xabro,virtuosogerm045
34,Axel Godoy1-3-0,0,0,SKAARL24682-2-0,Axel Godoy,SKAARL2468,1-3-0,2-2-0,skaarl2468,raxelgt,skaarl2468
35,MoshiDaMon5ta1-2-1,1,0,Stannytsunami0-4-0,MoshiDaMon5ta,Stannytsunami,1-2-1,0-4-0,moshidamon5ta,moshidamon5ta,stannytsunami
