Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,afranco232-1-0,0,1,Tomoki H3-0-0,afranco23,Tomoki H,2-1-0,3-0-0,tomokihonda,afranco23,tomokihonda
2,rhhaeder2-1-0,0,1,Rose L3-0-0,rhhaeder,Rose L,2-1-0,3-0-0,prisma,rhhaeder,prisma
3,Não é a Duda2-1-0,0,1,bujijia11053-0-0,Não é a Duda,bujijia1105,2-1-0,3-0-0,bujijia1105,fasttz,bujijia1105
4,CaRif72-1-0,0,1,Mcalmic3-0-0,CaRif7,Mcalmic,2-1-0,3-0-0,mcalmic,carif7,mcalmic
5,Xann1012-1-0,0,1,Vance K3-0-0,Xann101,Vance K,2-1-0,3-0-0,vancekelley17,xann101,vancekelley17
6,LogicFuel2-1-0,0,1,nagatomo3-0-0,LogicFuel,nagatomo,2-1-0,3-0-0,nagatomo,logicfuel,nagatomo
7,Axel Godoy3-0-0,1,0,Nyluta2-1-0,Axel Godoy,Nyluta,3-0-0,2-1-0,raxelgt,raxelgt,nyluta
8,Orion Sutherland2-1-0,0,1,Mikela G3-0-0,Orion Sutherland,Mikela G,2-1-0,3-0-0,realcloudberry,joshuasutherland21,realcloudberry
9,moyumingling2-1-0,0,1,xerneas123523-0-0,moyumingling,xerneas12352,2-1-0,3-0-0,xerneas12352,moyumingling,xerneas12352
10,evltrtl3-0-0,1,0,Bruno Silveira2-1-0,evltrtl,Bruno Silveira,3-0-0,2-1-0,evltrtl,evltrtl,karakuri109
11,RodrigoJN3-0-0,1,0,Salim2-1-0,RodrigoJN,Salim,3-0-0,2-1-0,rodrigojn,rodrigojn,salim
12,DiamondKing3-0-0,1,0,Austin P2-1-0,DiamondKing,Austin P,3-0-0,2-1-0,diamondking,diamondking,austinpierce07
13,Leadlomas2-1-0,0,1,irvintyes3-0-0,Leadlomas,irvintyes,2-1-0,3-0-0,irvintyes,leadlomas,irvintyes
14,zio2-1-0,0,1,FrankMintmire3-0-0,zio,FrankMintmire,2-1-0,3-0-0,frankmintmire,zio,frankmintmire
15,MrToroTCG2-1-0,0,1,Gabriel Padinha3-0-0,MrToroTCG,Gabriel Padinha,2-1-0,3-0-0,calkab,mrtorotcg,calkab
16,donphan2472-1-0,0,1,Iyafin3-0-0,donphan247,Iyafin,2-1-0,3-0-0,iyafin,donphan247,iyafin
17,Leviathan2-1-0,0,1,Boofling3-0-0,Leviathan,Boofling,2-1-0,3-0-0,boofling,leviathan,boofling
18,Capcrew3-0-0,1,0,Savid4002-1-0,Capcrew,Savid400,3-0-0,2-1-0,capcrew,capcrew,savid400
19,SensualFetus3-0-0,1,0,Zac C2-1-0,SensualFetus,Zac C,3-0-0,2-1-0,sensualfetus,sensualfetus,globaltrainer71
20,Chris Stotts3-0-0,1,0,Jefersonsilva2-1-0,Chris Stotts,Jefersonsilva,3-0-0,2-1-0,chrisstotts,chrisstotts,jefersonsilva
21,60Cards3-0-0,1,0,JaCrispy00032-1-0,60Cards,JaCrispy0003,3-0-0,2-1-0,60cards,60cards,jacrispy0003
22,DaesonP2-1-0,0,1,mkirby3-0-0,DaesonP,mkirby,2-1-0,3-0-0,mkirby,daesonp,mkirby
23,Alfah963-0-0,1,0,JoiseJo2-1-0,Alfah96,JoiseJo,3-0-0,2-1-0,alfah96,alfah96,joisejo
24,Ronox2-1-0,0,1,Tiago M3-0-0,Ronox,Tiago M,2-1-0,3-0-0,advochato,ronox,advochato
25,goldenboyx2-1-0,0,1,nosoness3-0-0,goldenboyx,nosoness,2-1-0,3-0-0,nosoness,goldenboyx,nosoness
26,Megatamonflame3-0-0,1,0,Axryle2-1-0,Megatamonflame,Axryle,3-0-0,2-1-0,megatamonflame,megatamonflame,axryle
27,sleepydreepy3-0-0,1,0,Fierboy2-1-0,sleepydreepy,Fierboy,3-0-0,2-1-0,sleepydreepy,sleepydreepy,fierboy
28,John Orgel2-1-0,0,1,Jake Gearhart3-0-0,John Orgel,Jake Gearhart,2-1-0,3-0-0,jakegearhart,champbuster,jakegearhart
29,Shun Ito3-0-0,1,0,Aman2272-1-0,Shun Ito,Aman227,3-0-0,2-1-0,dedenneshun,dedenneshun,aman227
30,Juan Candisano3-0-0,1,0,iamjaraxxus2-1-0,Juan Candisano,iamjaraxxus,3-0-0,2-1-0,juankcandi,juankcandi,iamjaraxxus
31,Zach Roy2-1-0,0,1,chuang12063-0-0,Zach Roy,chuang1206,2-1-0,3-0-0,chuang1206,senordoom,chuang1206
32,PokeZero3-0-0,1,0,QuidKnight2-1-0,PokeZero,QuidKnight,3-0-0,2-1-0,pokezero,pokezero,quidknight
33,Sphealasaur3-0-0,1,0,Kaineco1-1-1,Sphealasaur,Kaineco,3-0-0,1-1-1,sphealasaur,sphealasaur,kaineco
34,Erich Francis2-0-1,1,0,Spencer P1-1-1,Erich Francis,Spencer P,2-0-1,1-1-1,ef72489,ef72489,flufffluffjr
35,HoodiePTCG2-0-1,1,0,CrispyQuali1-1-1,HoodiePTCG,CrispyQuali,2-0-1,1-1-1,hoodieptcg,hoodieptcg,crispyquali
36,Memorroide692-1-0,1,0,Christopher Black1-2-0,Memorroide69,Christopher Black,2-1-0,1-2-0,memorroide69,memorroide69,iwphoto5416
