Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Cal Connor5-0-1,0,0,fataapple5-0-1,Cal Connor,fataapple,5-0-1,5-0-1,0,calcal206,fataapple
2,Inf3rno904-2-0,0,1,mlj16065-1-0,Inf3rno90,mlj1606,4-2-0,5-1-0,mlj1606,inf3rno90,mlj1606
3,Vaughn4-2-0,0,1,TheRicardoToddy5-1-0,Vaughn,TheRicardoToddy,4-2-0,5-1-0,thericardotoddy,vaughn,thericardotoddy
4,papapokeca4-2-0,0,1,zattack105-1-0,papapokeca,zattack10,4-2-0,5-1-0,zattack10,papapokeca,zattack10
5,Norm5-1-0,1,0,maguimaster4-2-0,Norm,maguimaster,5-1-0,4-2-0,norm,norm,maguimaster
6,Hooligan8354-2-0,0,1,Goomy355-1-0,Hooligan835,Goomy35,4-2-0,5-1-0,goomy35,hooligan835,goomy35
7,superkev984-2-0,0,1,Munseungwoo5-1-0,superkev98,Munseungwoo,4-2-0,5-1-0,munseungwoo,superkev98,munseungwoo
8,dlee883-3-0,0,1,koga4-2-0,dlee88,koga,3-3-0,4-2-0,koga,dlee88,koga
9,Pikachu3692483-3-0,0,1,LuisDiiiEnLaFama4-2-0,Pikachu369248,LuisDiiiEnLaFama,3-3-0,4-2-0,luisdiiienlafama,pikachu369248,luisdiiienlafama
10,Bassitos26123-3-0,0,0,Cedaraptor3-3-0,Bassitos2612,Cedaraptor,3-3-0,3-3-0,-1,bassitos2612,cedaraptor
11,saurusTCG3-3-0,0,1,SpecsGG4-2-0,saurusTCG,SpecsGG,3-3-0,4-2-0,specsgg,saurustcg,specsgg
12,17tribe4-2-0,1,0,Brett Frasier3-3-0,17tribe,Brett Frasier,4-2-0,3-3-0,17tribe,17tribe,brettchesnaught
13,Duhskull4-2-0,1,0,NGKyVong3-3-0,Duhskull,NGKyVong,4-2-0,3-3-0,duhskull,duhskull,ngkyvong
14,mewtwo09184-2-0,1,0,MALAAMAR3-3-0,mewtwo0918,MALAAMAR,4-2-0,3-3-0,mewtwo0918,mewtwo0918,malaamar
15,LordSterculius3-3-0,0,1,aninhacns4-2-0,LordSterculius,aninhacns,3-3-0,4-2-0,aninhacns,lordsterculius,aninhacns
16,Agostin4-2-0,0,0,BlondonBoy2-4-0,Agostin,BlondonBoy,4-2-0,2-4-0,agostin,agostin,blondonboy
17,Thomas Harvey3-3-0,0,0,Brayan Ramos1-5-0,Thomas Harvey,Brayan Ramos,3-3-0,1-5-0,csffarm,csffarm,bryanxcop
18,ItzElBandido1-5-0,0,0,Mwaubin1-5-0,ItzElBandido,Mwaubin,1-5-0,1-5-0,-1,itzelbandido,mwaubin
