Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,TylerZzz4-1-0,0,1,Justin Cutajar5-0-0,TylerZzz,Justin Cutajar,4-1-0,5-0-0,ustuman,tylerzzz,ustuman
2,Crash3-1-1,0,0,Bryson Hunt3-1-1,Crash,Bryson Hunt,3-1-1,3-1-1,0,crash,bryson
3,ggeedorah4-1-0,1,0,noahdperry5463-2-0,ggeedorah,noahdperry546,4-1-0,3-2-0,ggeedorah,ggeedorah,noahdperry546
4,SifeTCG3-1-1,0,0,plooopy3-1-1,SifeTCG,plooopy,3-1-1,3-1-1,0,sifetcg,plooopy
5,facufacio4-1-0,0,0,KyleKorver2-3-0,facufacio,KyleKorver,4-1-0,2-3-0,facufacio,facufacio,kylekorver
6,BHB・Luna Y3-2-0,1,0,Benjamin Grove2-3-0,BHB・Luna Y,Benjamin Grove,3-2-0,2-3-0,pikachu369248,pikachu369248,benjamingrove47
7,jrainwater2-3-0,0,1,Sahil P3-2-0,jrainwater,Sahil P,2-3-0,3-2-0,vncmdu5d9q755ta7gteyq2aci,jrainwater,vncmdu5d9q755ta7gteyq2aci
8,mattyando363-2-0,0,0,timothyvince1-4-0,mattyando36,timothyvince,3-2-0,1-4-0,mattyando36,mattyando36,timothyvince
9,PopplioKing2-3-0,0,0,Machine4730-5-0,PopplioKing,Machine473,2-3-0,0-5-0,popplioking,popplioking,machine473
10,DarksideEx1-4-0,,,bye,DarksideEx,*Bye*,1-4-0,N/A,darksideex,darksideex,*Bye*
