Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Zach Lesage1-0-0,1,0,Jpizzy410-1-0,Zach Lesage,Jpizzy41,1-0-0,0-1-0,zlesage,zlesage,jpizzy41
2,Onthedrawgames0-1-0,0,1,WyteKnyte1-0-0,Onthedrawgames,WyteKnyte,0-1-0,1-0-0,wyteknyte,onthedrawgames,wyteknyte
3,TTVCirca0-1-0,0,1,Gabe Shumway1-0-0,TTVCirca,Gabe Shumway,0-1-0,1-0-0,gabeshumway,ttvcirca,gabeshumway
4,Chernabog700-1-0,0,1,lindsayrosecup1-0-0,Chernabog70,lindsayrosecup,0-1-0,1-0-0,lindsayrosecup,chernabog70,lindsayrosecup
5,LunaAngelinaR0-1-0,0,1,iStark111-0-0,LunaAngelinaR,iStark11,0-1-0,1-0-0,istark11,lunaangelinar,istark11
6,Capcrew1-0-0,1,0,Michele  Babin0-1-0,Capcrew,Michele  Babin,1-0-0,0-1-0,capcrew,capcrew,michelebabin
7,TheShaddyWaffle0-1-0,0,1,Ahll12071-0-0,TheShaddyWaffle,Ahll1207,0-1-0,1-0-0,ahll1207,theshaddywaffle,ahll1207
8,SestoSento1-0-0,1,0,Byron G0-1-0,SestoSento,Byron G,1-0-0,0-1-0,sestosento,sestosento,uyio
9,Noah P1-0-0,1,0,studlygnome0-1-0,Noah P,studlygnome,1-0-0,0-1-0,slayworldsoldier,slayworldsoldier,studlygnome
10,Vance K0-1-0,0,1,AndresJgames1-0-0,Vance K,AndresJgames,0-1-0,1-0-0,andresjgames,vancekelley17,andresjgames
11,N214GAM .0-1-0,0,1,wadedaze1-0-0,N214GAM .,wadedaze,0-1-0,1-0-0,wadedaze,trican,wadedaze
12,Cal Connor0-1-0,0,1,Anti1-0-0,Cal Connor,Anti,0-1-0,1-0-0,anti,calcal206,anti
13,EvanCampbell941-0-0,1,0,Roughly520-1-0,EvanCampbell94,Roughly52,1-0-0,0-1-0,evancampbell94,evancampbell94,roughly52
14,Phanpy781-0-0,1,0,Proto15510-1-0,Phanpy78,Proto1551,1-0-0,0-1-0,phanpy78,phanpy78,proto1551
15,zattack100-1-0,0,1,PokeEmmi1-0-0,zattack10,PokeEmmi,0-1-0,1-0-0,pokeemmi,zattack10,pokeemmi
16,Zach Cohen1-0-0,1,0,AndyGantner0-1-0,Zach Cohen,AndyGantner,1-0-0,0-1-0,zachthemudkip,zachthemudkip,andygantner
17,Ryan Keller1-0-0,1,0,Savid4000-1-0,Ryan Keller,Savid400,1-0-0,0-1-0,rkelle19,rkelle19,savid400
18,Phatomsoax1-0-0,1,0,rayhan haidar0-1-0,Phatomsoax,rayhan haidar,1-0-0,0-1-0,phatomsoax,phatomsoax,shmkzhan
19,mkirby1-0-0,1,0,nirvana05210-1-0,mkirby,nirvana0521,1-0-0,0-1-0,mkirby,mkirby,nirvana0521
20,Alex Cole1-0-0,,,bye,Alex Cole,*Bye*,1-0-0,N/A,pandaboss58,pandaboss58,*Bye*
