Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Leadlomas6-0-1,0,0,ksombrinha6-0-1,Leadlomas,ksombrinha,6-0-1,6-0-1,0,leadlomas,ksombrinha
2,maguimaster6-1-0,0,1,Xavier E6-1-0,maguimaster,Xavier E,6-1-0,6-1-0,xabro,maguimaster,xabro
3,Huntiemon6-1-0,1,0,Anti5-2-0,Huntiemon,Anti,6-1-0,5-2-0,huntiemon,huntiemon,anti
4,geekgamesSBO5-2-0,0,1,FrankMintmire6-1-0,geekgamesSBO,FrankMintmire,5-2-0,6-1-0,frankmintmire,geekgamessbo,frankmintmire
5,tai5-2-0,0,1,Ursiidae6-1-0,tai,Ursiidae,5-2-0,6-1-0,ursiidae,tai,ursiidae
6,calvinrdavis6-1-0,1,0,jakenewton5-2-0,calvinrdavis,jakenewton,6-1-0,5-2-0,calvinrdavis,calvinrdavis,jakenewton
7,Iori1275-2-0,0,1,NekoLover796-1-0,Iori127,NekoLover79,5-2-0,6-1-0,nekolover79,iori127,nekolover79
8,Swedepino4-2-1,0,1,matheusvarela5-1-1,Swedepino,matheusvarela,4-2-1,5-1-1,matheusvarela,swedepino,matheusvarela
9,santosan239924-2-1,0,1,CounterCollector5-1-1,santosan23992,CounterCollector,4-2-1,5-1-1,countercollector,santosan23992,countercollector
10,rankefan5-2-0,1,0,Jackson Reed4-3-0,rankefan,Jackson Reed,5-2-0,4-3-0,rankefan,rankefan,jsreed03
11,Thalmonn Sales4-3-0,0,1,CSSaints175-2-0,Thalmonn Sales,CSSaints17,4-3-0,5-2-0,cssaints17,thalmonn,cssaints17
12,. Medi5-2-0,0,0,PipoRealG4Life4-3-0,. Medi,PipoRealG4Life,5-2-0,4-3-0,owohunt,owohunt,piporealg4life
13,EvanP4-3-0,0,1,77 03245-2-0,EvanP,77 0324,4-3-0,5-2-0,gudihao2020,evanp,gudihao2020
14,PCGMcaceres4-3-0,0,0,Alex C5-2-0,PCGMcaceres,Alex C,4-3-0,5-2-0,pandaboss58,pcgmcaceres,pandaboss58
15,peteau894-3-0,0,1,ienaga5-2-0,peteau89,ienaga,4-3-0,5-2-0,ienaga,peteau89,ienaga
16,Nate Kirksey4-3-0,0,1,James Simms5-2-0,Nate Kirksey,James Simms,4-3-0,5-2-0,4600737,pokenate,4600737
17,DongAn ^^4-3-0,0,1,bujijia11055-2-0,DongAn ^^,bujijia1105,4-3-0,5-2-0,bujijia1105,qkrwnpdn,bujijia1105
18,UltraNko4-3-0,0,1,yoppe065-2-0,UltraNko,yoppe06,4-3-0,5-2-0,yoppe06,ultranko,yoppe06
19,AndyGantner4-3-0,0,1,AlexAchon5-2-0,AndyGantner,AlexAchon,4-3-0,5-2-0,alexachon,andygantner,alexachon
20,ProfAusteN5-2-0,1,0,Doubllez4-3-0,ProfAusteN,Doubllez,5-2-0,4-3-0,profausten,profausten,doubllez
21,veguita4-3-0,0,1,Lucas O5-2-0,veguita,Lucas O,4-3-0,5-2-0,aoldale,veguita,aoldale
22,bgv19895-2-0,1,0,Tennison Barry4-3-0,bgv1989,Tennison Barry,5-2-0,4-3-0,bgv1989,bgv1989,ailen913
23,yoanis5-2-0,1,0,Koichi Kimura4-3-0,yoanis,Koichi Kimura,5-2-0,4-3-0,yoanis,yoanis,symphogear119
24,eevee083-4-0,0,0,KashEtchum4-3-0,eevee08,KashEtchum,3-4-0,4-3-0,kashetchum,eevee08,kashetchum
25,Daniquimo104-3-0,0,0,PauloReis3-4-0,Daniquimo10,PauloReis,4-3-0,3-4-0,daniquimo10,daniquimo10,pauloreis
26,Vaetna4-3-0,1,0,KingTurk3-4-0,Vaetna,KingTurk,4-3-0,3-4-0,vaetna,vaetna,kingturk
27,DoomLoud4-3-0,1,0,soaringcupcake3-4-0,DoomLoud,soaringcupcake,4-3-0,3-4-0,doomloud,doomloud,soaringcupcake
28,dougisraw3-4-0,0,0,BlueClueT3-4-0,dougisraw,BlueClueT,3-4-0,3-4-0,-1,dougisraw,bluecluet
29,FernandoFS104-3-0,0,0,EvanCampbell943-4-0,FernandoFS10,EvanCampbell94,4-3-0,3-4-0,fernandofs10,fernandofs10,evancampbell94
30,Corey Blankenship3-4-0,0,1,logan4night4-3-0,Corey Blankenship,logan4night,3-4-0,4-3-0,logan4night,coreyology,logan4night
31,mrmeownandez3-4-0,1,0,ProfCassidy2-5-0,mrmeownandez,ProfCassidy,3-4-0,2-5-0,mrmeownandez,mrmeownandez,profcassidy
32,HazeyCats3-4-0,,,bye,HazeyCats,*Bye*,3-4-0,N/A,hazeycats,hazeycats,*Bye*
