Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Vina1-0-0,1,0,Vaughn0-1-0,Vina,Vaughn,1-0-0,0-1-0,vina,vina,vaughn
2,16RedGunner0-1-0,0,1,Lime1-0-0,16RedGunner,Lime,0-1-0,1-0-0,lime,16redgunner,lime
3,Orion Sutherland0-1-0,0,1,Spring1-0-0,Orion Sutherland,Spring,0-1-0,1-0-0,spring,joshuasutherland21,spring
4,Cal Connor0-1-0,0,1,Zach Lesage1-0-0,Cal Connor,Zach Lesage,0-1-0,1-0-0,zlesage,calcal206,zlesage
5,zattack101-0-0,1,0,mkirby0-1-0,zattack10,mkirby,1-0-0,0-1-0,zattack10,zattack10,mkirby
6,Anti1-0-0,0,0,TreyJ9k0-1-0,Anti,TreyJ9k,1-0-0,0-1-0,anti,anti,treyj9k
7,EvanCampbell940-1-0,0,1,[RG] Matthew Pitchford1-0-0,EvanCampbell94,[RG] Matthew Pitchford,0-1-0,1-0-0,mattydyl8,evancampbell94,mattydyl8
8,sawyermelban1-0-0,1,0,draxmx0-1-0,sawyermelban,draxmx,1-0-0,0-1-0,sawyermelban,sawyermelban,draxmx
9,Liam Kidd1-0-0,1,0,PokeDRUMMER970-1-0,Liam Kidd,PokeDRUMMER97,1-0-0,0-1-0,liamkidd,liamkidd,pokedrummer97
10,LKbando0-1-0,0,1,Mcalmic1-0-0,LKbando,Mcalmic,0-1-0,1-0-0,mcalmic,lkbando,mcalmic
11,Koshira0-1-0,0,1,john wanggaard1-0-0,Koshira,john wanggaard,0-1-0,1-0-0,ttoabyssal,koshira,ttoabyssal
12,SKAARL24681-0-0,1,0,iStark110-1-0,SKAARL2468,iStark11,1-0-0,0-1-0,skaarl2468,skaarl2468,istark11
13,Savid4001-0-0,1,0,Iori1270-1-0,Savid400,Iori127,1-0-0,0-1-0,savid400,savid400,iori127
14,PinkQuaker1-0-0,,,bye,PinkQuaker,*Bye*,1-0-0,N/A,pinkquaker,pinkquaker,*Bye*
