Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,kikerda4-0-1,0,0,Voltagetcg4-0-1,kikerda,Voltagetcg,4-0-1,4-0-1,0,kikerda,voltagetcg
2,Benny B4-0-1,0,0,Andrew Hedrick4-0-1,Benny B,Andrew Hedrick,4-0-1,4-0-1,0,bbillinger,pokehawkeye
3,NickyFranchise3-2-0,0,1,camcho18924-1-0,NickyFranchise,camcho1892,3-2-0,4-1-0,camcho1892,nickyfranchise,camcho1892
4,JW Kriewall3-2-0,0,1,EvanCampbell944-1-0,JW Kriewall,EvanCampbell94,3-2-0,4-1-0,evancampbell94,jwkriewall,evancampbell94
5,PrinceVortex4-1-0,1,0,Nate Kirksey3-2-0,PrinceVortex,Nate Kirksey,4-1-0,3-2-0,princevortex,princevortex,pokenate
6,Magundy4-1-0,1,0,Taylor Lowe3-2-0,Magundy,Taylor Lowe,4-1-0,3-2-0,magundy,magundy,lowet03
7,Iyla Sutherland3-2-0,0,1,Lucas O4-1-0,Iyla Sutherland,Lucas O,3-2-0,4-1-0,aoldale,joshuasutherland21,aoldale
8,Jamie Chesnut4-1-0,1,0,newton04283-2-0,Jamie Chesnut,newton0428,4-1-0,3-2-0,pianist3494,pianist3494,newton0428
9,bas3-2-0,0,1,facufacio4-1-0,bas,facufacio,3-2-0,4-1-0,facufacio,bas,facufacio
10,LamLam07314-1-0,1,0,leonardolinny2-3-0,LamLam0731,leonardolinny,4-1-0,2-3-0,lamlam0731,lamlam0731,leonardolinny
11,Joaquin  Gonzalez3-2-0,0,0,fastandcool2-3-0,Joaquin  Gonzalez,fastandcool,3-2-0,2-3-0,sweetxyz,sweetxyz,fastandcool
12,Benjamin Grove2-3-0,0,1,jakenewton3-2-0,Benjamin Grove,jakenewton,2-3-0,3-2-0,jakenewton,benjamingrove47,jakenewton
13,Victor De Velasco3-2-0,1,0,mkirby2-3-0,Victor De Velasco,mkirby,3-2-0,2-3-0,victor91dv,victor91dv,mkirby
14,allzgoode2-3-0,0,1,Joe Higashi3-2-0,allzgoode,Joe Higashi,2-3-0,3-2-0,rotaryrocket,allzgoode,rotaryrocket
15,Max Johnson3-2-0,1,0,arturoR2D26331272-3-0,Max Johnson,arturoR2D2633127,3-2-0,2-3-0,upstreampwnage,upstreampwnage,arturor2d2633127
16,Jade1813242-2-1,1,0,SOLYSOMBRA1-4-0,Jade181324,SOLYSOMBRA,2-2-1,1-4-0,jade181324,jade181324,solysombra
17,mwarren25001-3-1,0,1,CrabyHLong2-3-0,mwarren2500,CrabyHLong,1-3-1,2-3-0,crabyhlong,mwarren2500,crabyhlong
18,DJKNITEX2-3-0,0,0,HownTown1-4-0,DJKNITEX,HownTown,2-3-0,1-4-0,djknitex,djknitex,howntown
