Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,YoongKaiJian6-0-0,1,0,Nick DeVries5-1-0,YoongKaiJian,Nick DeVries,6-0-0,5-1-0,yoongkaijian,yoongkaijian,tiki
2,tmez5-1-0,0,1,Vitor Lugon6-0-0,tmez,Vitor Lugon,5-1-0,6-0-0,vitorlugon,tmez,vitorlugon
3,Neji306-0-0,1,0,bujijia11055-1-0,Neji30,bujijia1105,6-0-0,5-1-0,neji30,neji30,bujijia1105
4,Joshua Bell4-2-0,0,1,Lochie5-1-0,Joshua Bell,Lochie,4-2-0,5-1-0,lochie,joshuaxbell23,lochie
5,APackOfAlpacas5-1-0,1,0,Luke Morsa4-2-0,APackOfAlpacas,Luke Morsa,5-1-0,4-2-0,apackofalpacas,apackofalpacas,celiosnetwork
6,Adam Johnston4-2-0,0,1,taketo02185-1-0,Adam Johnston,taketo0218,4-2-0,5-1-0,taketo0218,adgejo,taketo0218
7,igorcardenas5-1-0,1,0,Maivalentine104-2-0,igorcardenas,Maivalentine10,5-1-0,4-2-0,igorcardenas,igorcardenas,maivalentine10
8,LitTwo5-1-0,1,0,Ira P4-2-0,LitTwo,Ira P,5-1-0,4-2-0,littwo,littwo,ira9999
9,Mcalmic5-1-0,1,0,Alex Hamilton4-2-0,Mcalmic,Alex Hamilton,5-1-0,4-2-0,mcalmic,mcalmic,omegascizor456
10,Vina4-2-0,0,1,Ryota Saito5-1-0,Vina,Ryota Saito,4-2-0,5-1-0,mawssa2000,vina,mawssa2000
11,Asher82828795-1-0,1,0,RiseInRevolt4-2-0,Asher8282879,RiseInRevolt,5-1-0,4-2-0,asher8282879,asher8282879,riseinrevolt
12,GGzaga4-2-0,0,1,giovanny5-1-0,GGzaga,giovanny,4-2-0,5-1-0,giovanny,ggzaga,giovanny
13,Jamie Chesnut4-2-0,0,1,NicoMF ( Gabriel Fernandez )5-1-0,Jamie Chesnut,NicoMF ( Gabriel Fernandez ),4-2-0,5-1-0,nicomf,pianist3494,nicomf
14,Lpc19945-1-0,1,0,Null4-2-0,Lpc1994,Null,5-1-0,4-2-0,lpc1994,lpc1994,null
15,Matthew  Chou5-1-0,1,0,carrot6294-2-0,Matthew  Chou,carrot629,5-1-0,4-2-0,luigi30495,luigi30495,carrot629
16,Noyle5-1-0,1,0,Vini Fernandez4-2-0,Noyle,Vini Fernandez,5-1-0,4-2-0,noyle,noyle,warexpert
17,Anti4-1-1,1,0,HeatWin3-2-1,Anti,HeatWin,4-1-1,3-2-1,anti,anti,heatwin
18,Liam M4-1-1,1,0,JayArrCee3-3-0,Liam M,JayArrCee,4-1-1,3-3-0,magicdedenneyt,magicdedenneyt,jayarrcee
19,Possessed4-2-0,1,0,RoguePanda3-3-0,Possessed,RoguePanda,4-2-0,3-3-0,possessed,possessed,roguepanda
20,Omar T4-2-0,1,0,Zodo3-3-0,Omar T,Zodo,4-2-0,3-3-0,ccot,ccot,zodo
21,Christopher Black4-2-0,1,0,paarthvader3-3-0,Christopher Black,paarthvader,4-2-0,3-3-0,iwphoto5416,iwphoto5416,paarthvader
22,Chesslife4-2-0,1,0,JorgeR3-3-0,Chesslife,JorgeR,4-2-0,3-3-0,chesslife,chesslife,jorger
23,Sgarrue3-3-0,0,1,joni7944-2-0,Sgarrue,joni794,3-3-0,4-2-0,joni794,sgarrue,joni794
24,Seth Christopher3-2-1,0,0,0hno0o3-2-1,Seth Christopher,0hno0o,3-2-1,3-2-1,0,idabandit,0hno0o
25,Zisco033-3-0,0,0,Joe Higashi4-2-0,Zisco03,Joe Higashi,3-3-0,4-2-0,rotaryrocket,zisco03,rotaryrocket
26,Thomas Harvey3-3-0,0,1,CTCatsGK4-2-0,Thomas Harvey,CTCatsGK,3-3-0,4-2-0,ctcatsgk,csffarm,ctcatsgk
27,syu4-2-0,1,0,Math Liu3-3-0,syu,Math Liu,4-2-0,3-3-0,syu,syu,tdonmt1989
28,mccoy7164-2-0,1,0,TheShinyBuizel3-3-0,mccoy716,TheShinyBuizel,4-2-0,3-3-0,mccoy716,mccoy716,theshinybuizel
29,Solomon Shurge3-3-0,0,1,Blastobro4-2-0,Solomon Shurge,Blastobro,3-3-0,4-2-0,blastobro,freedomfightre,blastobro
30,LogicFuel3-3-0,0,1,PokemonDanFanTCG4-2-0,LogicFuel,PokemonDanFanTCG,3-3-0,4-2-0,pokemondanfantcg,logicfuel,pokemondanfantcg
31,sleepydreepy4-2-0,1,0,Stannytsunami3-3-0,sleepydreepy,Stannytsunami,4-2-0,3-3-0,sleepydreepy,sleepydreepy,stannytsunami
32,MrBacon3-3-0,0,1,UltraNko4-2-0,MrBacon,UltraNko,3-3-0,4-2-0,ultranko,mrbacon,ultranko
33,Yercaz93-3-0,0,1,yakumaru723-1-2,Yercaz9,yakumaru72,3-3-0,3-1-2,yakumaru72,yercaz9,yakumaru72
34,JoeMaressa3-1-2,0,0,Aidan Khus2-4-0,JoeMaressa,Aidan Khus,3-1-2,2-4-0,joemaressa,joemaressa,khusaidan7
35,Gazzton2-3-1,0,1,Tr4shJ4ck3-3-0,Gazzton,Tr4shJ4ck,2-3-1,3-3-0,tr4shj4ck,gazzton,tr4shj4ck
36,Gorapaduck72-4-0,0,0,xxdiscipline3-3-0,Gorapaduck7,xxdiscipline,2-4-0,3-3-0,xxdiscipline,gorapaduck7,xxdiscipline
37,CSSaints173-3-0,0,0,Jacobsvard2-4-0,CSSaints17,Jacobsvard,3-3-0,2-4-0,cssaints17,cssaints17,jacobsvard
38,iforgotmyoldlogi2-4-0,0,1,zio3-3-0,iforgotmyoldlogi,zio,2-4-0,3-3-0,zio,iforgotmyoldlogi,zio
39,GIJason2-4-0,0,1,Kenny Mauder3-3-0,GIJason,Kenny Mauder,2-4-0,3-3-0,kmauder83,gijason,kmauder83
40,Dusce3-3-0,0,0,NewGhost2-4-0,Dusce,NewGhost,3-3-0,2-4-0,dusce,dusce,newghost
41,Josh Stapler3-3-0,1,0,Prince Williams2-4-0,Josh Stapler,Prince Williams,3-3-0,2-4-0,aestheticallyjosh,aestheticallyjosh,princeybear17
