Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Chunkles4-0-0,1,0,Roberto Antonio Plaza Orellana3-1-0,Chunkles,Roberto Antonio Plaza Orellana,4-0-0,3-1-0,chunkles,chunkles,ch1nogamer
2,peteau894-0-0,1,0,LiamKidd3-1-0,peteau89,LiamKidd,4-0-0,3-1-0,peteau89,peteau89,liamkidd
3,Juancho S3-1-0,0,1,Matthew Wright4-0-0,Juancho S,Matthew Wright,3-1-0,4-0-0,redpyro1266,auriz27,redpyro1266
4,Zach Lesage4-0-0,1,0,aleexdouglas3-1-0,Zach Lesage,aleexdouglas,4-0-0,3-1-0,zlesage,zlesage,aleexdouglas
5,CounterCollector4-0-0,1,0,plooopy3-1-0,CounterCollector,plooopy,4-0-0,3-1-0,countercollector,countercollector,plooopy
6,JacksonDavillan4-0-0,1,0,lmedinelli3-1-0,JacksonDavillan,lmedinelli,4-0-0,3-1-0,jacksondavillan,jacksondavillan,lmedinelli
7,Jesse Parker3-1-0,0,1,TheShaddyWaffle3-0-1,Jesse Parker,TheShaddyWaffle,3-1-0,3-0-1,theshaddywaffle,jdparker11,theshaddywaffle
8,UltraNko3-1-0,1,0,yoppe062-2-0,UltraNko,yoppe06,3-1-0,2-2-0,ultranko,ultranko,yoppe06
9,Scottjacob14132-2-0,0,1,Smart TCG3-1-0,Scottjacob1413,Smart TCG,2-2-0,3-1-0,gabrielsmarttcg,scottjacob1413,gabrielsmarttcg
10,EvanCampbell942-2-0,0,1,RyanM3-1-0,EvanCampbell94,RyanM,2-2-0,3-1-0,ryanm,evancampbell94,ryanm
11,Fizzyzoe2-2-0,0,1,bujijia11053-1-0,Fizzyzoe,bujijia1105,2-2-0,3-1-0,bujijia1105,fizzyzoe,bujijia1105
12,chriis12-2-0,0,1,Anti3-1-0,chriis1,Anti,2-2-0,3-1-0,anti,chriis1,anti
13,CTorres843-1-0,1,0,Savid4002-2-0,CTorres84,Savid400,3-1-0,2-2-0,ctorres84,ctorres84,savid400
14,Caio Schneider2-2-0,0,1,James Simms3-1-0,Caio Schneider,James Simms,2-2-0,3-1-0,4600737,kenobiecb,4600737
15,Tomo177supra2-2-0,0,1,TimDanklin3-1-0,Tomo177supra,TimDanklin,2-2-0,3-1-0,timdanklin,tomo177supra,timdanklin
16,Vina3-1-0,1,0,TheShinyBuizel2-2-0,Vina,TheShinyBuizel,3-1-0,2-2-0,vina,vina,theshinybuizel
17,Tygermom2-2-0,0,1,JHesai3-1-0,Tygermom,JHesai,2-2-0,3-1-0,jhesai,tygermom,jhesai
18,soaringcupcake2-2-0,0,1,Cal Connor3-1-0,soaringcupcake,Cal Connor,2-2-0,3-1-0,calcal206,soaringcupcake,calcal206
