Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,EliMaclean2-0-0,1,0,alfr3do921-1-0,EliMaclean,alfr3do92,2-0-0,1-1-0,elimaclean,elimaclean,alfr3do92
2,Luis Matos1-1-0,0,1,NotAetrna2-0-0,Luis Matos,NotAetrna,1-1-0,2-0-0,notaetrna,machine473,notaetrna
3,Namelessone1-1-0,0,1,CenzoTheEnzo2-0-0,Namelessone,CenzoTheEnzo,1-1-0,2-0-0,cenzotheenzo,namelessone,cenzotheenzo
4,Wrexodia2-0-0,1,0,MatiEngel1-1-0,Wrexodia,MatiEngel,2-0-0,1-1-0,wrexodia,wrexodia,matiengel
5,Hector V1-1-0,0,1,Liam Aesir2-0-0,Hector V,Liam Aesir,1-1-0,2-0-0,pheonix,hxvalle,pheonix
6,EricSmash1-1-0,0,1,Victor García2-0-0,EricSmash,Victor García,1-1-0,2-0-0,vicgar08,ericsmash,vicgar08
7,Mikeismyike2-0-0,1,0,lindsayrosecup1-1-0,Mikeismyike,lindsayrosecup,2-0-0,1-1-0,mikeismyike,mikeismyike,lindsayrosecup
8,Koustelix2-0-0,1,0,Fabian Robledo1-1-0,Koustelix,Fabian Robledo,2-0-0,1-1-0,koustelix,koustelix,fabian2206
9,DudusRegularis1-1-0,0,1,Micah H2-0-0,DudusRegularis,Micah H,1-1-0,2-0-0,desultorily,dudusregularis,desultorily
10,Juan Candisano2-0-0,1,0,MintMermaid1-1-0,Juan Candisano,MintMermaid,2-0-0,1-1-0,juankcandi,juankcandi,mintmermaid
11,pedromon2-0-0,1,0,Henrique Gonçalves1-1-0,pedromon,Henrique Gonçalves,2-0-0,1-1-0,pedromon,pedromon,gatanashg
12,PipoRealG4Life2-0-0,1,0,Timothy E1-1-0,PipoRealG4Life,Timothy E,2-0-0,1-1-0,piporealg4life,piporealg4life,euretim88
13,Fizzyzoe1-1-0,0,1,Javitogol2-0-0,Fizzyzoe,Javitogol,1-1-0,2-0-0,javitogol,fizzyzoe,javitogol
14,AndresJgames1-1-0,0,1,RamboFW2-0-0,AndresJgames,RamboFW,1-1-0,2-0-0,rambofw,andresjgames,rambofw
15,JackDaniel7891-1-0,0,1,Tate Whitesell2-0-0,JackDaniel789,Tate Whitesell,1-1-0,2-0-0,leukocyte,jackdaniel789,leukocyte
16,Alex4champion1-1-0,0,1,DragoniteHoarder2-0-0,Alex4champion,DragoniteHoarder,1-1-0,2-0-0,dragonitehoarder,alex4champion,dragonitehoarder
17,TrainerDjair1-1-0,0,1,allantcg2-0-0,TrainerDjair,allantcg,1-1-0,2-0-0,allantcg,trainerdjair,allantcg
18,AFalling8rick2-0-0,1,0,hendo9161-1-0,AFalling8rick,hendo916,2-0-0,1-1-0,afalling8rick,afalling8rick,hendo916
19,coronelzeta1-1-0,0,1,Jonsern2-0-0,coronelzeta,Jonsern,1-1-0,2-0-0,jonsern,coronelzeta,jonsern
20,Fitypaldis2-0-0,0,0,Blastobro1-1-0,Fitypaldis,Blastobro,2-0-0,1-1-0,fitypaldis,fitypaldis,blastobro
21,peteau892-0-0,1,0,khazardy 1-1-0,peteau89,khazardy ,2-0-0,1-1-0,peteau89,peteau89,mugi19212
22,Krobz1-1-0,0,1,Heitor Trindade2-0-0,Krobz,Heitor Trindade,1-1-0,2-0-0,ratex38,krobz,ratex38
23,Anti2-0-0,1,0,Voidry1-1-0,Anti,Voidry,2-0-0,1-1-0,anti,anti,voidry
24,Millionzodollaz2-0-0,1,0,Ziudxs1-1-0,Millionzodollaz,Ziudxs,2-0-0,1-1-0,millionzodollaz,millionzodollaz,ziudxs
25,Hooligan1-1-0,0,1,Midnite2-0-0,Hooligan,Midnite,1-1-0,2-0-0,midnite,hooligan,midnite
26,Neko2012931-1-0,0,1,Daniel Reinheimer2-0-0,Neko201293,Daniel Reinheimer,1-1-0,2-0-0,storri,neko201293,storri
27,Dalten Cross2-0-0,1,0,Juan T1-1-0,Dalten Cross,Juan T,2-0-0,1-1-0,vovuvu,vovuvu,evanbastian
28,EvanCampbell942-0-0,1,0,Ezequiel Jerez ️1-1-0,EvanCampbell94,Ezequiel Jerez ️,2-0-0,1-1-0,evancampbell94,evancampbell94,goldenboyx
29,Jeremy Cooley2-0-0,1,0,jhoegerl1-1-0,Jeremy Cooley,jhoegerl,2-0-0,1-1-0,jcools,jcools,jhoegerl
30,YoongKaiJian2-0-0,1,0,Tomo177supra1-1-0,YoongKaiJian,Tomo177supra,2-0-0,1-1-0,yoongkaijian,yoongkaijian,tomo177supra
31,SpiderPigGC2-0-0,1,0,Firefox32031-1-0,SpiderPigGC,Firefox3203,2-0-0,1-1-0,spiderpiggc,spiderpiggc,firefox3203
32,Adam9142-0-0,1,0,ColinFerguson1-1-0,Adam914,ColinFerguson,2-0-0,1-1-0,adam914,adam914,colinferguson
33,asapi20342-0-0,1,0,Austin P1-1-0,asapi2034,Austin P,2-0-0,1-1-0,asapi2034,asapi2034,austinpierce07
34,Yoshitr4cker2-0-0,1,0,Eduardo Correa1-1-0,Yoshitr4cker,Eduardo Correa,2-0-0,1-1-0,yoshitr4cker,yoshitr4cker,edureishu
35,KINGNALDOF2-0-0,1,0,titallytan1-1-0,KINGNALDOF,titallytan,2-0-0,1-1-0,kingnaldof,kingnaldof,titallytan
36,pdrualves2-0-0,1,0,omegaflurry221-1-0,pdrualves,omegaflurry22,2-0-0,1-1-0,pdrualves,pdrualves,omegaflurry22
37,BORUTO UZUMAKI LDA2-0-0,1,0,Ruan Andrade1-1-0,BORUTO UZUMAKI LDA,Ruan Andrade,2-0-0,1-1-0,tai,tai,naur11
38,Loc Nguyen1-1-0,0,1,iStark112-0-0,Loc Nguyen,iStark11,1-1-0,2-0-0,istark11,lnguyen0750,istark11
39,Matthew441-1-0,0,1,RoguePanda2-0-0,Matthew44,RoguePanda,1-1-0,2-0-0,roguepanda,matthew44,roguepanda
40,Koshira1-1-0,0,1,Jonathan Combs2-0-0,Koshira,Jonathan Combs,1-1-0,2-0-0,cmoneyarkham,koshira,cmoneyarkham
41,langolango1-1-0,0,1,Takaki2-0-0,langolango,Takaki,1-1-0,2-0-0,takaki,langolango,takaki
42,TyePlaysTcg2-0-0,1,0,aleexdouglas1-1-0,TyePlaysTcg,aleexdouglas,2-0-0,1-1-0,tyeplaystcg,tyeplaystcg,aleexdouglas
43,geekgamesSBO2-0-0,1,0,PCGMcaceres1-1-0,geekgamesSBO,PCGMcaceres,2-0-0,1-1-0,geekgamessbo,geekgamessbo,pcgmcaceres
44,Swinny1-1-0,0,1,chingpaq2-0-0,Swinny,chingpaq,1-1-0,2-0-0,chingpaq,swinny,chingpaq
45,Ryan S1-1-0,0,1,Akiyama2-0-0,Ryan S,Akiyama,1-1-0,2-0-0,akiyama,ga1acticempire3,akiyama
46,Bielcosta1-1-0,0,1,Jonathan Patricio Ch.2-0-0,Bielcosta,Jonathan Patricio Ch.,1-1-0,2-0-0,jonah2705,bielcosta,jonah2705
47,chriis12-0-0,1,0,Jorden Hamilton1-1-0,chriis1,Jorden Hamilton,2-0-0,1-1-0,chriis1,chriis1,jordenhamiltontcg
48,Adam  Kalamat 1-1-0,0,1,本田翼しか勝たん 2-0-0,Adam  Kalamat ,本田翼しか勝たん ,1-1-0,2-0-0,haruto0621,adamkalamat,haruto0621
49,dougisraw1-1-0,0,1,Ko1-0-1,dougisraw,Ko,1-1-0,1-0-1,ko,dougisraw,ko
50,Neji301-0-1,0,0,BewearTheTERRIBLE0-2-0,Neji30,BewearTheTERRIBLE,1-0-1,0-2-0,neji30,neji30,beweartheterrible
51,GabsBaptista0-2-0,0,1,Chosenflea1-1-0,GabsBaptista,Chosenflea,0-2-0,1-1-0,chosenflea,gabsbaptista,chosenflea
52,TypicalLegend0-2-0,0,0,sebastian faundez1-1-0,TypicalLegend,sebastian faundez,0-2-0,1-1-0,scaril17,typicallegend,scaril17
53,Samuel Anserello0-2-0,0,1,Chunkles1-1-0,Samuel Anserello,Chunkles,0-2-0,1-1-0,chunkles,samserello83,chunkles
54,john wanggaard0-2-0,0,1,AlexTheBaller201-1-0,john wanggaard,AlexTheBaller20,0-2-0,1-1-0,alextheballer20,ttoabyssal,alextheballer20
55,Mario Yanez0-2-0,0,1,irvintyes1-1-0,Mario Yanez,irvintyes,0-2-0,1-1-0,irvintyes,marioyanez,irvintyes
56,Luke Tran1-1-0,0,0,KOBAMON0-2-0,Luke Tran,KOBAMON,1-1-0,0-2-0,nvshinies,nvshinies,kobamon
57,Dragon761-1-0,1,0,Nordic30-2-0,Dragon76,Nordic3,1-1-0,0-2-0,dragon76,dragon76,nordic3
58,João Paulo Sênida0-2-0,0,1,yongkyoo1-1-0,João Paulo Sênida,yongkyoo,0-2-0,1-1-0,yongkyoo,luff3r3v1l,yongkyoo
59,16RedGunner1-1-0,1,0,veguita0-2-0,16RedGunner,veguita,1-1-0,0-2-0,16redgunner,16redgunner,veguita
60,Demix1-1-0,1,0,masterhockey70-2-0,Demix,masterhockey7,1-1-0,0-2-0,demix,demix,masterhockey7
61,CaRif70-2-0,0,0,pititu1-1-0,CaRif7,pititu,0-2-0,1-1-0,pititu,carif7,pititu
62,BastyS281-1-0,0,0,PokeZero0-2-0,BastyS28,PokeZero,1-1-0,0-2-0,bastys28,bastys28,pokezero
63,Diego Gomez0-2-0,0,0,Ben Edmondson1-1-0,Diego Gomez,Ben Edmondson,0-2-0,1-1-0,schwarz,darkweb,schwarz
64,Torvig0-2-0,0,0,Felipe Longo1-1-0,Torvig,Felipe Longo,0-2-0,1-1-0,flongo,torvig,flongo
65,banoonw0-2-0,0,0,Schneebs0051-1-0,banoonw,Schneebs005,0-2-0,1-1-0,schneebs005,banoonw,schneebs005
66,spadille1-1-0,1,0,UnadvisedCow0-2-0,spadille,UnadvisedCow,1-1-0,0-2-0,spadille,spadille,unadvisedcow
67,toastedpiecesofbread1-1-0,1,0,redwater0-2-0,toastedpiecesofbread,redwater,1-1-0,0-2-0,toastedpiecesofbread,toastedpiecesofbread,redwater
68,Clay H0-2-0,0,1,Pedro Faceira1-1-0,Clay H,Pedro Faceira,0-2-0,1-1-0,pedonxp,claytontcg,pedonxp
69,tdawg16271-1-0,0,0,Ryan Kolodney0-2-0,tdawg1627,Ryan Kolodney,1-1-0,0-2-0,tdawg1627,tdawg1627,boltryan
70,Mikolas0-2-0,0,0,KingSlayer1-1-0,Mikolas,KingSlayer,0-2-0,1-1-0,kingslayer,mikolas,kingslayer
71,Thomas Harvey0-2-0,0,1,Gregory Playter1-1-0,Thomas Harvey,Gregory Playter,0-2-0,1-1-0,gregplayter,csffarm,gregplayter
72,Kaotom350-2-0,0,1,鈴木絢音 は神1-1-0,Kaotom35,鈴木絢音 は神,0-2-0,1-1-0,mille1216,kaotom35,mille1216
73,sencha 1-1-0,1,0,Dyanmitedana0-2-0,sencha ,Dyanmitedana,1-1-0,0-2-0,kirikisencha,kirikisencha,dyanmitedana
74,Bruno Silveira1-1-0,1,0,Capcrew0-2-0,Bruno Silveira,Capcrew,1-1-0,0-2-0,karakuri109,karakuri109,capcrew
75,tmez0-2-0,0,1,zattack101-1-0,tmez,zattack10,0-2-0,1-1-0,zattack10,tmez,zattack10
76,Michael M0-2-0,0,1,James Simms1-1-0,Michael M,James Simms,0-2-0,1-1-0,4600737,flylikemike89,4600737
77,OnGaard1-1-0,1,0,Jon Mason0-2-0,OnGaard,Jon Mason,1-1-0,0-2-0,ongaard,ongaard,jonmason1
78,TokenTardigrade1-1-0,0,0,VictorVonDoom0-2-0,TokenTardigrade,VictorVonDoom,1-1-0,0-2-0,tokentardigrade,tokentardigrade,victorvondoom
79,brenbolone1-1-0,1,0,Zach Roy0-2-0,brenbolone,Zach Roy,1-1-0,0-2-0,brenbolone,brenbolone,senordoom
80,yoppe061-1-0,0,0,DiodooPRT0-2-0,yoppe06,DiodooPRT,1-1-0,0-2-0,yoppe06,yoppe06,diodooprt
81,bujijia11051-1-0,1,0,Pat F0-2-0,bujijia1105,Pat F,1-1-0,0-2-0,bujijia1105,bujijia1105,bttwg123
82,JoiseJo1-1-0,1,0,Junikal120-2-0,JoiseJo,Junikal12,1-1-0,0-2-0,joisejo,joisejo,junikal12
83,DaesonP0-2-0,0,0,Juan0-2-0,DaesonP,Juan,0-2-0,0-2-0,-1,daesonp,juan
84,opa1910020-2-0,0,0,nosoness1-1-0,opa191002,nosoness,0-2-0,1-1-0,nosoness,opa191002,nosoness
85,Patricia Gonzalez Walsh1-1-0,1,0,edualmeida4000-2-0,Patricia Gonzalez Walsh,edualmeida400,1-1-0,0-2-0,patogw,patogw,edualmeida400
86,TJ Guistwite1-1-0,1,0,KR540-2-0,TJ Guistwite,KR54,1-1-0,0-2-0,grandtroll21,grandtroll21,kr54
87,ienaga0-2-0,0,0,Pilonzitos1-1-0,ienaga,Pilonzitos,0-2-0,1-1-0,pilonzitos,ienaga,pilonzitos
88,clonazepanda1-1-0,1,0,guilherme0-2-0,clonazepanda,guilherme,1-1-0,0-2-0,clonazepanda,clonazepanda,guilherme
89,MaxCann0-2-0,0,1,Asher82828791-1-0,MaxCann,Asher8282879,0-2-0,1-1-0,asher8282879,maxcann,asher8282879
90,Thatch0-2-0,0,1,SmallHeat1-1-0,Thatch,SmallHeat,0-2-0,1-1-0,smallheat,thatch,smallheat
91,Matthew Wright1-1-0,1,0,fdizzle120-2-0,Matthew Wright,fdizzle12,1-1-0,0-2-0,redpyro1266,redpyro1266,fdizzle12
92,JorgeR1-1-0,1,0,Roberto Antonio Plaza Orellana0-2-0,JorgeR,Roberto Antonio Plaza Orellana,1-1-0,0-2-0,jorger,jorger,ch1nogamer
93,Yzanburg0-2-0,0,1,Leadlomas1-1-0,Yzanburg,Leadlomas,0-2-0,1-1-0,leadlomas,yzanburg,leadlomas
94,joey ward0-2-0,0,0,shaheedrashid0-2-0,joey ward,shaheedrashid,0-2-0,0-2-0,-1,trainerward80,shaheedrashid
95,BlueClueT0-2-0,0,1,Jaflanman1-1-0,BlueClueT,Jaflanman,0-2-0,1-1-0,jaflanman,bluecluet,jaflanman
96,Marcelo Henrique de Oliveira1-1-0,1,0,ayyHowie0-2-0,Marcelo Henrique de Oliveira,ayyHowie,1-1-0,0-2-0,omarcelohs,omarcelohs,ayyhowie
97,Gabriel Padinha1-1-0,,,bye,Gabriel Padinha,*Bye*,1-1-0,N/A,calkab,calkab,*Bye*
