Pairing,Player 1,Player 1 Score,Player 2 Score,Player 2,Player 1 Name,Player 2 Name,Player 1 Record,Player 2 Record,Winner ID,Player 1 ID,Player 2 ID
1,Dan Irish1-0-0,1,0,Felipe T0-1-0,Dan Irish,Felipe T,1-0-0,0-1-0,danirish1,danirish1,f3l1p3tg
2,Zarbon1-0-0,1,0,Capcrew0-1-0,Zarbon,Capcrew,1-0-0,0-1-0,zarbon,zarbon,capcrew
3,I LOVE ZACH LESAGE1-0-0,1,0,NRG allezliverpool0-1-0,I LOVE ZACH LESAGE,NRG allezliverpool,1-0-0,0-1-0,bart,bart,allezliverpool69
4,EvanCampbell941-0-0,1,0,Kashvinder Singh0-1-0,EvanCampbell94,Kashvinder Singh,1-0-0,0-1-0,evancampbell94,evancampbell94,kashmann27
5,BannedInSouls0-1-0,0,0,Victor De Velasco1-0-0,BannedInSouls,Victor De Velasco,0-1-0,1-0-0,victor91dv,bannedinsouls,victor91dv
6,hgibbon130-1-0,0,1,VmaxSkittlez1-0-0,hgibbon13,VmaxSkittlez,0-1-0,1-0-0,vmaxskittlez,hgibbon13,vmaxskittlez
7,UltraNko1-0-0,1,0,pjwitusik0-1-0,UltraNko,pjwitusik,1-0-0,0-1-0,ultranko,ultranko,pjwitusik
8,LilCrakMunchkin0-1-0,0,0,Iyla Sutherland1-0-0,LilCrakMunchkin,Iyla Sutherland,0-1-0,1-0-0,joshuasutherland21,lilcrakmunchkin,joshuasutherland21
9,Confeddie0-1-0,0,1,TheRicardoToddy1-0-0,Confeddie,TheRicardoToddy,0-1-0,1-0-0,thericardotoddy,confeddie,thericardotoddy
10,Braiden12351-0-0,1,0,kong013619550-1-0,Braiden1235,kong01361955,1-0-0,0-1-0,braiden1235,braiden1235,kong01361955
11,RadThad1-0-0,1,0,Huntiemon0-1-0,RadThad,Huntiemon,1-0-0,0-1-0,radthad,radthad,huntiemon
12,Savid4001-0-0,1,0,Nocturne0-1-0,Savid400,Nocturne,1-0-0,0-1-0,savid400,savid400,nocturne
13,Swagggmaster691-0-0,1,0,Iori1270-1-0,Swagggmaster69,Iori127,1-0-0,0-1-0,swagggmaster69,swagggmaster69,iori127
14,Taylor Lowe0-1-0,0,1,Voltagetcg1-0-0,Taylor Lowe,Voltagetcg,0-1-0,1-0-0,voltagetcg,lowet03,voltagetcg
15,Jacob Walker1-0-0,1,0,Bdawg23130-1-0,Jacob Walker,Bdawg2313,1-0-0,0-1-0,jaybob952,jaybob952,bdawg2313
16,James Simms0-1-0,0,1,MaxEvil951-0-0,James Simms,MaxEvil95,0-1-0,1-0-0,maxevil95,4600737,maxevil95
17,Timm1010-1-0,0,1,Bossman21-0-0,Timm101,Bossman2,0-1-0,1-0-0,bossman2,timm101,bossman2
18,Manoloe6211-0-0,1,0,Zakwani Clay0-1-0,Manoloe621,Zakwani Clay,1-0-0,0-1-0,manoloe621,manoloe621,dynamitehorse
19,Bruno Paredes0-1-0,0,1,ninjadrake1-0-0,Bruno Paredes,ninjadrake,0-1-0,1-0-0,ninjadrake,setheboo,ninjadrake
20,EliteTrainerCraig1-0-0,1,0,. Medi0-1-0,EliteTrainerCraig,. Medi,1-0-0,0-1-0,elitetrainercraig,elitetrainercraig,owohunt
21,geanlacerda120-1-0,0,0,camcho18921-0-0,geanlacerda12,camcho1892,0-1-0,1-0-0,camcho1892,geanlacerda12,camcho1892
22,Jack M0-1-0,0,1,Elijah F1-0-0,Jack M,Elijah F,0-1-0,1-0-0,elijahfabian,mackjanzie,elijahfabian
23,arturoR2D26331271-0-0,1,0,Tyler Crouthamel0-1-0,arturoR2D2633127,Tyler Crouthamel,1-0-0,0-1-0,arturor2d2633127,arturor2d2633127,tcrouty98
24,facufacio0-1-0,0,1,SlimeyWasTaken1-0-0,facufacio,SlimeyWasTaken,0-1-0,1-0-0,slimeywastaken,facufacio,slimeywastaken
25,frank zapata1-0-0,1,0,OnGaard0-1-0,frank zapata,OnGaard,1-0-0,0-1-0,frankzapata,frankzapata,ongaard
26,Haninske0-1-0,0,0,Emanuel E1-0-0,Haninske,Emanuel E,0-1-0,1-0-0,xpredate,haninske,xpredate
27,Benny Bingler1-0-0,1,0,firespread30-1-0,Benny Bingler,firespread3,1-0-0,0-1-0,bbillinger,bbillinger,firespread3
28,Byron G0-1-0,0,0,mrpnut031-0-0,Byron G,mrpnut03,0-1-0,1-0-0,mrpnut03,uyio,mrpnut03
29,Kimmy S0-1-0,0,1,Weston671-0-0,Kimmy S,Weston67,0-1-0,1-0-0,weston67,jasonleonard,weston67
30,KingTurk0-1-0,0,1,SirRmor1-0-0,KingTurk,SirRmor,0-1-0,1-0-0,sirrmor,kingturk,sirrmor
31,Mcalmic0-1-0,0,1,topherton1-0-0,Mcalmic,topherton,0-1-0,1-0-0,topherton,mcalmic,topherton
32,Akiyama TCG0-1-0,0,1,Matthew441-0-0,Akiyama TCG,Matthew44,0-1-0,1-0-0,matthew44,akiyama777,matthew44
33,Josh Stapler1-0-0,1,0,ChromePvP0-1-0,Josh Stapler,ChromePvP,1-0-0,0-1-0,aestheticallyjosh,aestheticallyjosh,chromepvp
34,mrpoofykins1-0-0,1,0,Elmenor210-1-0,mrpoofykins,Elmenor21,1-0-0,0-1-0,mrpoofykins,mrpoofykins,elmenor21
35,Evan P1-0-0,1,0,Stramii0-1-0,Evan P,Stramii,1-0-0,0-1-0,evanp,evanp,stramii
36,HighZen1-0-0,1,0,dmtwiz4210-1-0,HighZen,dmtwiz421,1-0-0,0-1-0,highzen,highzen,dmtwiz421
37,YoongKaiJian1-0-0,1,0,Duhskull0-1-0,YoongKaiJian,Duhskull,1-0-0,0-1-0,yoongkaijian,yoongkaijian,duhskull
38,Afrojarritos0-1-0,0,1,Nate Kirksey1-0-0,Afrojarritos,Nate Kirksey,0-1-0,1-0-0,pokenate,afrojarritos,pokenate
39,RiotTown1-0-0,1,0,Daltonfresh0-1-0,RiotTown,Daltonfresh,1-0-0,0-1-0,riottown,riottown,daltonfresh
40,Guithemegames0-1-0,0,1,mkirby1-0-0,Guithemegames,mkirby,0-1-0,1-0-0,mkirby,guithemegames,mkirby
